topology,trait_id,n_taxa,rho,positive_tail_p,positive_tail_bh_q,negative_tail_p,two_sided_p,loo_rho_min,loo_rho_max,lambda_mle
1,measured_capitulum_length_cm,7,-0.135064935065,0.705555555556,0.776984126984,0.298015873016,0.493253968254,-0.325,0.235714285714,0.0
1,measured_capitulum_width_cm,7,0.142857142857,0.234523809524,0.469047619048,0.767857142857,0.536706349206,-0.0714285714286,0.782142857143,0.0
1,phyllary_length_cm,7,-0.177922077922,0.776984126984,0.776984126984,0.225992063492,0.38253968254,-0.603571428571,0.3,0.0
1,phyllary_protrusion_mm,7,0.363222948672,0.0672619047619,0.269047619048,0.933531746032,0.069246031746,0.118068167454,0.546428571429,1.0
2,measured_capitulum_length_cm,7,-0.135064935065,0.705555555556,0.776984126984,0.298015873016,0.493253968254,-0.325,0.235714285714,0.0
2,measured_capitulum_width_cm,7,0.142857142857,0.234523809524,0.469047619048,0.767857142857,0.536706349206,-0.0714285714286,0.782142857143,0.0
2,phyllary_length_cm,7,-0.177922077922,0.776984126984,0.776984126984,0.225992063492,0.38253968254,-0.603571428571,0.3,0.0
2,phyllary_protrusion_mm,7,0.363222948672,0.0672619047619,0.269047619048,0.933531746032,0.069246031746,0.118068167454,0.546428571429,1.0
3,measured_capitulum_length_cm,7,-0.135064935065,0.705555555556,0.776984126984,0.298015873016,0.493253968254,-0.325,0.235714285714,0.0
3,measured_capitulum_width_cm,7,0.142857142857,0.234523809524,0.469047619048,0.767857142857,0.536706349206,-0.0714285714286,0.782142857143,0.0
3,phyllary_length_cm,7,-0.177922077922,0.776984126984,0.776984126984,0.225992063492,0.38253968254,-0.603571428571,0.3,0.0
3,phyllary_protrusion_mm,7,0.363222948672,0.0672619047619,0.269047619048,0.933531746032,0.069246031746,0.118068167454,0.546428571429,1.0
4,measured_capitulum_length_cm,7,-0.149350649351,0.754365079365,0.834523809524,0.248412698413,0.425992063492,-0.357142857143,0.196428571429,0.0
4,measured_capitulum_width_cm,7,0.12987012987,0.254563492063,0.509126984127,0.747817460317,0.578373015873,-0.0714285714286,0.75,0.0
4,phyllary_length_cm,7,-0.201298701299,0.834523809524,0.834523809524,0.168253968254,0.305555555556,-0.603571428571,0.257142857143,0.0
4,phyllary_protrusion_mm,7,0.3294347674,0.0827380952381,0.330952380952,0.91746031746,0.0962301587302,0.0787121116359,0.546428571429,1.0
5,measured_capitulum_length_cm,7,-0.149350649351,0.754365079365,0.834523809524,0.248412698413,0.425992063492,-0.357142857143,0.196428571429,0.0
5,measured_capitulum_width_cm,7,0.12987012987,0.254563492063,0.509126984127,0.747817460317,0.578373015873,-0.0714285714286,0.75,0.0
5,phyllary_length_cm,7,-0.201298701299,0.834523809524,0.834523809524,0.168253968254,0.305555555556,-0.603571428571,0.257142857143,0.0
5,phyllary_protrusion_mm,7,0.3294347674,0.0827380952381,0.330952380952,0.91746031746,0.0962301587302,0.0787121116359,0.546428571429,1.0
6,measured_capitulum_length_cm,7,-0.149350649351,0.754365079365,0.834523809524,0.248412698413,0.425992063492,-0.357142857143,0.196428571429,0.0
6,measured_capitulum_width_cm,7,0.12987012987,0.254563492063,0.509126984127,0.747817460317,0.578373015873,-0.0714285714286,0.75,0.0
6,phyllary_length_cm,7,-0.201298701299,0.834523809524,0.834523809524,0.168253968254,0.305555555556,-0.603571428571,0.257142857143,0.0
6,phyllary_protrusion_mm,7,0.3294347674,0.0827380952381,0.330952380952,0.91746031746,0.0962301587302,0.0787121116359,0.546428571429,1.0
