cell_id,maternal_genotype,paternal_genotype,maternal_light,paternal_light,maternal_temperature,paternal_temperature,n_plant_day_pollination_pairs,mean_fertilization_success,se_reported,source_id,source_location,experimental_line_handling,environment_replication,claim_boundary
IPUR_CELL_001,AA,AA,high,high,high,high,19,0.237,0.087,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_002,AA,AA,high,high,low,high,24,0.271,0.077,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_003,AA,AA,high,high,high,low,18,0.306,0.089,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_004,AA,AA,high,high,low,low,24,0.625,0.077,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_005,AA,AA,high,low,high,high,20,0.350,0.085,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_006,AA,AA,high,low,low,high,24,0.396,0.077,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_007,AA,AA,high,low,high,low,18,0.250,0.089,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_008,AA,AA,high,low,low,low,20,0.550,0.085,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_009,AA,AA,low,high,high,high,15,0.367,0.098,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
IPUR_CELL_010,AA,AA,low,high,low,high,16,0.375,0.095,10.1046/j.1365-294X.2003.01786.x,Table_1,pooled_over_two_constructed_lines,one_chamber_per_temperature_and_one_light_subchamber_per_temperature,"One observation pooled one or two flowers pollinated on one plant on one day; plant was generally used once and rarely twice per treatment combination"
