source_id,year,taxon,source_type,doi,module,gene_family,evidence_status,evidence_detail,example_identifier_or_expression,what_it_establishes,what_it_does_not_establish
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,entry,PAL,reported_directly,"Supplementary Table 2 reports multiple PAL unigenes in flower/leaf/root transcriptome","Cjap_01115 CAL91171.1; Cjap_02759 CAL91169.1","recoverable entry-pathway orthologs and tissue expression","not causal flower-colour variation; no W/C morph comparison"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,entry,C4H,reported_directly,"Supplementary Table 2 reports cinnamate 4-hydroxylase","Cjap_11124 CAM84301.1","recoverable entry-pathway ortholog","not causal flower-colour variation"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,entry,4CL,reported_directly,"Supplementary Table 2 reports 4-coumarate-CoA ligase","Cjap_07087 AFL93685.1; Cjap_27264 XP_009603383.1","recoverable entry-pathway orthologs","not causal flower-colour variation"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,flavonoid_core,CHS,reported_directly,"Supplementary Table 2 reports chalcone synthase unigenes","Cjap_00191 ABC71308.1; Cjap_17518 KVI02820.1","recoverable flavonoid-core orthologs","not causal W/C mechanism"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,flavonoid_core,CHI,reported_directly,"Supplementary Table 2 reports chalcone isomerase unigenes","Cjap_01214 KVI06946.1; Cjap_20743 KVI03948.1; Cjap_21018 KVG40999.1","recoverable flavonoid-core orthologs","not causal W/C mechanism"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,flavonoid_core,F3H,reported_directly,"Supplementary Table 2 reports flavanone 3-hydroxylase unigenes","Cjap_31912 BAJ17667.1; Cjap_53742 AKN79608.1","recoverable flavonoid-core orthologs","not causal W/C mechanism"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,flavonoid_core,F3'H,reported_directly,"Supplementary Table 2 reports a flavonoid hydroxylase annotated as flavonoid 3'-hydroxylase","Cjap_08727 ADM26615.1","recoverable hydroxylase ortholog","annotation naming in table heading/text is inconsistent with 3'/5' notation; not causal W/C mechanism"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,branch_competition,FLS,not_in_targeted_silymarin_table,"The paper's displayed targeted taxifolin/coniferyl Supplementary Table 2 does not provide FLS as a focal row","","not evidence of absence from the 51,133-unigene transcriptome","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,branch_competition,FSII,not_in_targeted_silymarin_table,"The displayed targeted silymarin table does not provide FSII as a focal row","","not evidence of absence from the full transcriptome","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,anthocyanin_committed,DFR,not_in_targeted_silymarin_table,"DFR is not part of the displayed taxifolin/coniferyl target route in Supplementary Table 2","","no inference about DFR presence/absence in whole transcriptome","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,anthocyanin_terminal,ANS,not_in_targeted_silymarin_table,"ANS/LDOX is not a focal enzyme in the displayed taxifolin/coniferyl target table","","target-panel scope gap","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,anthocyanin_terminal,UFGT,not_in_targeted_silymarin_table,"UFGT/3GT is not a focal enzyme in the displayed taxifolin/coniferyl target table","","target-panel scope gap","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,regulatory,MYB,not_yet_audited_full_transcriptome,"The paper is a whole transcriptome but its displayed silymarin candidate table is enzyme-focused; full-transcriptome MYB inventory has not been audited here","","requires dedicated annotation search","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,regulatory,bHLH,not_yet_audited_full_transcriptome,"Full-transcriptome bHLH inventory has not been audited here","","requires dedicated annotation search","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,regulatory,WD40,not_yet_audited_full_transcriptome,"Full-transcriptome WD40 inventory has not been audited here","","requires dedicated annotation search","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,transport,GST,not_yet_audited_full_transcriptome,"Anthocyanin-associated GST inventory has not been audited in the full transcriptome","","requires dedicated annotation/search","not gene absence"
ROY2018,2018,Cirsium japonicum var. spinossimum,whole_transcriptome_DEG,10.5808/GI.2018.16.4.e34,transport,MATE,not_yet_audited_full_transcriptome,"Anthocyanin-associated MATE inventory has not been audited in the full transcriptome","","requires dedicated annotation/search","not gene absence"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,entry,PAL,reported_directly,"Named among 29 phenylpropanoid orthologs; organ-specific qRT-PCR reported","CjPAL isoforms","entry-pathway machinery present and expressed","not W/C morph mechanism"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,entry,C4H,reported_directly,"Named among 29 ortholog panel; C4H isoforms highest in flowers","CjC4H","entry-pathway machinery and flower-biased expression","not W/C morph mechanism"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,entry,4CL,reported_directly,"Named among 29 ortholog panel; isoform-specific tissue expression","Cj4CL1/2/3","entry-pathway machinery","not W/C morph mechanism"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,flavonoid_core,CHS,reported_directly,"CHS named in panel and strongly flower-biased","CjCHS1 500x; CjCHS2 112x flower vs leaf","flavonoid-core machinery and extreme floral expression","not causal colour difference among morphs"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,flavonoid_core,CHI,reported_directly,"CHI named in panel and flower-biased","CjCHI 13x flower vs leaf","flavonoid-core machinery and floral expression","not causal colour difference"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,flavonoid_core,F3H,reported_directly,"F3H named among 29 ortholog panel","CjF3H","flavonoid-core machinery","not causal colour difference"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,flavonoid_core,F3'H,reported_directly,"F3'H named and strongly flower-biased","CjF3'H 16.6x flower vs leaf","hydroxylation branch machinery and floral expression","not causal colour difference"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,branch_competition,FLS,reported_directly,"FLS named and flower-biased","CjFLS 5.6x flower vs leaf","flavonol branch competitor present","not anthocyanin-specific causation"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,branch_competition,FSII,reported_directly,"FSII named and flower-biased","CjFSII 3.3x flower vs leaf","flavone branch competitor present","not anthocyanin-specific causation"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,anthocyanin_committed,DFR,reported_directly,"Two DFR isoforms named in the 29-ortholog panel; qRT-PCR reported","two CjDFR isoforms 22x and 2.6x higher in roots than leaves","anthocyanin-committed/reductive branch gene is recoverable in C. japonicum","does not establish flower-colour switch; expression cited is root/leaf, not W/C flower comparison"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,anthocyanin_terminal,ANS,not_in_named_29_ortholog_panel,"ANS/LDOX is not among the paper's explicitly named candidate families in the 29-ortholog phenylpropanoid panel","","named-panel coverage gap","not absence from genome or 104,890-unigene assembly"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,anthocyanin_terminal,UFGT,not_in_named_29_ortholog_panel,"UFGT/3GT is not among the explicitly named candidate families in the 29-ortholog panel","","named-panel coverage gap","not absence from genome or full transcriptome"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,regulatory,MYB,not_targeted_by_named_enzyme_panel,"The named 29-ortholog panel is biosynthetic-enzyme focused and does not establish the MYB component of the anthocyanin MBW complex","","regulatory layer remains outside this targeted panel","not absence from full transcriptome"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,regulatory,bHLH,not_targeted_by_named_enzyme_panel,"The named enzyme panel does not establish anthocyanin bHLH regulators","","regulatory layer remains outside this targeted panel","not absence from full transcriptome"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,regulatory,WD40,not_targeted_by_named_enzyme_panel,"The named enzyme panel does not establish anthocyanin WD40 regulators","","regulatory layer remains outside this targeted panel","not absence from full transcriptome"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,transport,GST,not_targeted_by_named_enzyme_panel,"The named biosynthetic enzyme panel does not establish anthocyanin-associated GST transport/sequestration components","","transport layer remains outside targeted panel","not absence from full transcriptome"
PARK2020,2020,Cirsium japonicum Fisch ex DC,transcriptome_metabolome_qPCR,10.1021/acsomega.0c04001,transport,MATE,not_targeted_by_named_enzyme_panel,"The named biosynthetic enzyme panel does not establish anthocyanin-associated MATE transport components","","transport layer remains outside targeted panel","not absence from full transcriptome"
