tree_code,published_species,ncbi_scientific_name,biosample,conflict_type,priority,required_resolution,chapter2_risk
Cirsium yuki-uenoanum,Cirsium yuki-uenoanum Kadota,Cirsium waldsteinii,SAMN44017949,name_and_geography_conflict,critical,Inspect BioSample submission voucher tree tip and author table; confirm whether rows or accessions were swapped,Misclassifies a Japanese tip and could distort Japanese radiation membership
Cirsium coryletorum,Cirsium coryletorum Kom.,Cirsium vlassovianum,SAMN34240275,tree_code_vs_ncbi_name,high,Resolve synonym or sample identity using voucher and current taxonomy,Affects NE Asia bridge and standing-variation design
Cirsium tanakae,Cirsium nipponicum var. incomptum (Maxim.) Kadota,Cirsium tanakae,SAMN44017932,tree_code_vs_published_species,high,Resolve Japanese taxonomic treatment and voucher identity,Affects Nipponocirsium taxon matching and focal var. incomptum audit
Cirsium tonense,Cirsium nipponicum var. incomptum (Maxim.) Kadota,Cirsium nipponicum var. incomptum,SAMN44017937,tree_code_vs_published_and_ncbi_names,high,Resolve tree-code concept relative to accepted var. incomptum treatment,Affects duplicate/lineage counts in Japanese backbone
Cirsium nipponicum var. yoshinoi,Cirsium nipponicum var. yoshinoi (Nakai) Kitam.,Cirsium yuki-uenoanum,SAMN44017955,published_taxon_vs_ncbi_name,high,Resolve synonym and voucher concept before joining to Japanese colour atlas,Affects taxon-level placement and potential duplicate counting
Cirsium maackii,Cirsium maackii Maxim.,Cirsium japonicum var. maackii,SAMN34240313,species_vs_variety_name,medium,Retain both names and resolve authority-backed accepted treatment,Affects East Asian bridge naming but not existence of nuclear data
Cirsium verutum,Cirsium verutum (D.Don) Spreng.,Lophiolepis veruta,SAMN44017947,generic_reassignment,medium,Represent broad Cirsium and segregate Lophiolepis treatments in topology sensitivity,Affects generic circumscription not raw nuclear coverage
Cirsium subulariforme,Cirsium subulariforme C.Shih,Lophiolepis subulariformis,SAMN44017928,generic_reassignment,medium,Represent alternative genera without treating as a missing taxon,Affects China tip harmonization
Cirsium ishidatense,"Cirsium ishidatense (Horiuchi) Kadota et Horiuchi, comb. ined.",Cirsium sp. LM-2024b,SAMN44017861,informal_ncbi_name,medium,Use voucher and tree code as primary identity until NCBI name is updated,Affects exact-string coverage queries
Cirsium kiotoense,Cirsium kiotoense (Kitam.) Kadota,Cirsium sp. LM-2024c,SAMN44017868,informal_ncbi_name,medium,Use voucher and tree code as primary identity until NCBI name is updated,Affects exact-string coverage queries
