audit_layer,resource,public_content_recovered,machine_readable_dated_tree_status,usable_for_exact_japan38_event_windows,evidence_status,limitation,next_action,canonical_source
published_article_method,Moreyra_et_al_2025_MPE,"RelTime in MEGA X applied to the best concatenated maximum-likelihood tree; 350 nuclear loci; three explicit calibration constraints",not_deposited_in_article_landing_page,no,method_recovered_tree_missing,"The article reports node summaries and figures but no downloadable dated Newick/Nexus in its data statement","Request or independently reconstruct the exact concatenated ML tree and RelTime export before event dating","DOI 10.1016/j.ympev.2025.108285"
published_calibration_CP1,root_constraint,"Mean root age 17.7 Ma with a normal distribution and soft lower bound of 14 Ma; upper bound derived from that normal distribution",constraint_recovered,no,primary_method_evidence,"Exact MEGA distribution parameters/session and dated output are not deposited","Require MEGA session/export or reproduce the stated constraint under a documented RelTime-compatible workflow","Moreyra et al. 2025 section 2.5; Mandel et al. 2019; Mai 1995"
published_calibration_CP2,cirsioid_fossil_constraint,"Minimum age 14 Ma at CP2 based on a fossil cirsioid achene",constraint_recovered,no,primary_method_evidence,"The exact node-tip definition must be read from Fig. S3 or a machine tree rather than inferred from prose alone","Require the calibration-node descendant-tip set or MEGA calibration file","Moreyra et al. 2025 section 2.5; Mai 1995"
published_calibration_CP3,madeira_Cirsium_latifolium_constraint,"Maximum age 5.6 Ma for the most recent common ancestor of sampled Cirsium latifolium populations based on Madeira geological age",constraint_recovered,no,primary_method_evidence,"Exact duplicate-tip retention and node identity are needed for reproducible calibration placement","Require exact tip labels and calibration-node descendant-tip set","Moreyra et al. 2025 section 2.5; Ramalho et al. 2015"
published_japan_radiation_context,node_13_jump_to_Japan,"Main Japanese radiation follows one jump dispersal to Japan at 2.4 Ma with 95% CI 1.7-3.6 Ma",article_level_node_summary,no,broad_calendar_context_only,"This is a crown/dispersal-node context and cannot date individual capitulum transitions inside the radiation","Use only as a broad Pleistocene context until exact internal node ages are recovered","Moreyra et al. 2025 sections 3.3 and 4.3"
published_secondary_Japan_context,Cirsium_dipsacolepis_arrival,"Separate jump dispersal to Japan at approximately 1.0 Ma with 95% CI 0.4-2.2 Ma",article_level_lineage_summary,no,broad_calendar_context_only,"Not a date for a focal orientation/phyllary/stickiness transition","Retain as a separate-history comparator after exact phenotype-tip and dated-tree mapping","Moreyra et al. 2025 section 3.3"
published_secondary_Japan_context,Cirsium_lineare_arrival,"Ancestor expanded from East Asia to Japan at approximately 1.4 Ma with 95% CI 0.7-2.7 Ma",article_level_lineage_summary,no,broad_calendar_context_only,"Not a date for a focal capitulum transition and outside the dominant radiation history","Retain as a separate-history comparator after exact phenotype-tip and dated-tree mapping","Moreyra et al. 2025 section 3.3"
article_data_statement,ScienceDirect_data_availability,"Raw sequences in NCBI SRA BioProject PRJNA957074; BioSample accessions and voucher/herbarium information in Supplementary Table S1",raw_reads_and_crosswalk_only,no,primary_public_data_evidence,"No tree/alignment/MEGA session is named in the formal data-availability statement","Use raw reads for an independent rebuild only if the author tree cannot be recovered","Moreyra et al. 2025 Data Availability Statement"
article_supplement,Supplementary_Data_1,"One approximately 10 MB Word document exposed through the article; includes supplementary tables/figures such as Fig. S3",no_separate_machine_tree_identified,no,public_supplement_audited_at_landing_page,"A figure or embedded tree image is not a machine-readable chronogram; no standalone dated tree was identified in the public landing-page inventory","Obtain source Newick/Nexus/MEGA file rather than digitizing Fig. S3","Moreyra et al. 2025 Appendix A"
research_portal,FRIS_research_portal,"Accepted author manuscript plus a dataset link to NCBI PRJNA957074",no_dated_tree_dataset_listed,no,independent_repository_index_checked,"Portal dataset inventory resolves to NCBI raw data rather than phylogenetic outputs","Retain as corroboration of public asset scope; request missing tree outputs","FRIS publication record for Moreyra et al. 2025"
author_GitHub,ldmoreyra_A-thorny-tale,"Three HybPiper QC summaries: hybpiper_stats_exonerate.tsv; paralog_report.xlsx; seq_lengths_exonerate.tsv",no_tree_alignment_or_chronogram,no,author_repository_checked,"Repository does not expose the concatenated ML tree; dated tree; calibration file or alignment","Do not treat QC summaries as sufficient to reproduce topology/dating","github.com/ldmoreyra/A-thorny-tale audited 2026-08-30"
NCBI_BioProject,PRJNA957074,"Public target-capture SRA records and BioSamples including Japanese samples",raw_reads_only,no,primary_sequence_archive_available,"Raw reads require target recovery; orthology/paralogy adjudication; alignment; tree inference and dating","Use only under a frozen independent-rebuild contract and validate published node-age landmarks","NCBI BioProject PRJNA957074"
independent_local_dated_context,Chang_et_al_2026_BMC_Plant_Biology,"StarBEAST3 East-Asian time tree; figure caption reports 50 OGs while the results text also reports 52 OGs retained for BEAST; relevant dates include 1.30; 1.02; 0.93 and 0.44 Ma lineage splits",raw_reads_and_docx_supplement_no_machine_tree_identified,no,local_calendar_sensitivity_only,"Different taxon panel and clock model; the 50-versus-52 OG reporting must not be silently reconciled; lineage divergence is not a capitulum transition","Recover posterior/MCC tree and exact sample-state crosswalk or independently rebuild before local trait-event timing","DOI 10.1186/s12870-026-08097-6; BioProject PRJNA1311153"
EAzami_public_panel,japan_origin_global_public_panel_v2,"294 biological samples; 295 run accessions; 270 source-preserving taxon labels; 256 Moreyra samples plus 38 Chang samples; 38 Japan concepts mapped",reconstruction_panel_available_but_not_dated_tree,no,internal_public_data_recovery_complete,"The panel is a sample/run/crosswalk asset; it is not the accepted global 350-locus concatenated tree","Use as the input registry for a deferred global reconstruction lane and local Chang sensitivity","EAzami build-japan-origin-global-public-panel-v2 workflow"
