taxon,region,trait_component,size_metric,length_cm,width_cm,diameter_cm,arrangement,orientation,source,evidence_note,claim_boundary
Cirsium alpicola,Japan,display_size,involucre_live_diameter,,,1.8-2.0,clustered_2_to_5,upward_or_oblique,NMNS Japanese Cirsium database,"Involucre campanulate; live diameter 18-20 mm; 2-5 heads clustered",Direct botanical involucre size; not total plant display or fitness
Cirsium brevicaule,Ryukyu,display_size,measured_capitulum_length_width,3.68,1.79,,terminal_clustered_or_solitary,erect,Chang et al. 2026 comparative morphology,"Capitulum 3.68 +/- 0.18 x 1.79 +/- 0.14 cm",Direct measured capitulum size; not plant-level head number
Cirsium gyojanum,Japan,display_size,involucre_live_diameter,,,0.6-0.8,solitary_or_few_on_branches,upward_or_self_weight_oblique,NMNS Japanese Cirsium database,"Narrow-cylindric involucre; live diameter 6-8 mm",Direct botanical involucre size; not total plant display or fitness
Cirsium irumtiense,Ryukyu,display_size,measured_capitulum_length_width,3.40,1.93,,terminal_solitary,erect,Chang et al. 2026 comparative morphology,"Capitulum 3.40 +/- 0.65 x 1.93 +/- 0.36 cm",Direct measured capitulum size; not plant-level head number
Cirsium japonicum var. australe,Taiwan,display_size,head_diameter,,,4.0-5.0,terminal,erect,Flora of Taiwan 2nd ed.,"Heads usually terminal, globose, 4-5 cm across; involucre viscid",Direct botanical head size; not total plant display or fitness
Cirsium japonicum var. fukienense,Taiwan,display_size,involucre_length_width,3.0-5.0,2.1-2.5,,racemes_or_panicles,nodding,Chang and Tseng 2019 taxon treatment,"Involucre 3.0-5.0 x 2.1-2.5 cm; original type context cited capitula 2.1 cm diameter",Direct botanical size; do not merge historical diameter with current involucre dimensions
Cirsium kamtschaticum,Japan,display_size,involucre_live_diameter,,,1.2-2.0,solitary_or_few,nodding,NMNS Japanese Cirsium database,"Involucre bowl/campanulate/cylindric; live diameter 12-20 mm; nonsticky",Direct Japanese authority size; not total plant display or fitness
Cirsium kawakamii,Taiwan,display_size,measured_capitulum_length_width,4.78,2.03,,racemes_or_panicles,nodding,Tseng et al. 2025 comparative morphology,"Capitulum 4.78 +/- 0.98 x 2.03 +/- 0.25 cm; older flora reports heads 4-4.5 cm across",Direct measured capitulum size; not simultaneous head count
Cirsium morii,Taiwan,display_size,involucre_length_width,2.2-2.6,2.6-3.0,,terminal,erect,Flora of Taiwan 2nd ed.,"Heads terminal; involucre campanulate 2.2-2.6 x 2.6-3.0 cm",Direct botanical involucre size; not total plant display or fitness
Cirsium nippoense,Japan,display_size,involucre_live_diameter,,,1.5-2.0,many_in_panicle,upward_or_oblique,NMNS Japanese Cirsium database,"Involucre campanulate to bowl-shaped; live diameter 15-20 mm; many heads in panicle",Direct botanical involucre size; qualitative head-number architecture retained separately
Cirsium pengii,Taiwan,display_size,measured_capitulum_length_width,2.64,1.15,,terminal_or_treatment_defined,nodding,Tseng et al. 2025 comparative morphology,"Capitulum 2.64 +/- 0.38 x 1.15 +/- 0.04 cm",Direct measured capitulum size; not plant-level head number
Cirsium suffultum,Japan,display_size,involucre_live_diameter,,,0.6-1.3,solitary_or_few_in_loose_raceme,nodding,NMNS Japanese Cirsium database,"Involucre bowl/broad-campanulate/campanulate; live diameter 6-13 mm",Direct botanical involucre size; sexual morph size difference noted by source and should be population-level sensitivity
Cirsium tatakaense,Taiwan,display_size,measured_capitulum_length_width,4.82,2.17,,racemes_or_panicles,nodding,Tseng et al. 2025 comparative morphology,"Capitulum 4.82 +/- 1.73 x 2.17 +/- 0.70 cm",Direct measured capitulum size; not simultaneous head count
Cirsium yezoense,Japan,display_size,involucre_live_diameter,,,1.4-2.0,few_in_loose_raceme_or_cluster,nodding,NMNS Japanese Cirsium database,"Involucre bowl-shaped; live diameter 14-20 mm; nonsticky",Direct botanical involucre size; not total plant display or fitness
