region,modern_nuclear_status,strongest_current_evidence,known_scale,cytogenetic_or_genome_resources,organelle_evidence,flower_colour_transition_relevance,main_unresolved_gap,recommended_next_data,confidence
Japan,substantial_species_backbone,Moreyra 2025 global Compositae1061 analysis plus Chang 2025 focal Japanese Nipponocirsium,38 Japanese species reported in Moreyra; exact focal tip list pending,C. nipponicum nuclear genome; extensive taxonomic literature; focal chromosome data,multiple plastomes and barcodes,white-coloured C. pendulum and C. sieboldii plus Japanese radiation context,exact tip/sister recovery and population histories of colour morphs,recover Moreyra artifacts then population RAD or resequencing; target capture only for genuine missing taxa,high_species_medium_population
Central_Ryukyu,resolved_focal_species_framework,Chang 2026 phylotranscriptomics,C. brevicaule represented by multiple accessions in a 37-sample local study,genome-size evidence and reported chromosome context,plastid data available unevenly,fixed white C. brevicaule and its position relative to coloured lineages,population structure gene flow and causal white haplotype,population RAD/resequencing plus pigment and floral RNA; no blind species-tree rebuild,high_species_low_population
Southern_Ryukyu,substantial_focal_species_framework,Chang 2026 phylotranscriptomics,C. irumtiense represented in local nuclear framework,genome-size and morphology evidence,plastid data incomplete,tests ancestor-colour retention versus apparent regain in Arenicola,population history and introgression with C. brevicaule or other lineages,population RAD/resequencing and local ancestry; retain plastid layer separately,high_species_low_population
Taiwan_focal_Sinocirsium,substantial_species_framework_but_reticulate,Chang 2026 4083-orthogroup ASTRAL plus network analyses,albescens takaoense australe fukienense and japonicum context,karyotypes and genome sizes; flower-colour/cytotype descriptions,multiple plastomes and barcodes,white albescens and white/bluish-purple takaoense provide strongest regain test,internal morph/population topology standing variation and introgression,paired morph population RAD/resequencing plus candidate-region ancestry and floral RNA,high_species_low_population
Taiwan_Nipponocirsium,resolved_species_framework_with_ploidy_complexity,Chang 2025 phylotranscriptomics,seven focal species across Taiwan and Japan,diploid dysploid and tetraploid karyotypes; original tatakaense and kawakamii colour contrast,plastid evidence available but secondary,white C. kawakamii versus coloured C. tatakaense and C. pengii as independent-loss replicate,population gene flow homeolog history and causal white mechanism,ploidy-aware population genomics plus pigment/RNA; reference-aware homeolog handling,high_species_low_population
Taiwan_other_Cirsium,uneven_and_incomplete,Moreyra coverage uncertain plus taxonomic and karyotype papers,14 or more native taxa in contemporary keys but not one dense nuclear matrix,Taiwan-wide 2025 karyotype dataset; C. taiwanense 2n=32 yellow flower,isolated plastomes and Sanger records,yellow and other colour states could alter transition counts,modern nuclear placement and accepted-name reconciliation,artifact audit then Compositae1061 target capture for transition-critical absent taxa,medium_low
Eastern_China,fragmentary_modern_nuclear_coverage,Moreyra partial global sampling plus local ITS/plastid and taxonomic revisions,exact species count in Moreyra unresolved pending supplement,sporadic chromosome/genome-size data,many complete plastomes and barcodes,continental japonicum complex and Zhejiang bridge populations of sieboldii/yezoense,taxon synonym mapping and dense common-locus nuclear tree,first recover public tips then target capture true gaps and population RAD for bridge species,medium_low
Southwestern_China_and_Himalaya,local_multilocus_clades_only,local ITS plus matK ndhF trnL-F species-delimitation studies including C. medogense,small focal taxon sets,patchy chromosome evidence,multiple plastomes and Sanger loci,possible independent colour states and outgroup context for East Asian transitions,no unified modern nuclear framework and substantial taxonomic revision,Compositae1061 target capture prioritized by transition adjacency and geographic backbone value,low_medium
Northeastern_China_Manchuria,largely_population_gap,global Moreyra coverage uncertain; broad species distributions known,no unified verified sample table,cytology available for some Korea-connected taxa,plastomes and barcodes patchy,continental coloured backgrounds for pendulum schantarense and vlassovianum,standing variation versus repeated local white loss across borders,multi-population RAD/resequencing after species placement and cytotype audit,low
Korea,modern_species_coverage_uncertain,Moreyra possible tips plus 2021 karyotype study; no recovered dense Korea-specific nuclear tree,nine taxa in chromosome survey; exact Moreyra representation pending,C. nipponicum draft nuclear genome; aneuploidy tetraploidy and B chromosomes,multiple complete plastomes including rhinoceros and nipponicum,historical white forms in setidens rhinoceros schantarense vlassovianum; pendulum bridge,extant white-voucher verification exact nuclear placements and population structure,recover Moreyra tips; Compositae1061 for true gaps; ploidy-aware population genomics for verified morphs,low_medium
Sakhalin_and_Russian_Far_East,largely_unresolved_in_common_framework,distributions and older markers with uncertain Moreyra inclusion,no dense region-specific modern nuclear study recovered,cytotype data scattered,plastid/barcode data scattered,continental context for pendulum schantarense vlassovianum and island colonization,accepted names sample accessions and population phylogeography,target capture representative lineages plus RAD/resequencing of broad focal species after audit,low
Mongolia_and_Inner_Asia,poorly_resolved_for_project,global backbone may contain some widespread taxa but exact coverage unresolved,sparse and uneven,cytology and taxonomy scattered,organellar records uneven,possible ancestral continental context for broad colour-polymorphic species,modern common-locus sampling and taxon reconciliation,include only high-information bridge/outgroup taxa in target-capture panel,low
North_America_comparator,resolved_regional_species_framework,Siniscalchi 2023 Compositae1061 plus Moreyra 2025,64 taxa in regional target-capture study,cytotype and hybrid literature substantial,plastid histories available,methodological comparator for recent radiation and trait-transition modelling,population complexity in species complexes,do not sample for EAzami unless used as external validation,high
Europe_Western_Palearctic_comparator,strong_backbone_and_reticulation_examples,Moreyra 2025 plus Ackerfield/Del Guacchio/Bures studies,broad species coverage and multiple local hybrid systems,C. heterophyllum and C. dissectum whole-genome resources; extensive cytology,many plastomes,reference-genome orthology and empirical hybridization comparator,generic delimitation and hybrid-origin lineages,import genomes and tree data; exclude/model known hybrids in transition analyses,high
