hypothesis_id,legacy_link,question,preliminary_analyses,evidence,current_status,current_inference,existing_data_limit,next_data_required,priority,preliminary_stop_rule,heavy_compute_policy
H-RAD1,HMM3,"Did one Japanese lineage undergo a strongly asymmetric rapid radiation?","Japanese-origin meta-analysis; 36/38 occupancy synthesis","data/evidence/japan_cirsium_origin_meta_analysis_v1.json|data/evidence/japan_radiation_existing_data_meta_v1.json",strong_descriptive,"One dominant young Japanese radiation plus rare secondary histories is the current best synthesis.","36:1:1 is sampled occupancy rather than an age-corrected diversification-rate estimate.","None for the descriptive radiation claim; obtain a branch-length/time tree only if rate acceleration itself becomes decision-critical.",A,"Stop preliminary work once the radiation-success asymmetry and exception lineages are stable enough to choose focal sampling.",defer_heavy_tree_until_decision_critical
H-EVOL1,HMM3|HMM6,"Can closely related members of the dominant radiation generate large capitulum disparity by modular trait reuse?","Pre-tree trait disparity; authority module combinations; module-specific trait-environment screen","data/evidence/japan_radiation_pre_tree_trait_disparity_v1.json|data/evidence/japan38_authority_module_combinations_v1.json|data/evidence/japan_radiation_pre_tree_module_environment_coupling_v1.json",strengthened_not_demonstrated,"Large phenotype disparity occurs within the dominant radiation and does not collapse to one capitulum syndrome.","Present-state disparity does not identify ancestry source, evolutionary rate, selection, or causal evolvability.","Matched population ancestry + morphology + plastid + cytotype in repeated focal systems.",A,"Do not add more broad descriptive trait screens unless they change which populations are sampled.",no_additional_heavy_preliminary_compute
H-CLIM1,HMM6,"Does broad current climate distance explain capitulum disparity?","Four-axis CHELSA environmental disparity; total and module-specific trait-environment coupling","data/evidence/japan_radiation_pre_tree_environment_disparity_v1.json|data/evidence/japan_radiation_pre_tree_trait_environment_coupling_v1.json|data/evidence/japan_radiation_pre_tree_module_environment_coupling_v1.json",not_supported_current_subset,"No positive coupling is detected between broad current climate distance and capitulum distance in the current nine-taxon subset.","Only broad species-median climate descriptors are tested; biotic and microhabitat axes remain unmeasured.","For focal systems measure microclimate and biotic interactions rather than adding more broad CHELSA-only models.",B,"Stop broad-climate preliminary modelling here; reopen only with a new ecological axis or a focal causal design.",do_not_expand_broad_climate_models
H-PL1,HMM3|HMM4,"Does ploidy deterministically set capitulum state?","Source-backed Japan-38 cytotype × orientation overlap","data/evidence/japan38_cytotype_trait_overlap_v1.json",rejected_as_deterministic,"2x/4x/6x occur in the dominant radiation and upward heads occur across ploidy levels; diploids include both upward and downward states.","Sparse taxon-level cytotypes cannot test whether polyploidy facilitates evolvability or gene flow.","Flow cytometry on the same RAD individuals plus ploidy-aware ancestry/homeolog analysis.",A,"Do not add more taxon-level ploidy correlations; next evidence must be population-linked.",no_heavy_tree_needed
H-COL1,HMM2,"Does species-tip coding underestimate recent white/coloured transitions?","Population-aware transition-count sensitivity across four reviewed polymorphic systems","data/evidence/hmm2_population_aware_transition_test_v1.json|data/evidence/hmm2_population_aware_transition_testability_v1.csv",partial_support,"All four reviewed systems lose W/C multiplicity under one species-tip P state; takaoense minimum transitions increase from 1 to 2 when morph-linked samples are retained.","Only takaoense has morph-linked high-dimensional nuclear samples; replicated transition-rate inflation is not testable.","Morph-linked nuclear samples for C. pendulum, C. sieboldii, and C. aomorense where feasible.",A,"Stop additional species-tip colour ASR until morph↔genotype linkage is added.",no_additional_species_tree_rebuild_for_preliminary_phase
H-RET1,HMM3|HMM4,"Do standing ancestral variation and/or introgression enable repeated trait reuse during the radiation?","Published reticulation evidence; origin meta-analysis; HMM2 state-compression result","data/evidence/japan_radiation_existing_data_meta_v1.json|data/evidence/hmm2_population_aware_transition_test_v1.json",unresolved,"Reticulation/ILS are biologically plausible and species-tip histories are compressed, but variant origin cannot be assigned.","Species-level public data cannot distinguish retained ancestral alleles from recent introgression in focal morph transitions.","Population RAD/resequencing with same-individual plastid in pendulum, sieboldii, takaoense, brevicaule, and irumtiense.",A,"No more broad phylogenomic fishing as a preliminary step; sample populations that discriminate the alternatives.",population_data_required_before_more_heavy_phylogenomics
H-MECH1,HMM1|HMM5,"Is recurrent colour switching enabled by retention and regulatory reuse of the anthocyanin pathway?","C. nipponicum pathway-homology screen; takaoense W/BP DFR/ANS detectability screen","data/evidence/cnipponicum_flavonoid_blast_candidate_summary_v1.json|data/evidence/takaoense_dfr_ans_targeted_sra_panel_summary_v1.json",plausibility_only,"DFR/ANS and other pathway homologs are recoverable and DFR/ANS reads are detectable in both W and BP public young-leaf RNA, supporting pathway-retention plausibility.","Young-leaf raw hits do not establish floral expression, orthology, genotype, pigment state, or causation.","Same-individual ancestry + coding haplotypes + floral RNA + pigment + standardized colour in replicated W/C systems.",A,"Do not run more untargeted SRA/BLAST screens unless they resolve an explicit candidate gene decision.",targeted_molecular_work_only_after_focal_sampling
H-CYTO1,HMM4,"How much cytonuclear discordance exists within Japanese focal radiations?","Literature-level cytonuclear examples and current unmatched nuclear/plastid evidence audit","docs/JAPAN_RADSEQ_PHASE_A_SAMPLING_PLAN_2026-08-16.md",unresolved,"Cytonuclear discordance is expected to be informative but its frequency and geography are not quantified for the Japanese focal systems.","Separate public nuclear and plastid studies are not the same individuals/populations.","Generate plastid haplotypes from the same individuals used for population RAD/resequencing.",B,"Do not build a separate large plastid tree as a substitute for matched cytonuclear sampling.",no_large_plastid_tree_preliminary
H-ADAPT1,adaptive_radiation,"Are capitulum modules adaptive drivers rather than only divergent traits?","Pre-tree phenotype/environment screens; published functional analogues","data/evidence/japan_radiation_pretree_meta_synthesis_v1.json",unresolved,"Current correlations identify repeated disparity but do not establish trait→interaction→fitness causation.","Macro correlations and current climate positions cannot demonstrate adaptation.","After ancestry is resolved, run replicated focal manipulations: orientation→rain/pollination/seed set; colour→pollinator/abiotic effects; phyllary/spine→antagonists/pollinator access.",A,"Do not add more macro correlations to claim adaptation; next decisive evidence is experimental fitness.",experimental_data_required
H-RYK1,HMM1|HMM4,"What population history produced white C. brevicaule and coloured C. irumtiense across the Ryukyus?","Published Arenicola topology/colour-history synthesis","data/evidence/arenicola_flower_colour_history_evidence_v1.csv",directional_history_only,"Current evidence favours white loss on C. brevicaule; regain in C. irumtiense is not established.","Species-level topology cannot distinguish introgression, retained colour variation, or island-level ancestry.","4–5 island populations per taxon with population ancestry + same-individual plastid + cytotype + standardized capitulum traits.",A,"Stop additional species-level regain speculation; next step is island-population sampling.",population_data_required
