tree_code,published_species,biosample,sra_scientific_name,run,region_class,scope_class,geographic_evidence_relation,tree_code_vs_sra_name,coverage_decision
Cirsium aidzuense,Cirsium aidzuense i,SAMN44017809,Cirsium aidzuense,SRR30887269,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium alberti,Cirsium alberti Regel & Schmalh.,SAMN44017810,Cirsium albertii,SRR30887257,China,core_east_asia,sra_only,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium alpicola,Cirsium alpicola Nakai,SAMN44017811,Cirsium alpicola,SRR30887181,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium amplexifolium,Cirsium amplexifolium (Nakai) Kitam.,SAMN34240257,Cirsium amplexifolium,SRR25265557,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium aomorense,Cirsium aomorense Nakai,SAMN44017814,Cirsium aomorense,SRR30887235,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium argyracanthum,Cirsium argyracanthum DC.,SAMN44017818,Cirsium argyracanthum,SRR30887304,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium coryletorum,Cirsium coryletorum Kom.,SAMN34240275,Cirsium vlassovianum,SRR25265601,Russian_Far_East,northeast_asia_bridge,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium dipsacolepis,Cirsium dipsacolepis Matsum.,SAMN44017836,Cirsium dipsacolepis,SRR30887259,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium domonii,Cirsium domonii Kadota,SAMN34240283,Cirsium domonii,SRR25265717,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium fanjingshanense,Cirsium fanjingshanense C.Shih,SAMN34240294,Cirsium fanjingshanense,SRR25265705,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium fargesii,Cirsium fargesii (Franch.) Diels,SAMN44017847,Cirsium fargesii,SRR30887183,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium funagataense,Cirsium funagataense Kadota,SAMN44017850,Cirsium funagataense,SRR30887179,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium glabrifolium,Cirsium glabrifolium (C.Winkl.) O.Fedtsch. & B.Fedtsch.,SAMN34240299,Cirsium x glabrifolium,SRR25265701,China,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium gyojanum,Cirsium gyojanum Kitam.,SAMN34240301,Cirsium gyojanum,SRR25265698,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium handelii,Cirsium handelii Petr.,SAMN44017855,Cirsium handelii,SRR30887175,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium henryi,Cirsium henryi (Franch.) Diels,SAMN44017857,Cirsium henryi,SRR30887172,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium interpositum,Cirsium griffithii Boiss.,SAMN44017859,Cirsium interpositum,SRR30887173,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium ishidatense,"Cirsium ishidatense (Horiuchi) Kadota et Horiuchi, comb. ined.",SAMN44017861,Cirsium sp. LM-2024b,SRR30887255,Japan,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium ishizuchiense,Cirsium ishizuchiense (Kitam.) Kadota,SAMN34240308,Cirsium ishizuchiense,SRR25265691,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium japonicum,Cirsium japonicum Fisch. ex DC. var. horridum Nakai,SAMN44017885,Cirsium japonicum,SRR30887271,Japan,core_east_asia,sra_only,exact,public_moreyra_nuclear_tip_verified
Cirsium kamtschaticum,Cirsium kamtschaticum Ledeb. ex DC.,SAMN44017865,Cirsium kamtschaticum,SRR30887251,Russian_Far_East,northeast_asia_bridge,supplement_refines_sra_russia,exact,public_moreyra_nuclear_tip_verified
Cirsium kasaianum,Cirsium kasaianum Kadota,SAMN44017866,Cirsium kasaianum,SRR30887250,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium kiotoense,Cirsium kiotoense (Kitam.) Kadota,SAMN44017868,Cirsium sp. LM-2024c,SRR30887252,Japan,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium leo,Cirsium leo Nakai & Kitag.,SAMN34240310,Cirsium leo,SRR25265689,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium lineare,Cirsium lineare (Thunb.) Sch.Bip.,SAMN44017876,Cirsium lineare,SRR30887240,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium maackii,Cirsium maackii Maxim.,SAMN34240313,Cirsium japonicum var. maackii,SRR25265685,Russian_Far_East,northeast_asia_bridge,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium magofukui,Cirsium magofukui Kitam.,SAMN44017880,Cirsium magofukui,SRR30887169,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium maritimum,Cirsium maritimum Makino,SAMN44017881,Cirsium maritimum,SRR30887168,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium matsumurae var. dubium,Cirsium matsumurae Nakai var. dubium Kitam.,SAMN44017874,Cirsium matsumurae var. dubium,SRR30887241,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium monocephalum,Cirsium monocephalum H.Lév.,SAMN44017884,Cirsium monocephalum,SRR30887166,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium nippoense,Cirsium nippoense Kadota,SAMN44017888,Cirsium nipponense,SRR30887161,Japan,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium norikurense,Cirsium norikurense Nakai,SAMN44017889,Cirsium norikurense,SRR30887160,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium oligophyllum,Cirsium oligophyllum Matsum.,SAMN44017894,Cirsium oligophyllum,SRR30887154,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium pendulum,Cirsium pendulum Fisch. ex. DC.,SAMN34240327,Cirsium pendulum,SRR25265649,Russian_Inner_NE_Asia,northeast_asia_bridge,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium pseudosuffultum,Cirsium pseudosuffultum Kadota,SAMN44017901,Cirsium pseudosuffultum,SRR30887147,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
