tip_id,accepted_taxon,analysis_state,state_label,evidence_status,source_scope,source_url,source_basis,same_primary_voucher_state_verified,claim_boundary
Cirsium_alpicola,Cirsium alpicola,U,upward_or_erect,exact_authority_concept,Japan38 NMNS authority seed,repo:data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv,authority categorical upward/erect state,false,taxon-concept state; not same-voucher phenotyping
Cirsium_brevicaule,Cirsium brevicaule,U,upward_or_erect,exact_authority_concept,NMNS Japanese Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=65,heads explicitly described as erect,false,taxon-concept state; not same-voucher phenotyping
Cirsium_fanjingshanense,Cirsium fanjingshanense,?,erect_or_nodding,explicit_within_taxon_ambiguity,2024 Phytotaxa comparative table,https://phytotaxa.mapress.com/pt/article/view/phytotaxa.662.2.9,capitula reported as nodding or erect,false,retain unresolved; do not force a binary tip state
Cirsium_gyojanum,Cirsium gyojanum,U,upward_or_erect,exact_authority_concept,Japan38 NMNS authority seed,repo:data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv,authority categorical upward/erect state,false,taxon-concept state; not same-voucher phenotyping
Cirsium_irumtiense,Cirsium irumtiense,U,upward_or_erect,exact_original_description,Kitamura 1933 original description,https://www.jstage.jst.go.jp/article/bunruichiri/2/1/2_KJ00002594030/_article/-char/ja,capitula at anthesis explicitly described as erect,false,taxon-concept state; not same-voucher phenotyping
Cirsium_japonicum_var_albescens,Cirsium japonicum var. albescens,U,upward_or_erect,exact_historical_taxon_description,Kitamura East Asian Cirsium monograph,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/257868/1/mcskiu-b_13_1.pdf,capitula at anthesis explicitly described as erect,false,taxon-concept state; not same-voucher phenotyping
Cirsium_japonicum_var_australe,Cirsium japonicum var. australe,U,upward_or_erect,exact_taxonomic_key,2019 PhytoKeys Taiwan Cirsium key,https://pmc.ncbi.nlm.nih.gov/articles/PMC6384280/,taxonomic key places var. australe under mature capitula erect,false,taxon-concept state; not same-voucher phenotyping
Cirsium_japonicum_var_fukienense,Cirsium japonicum var. fukienense,D,downward_or_nodding,exact_taxon_description,Chang and Tseng 2019 taxon treatment,https://www.researchgate.net/publication/335202385_Cirsium_japonicum_DC_var_fukienense_Kitam_Compositae_a_newly_recorded_taxon_of_Taiwan_and_its_western_outlying_islands,mature capitula explicitly described as nodding,false,taxon-concept state; not same-voucher phenotyping
Cirsium_japonicum_var_japonicum,Cirsium japonicum var. japonicum,U,upward_or_erect,exact_variety_concept,Tsukuba Botanical Garden illustrated flora,https://tbg.kahaku.go.jp/recommend/illustrated/result.php?name=%E3%83%8E%E3%82%A2%E3%82%B6%E3%83%9F,capitula explicitly described as erect,false,taxon-concept state; not same-voucher phenotyping
Cirsium_kamtschaticum,Cirsium kamtschaticum,D,downward_or_nodding,exact_authority_concept,Japan38 NMNS authority seed,repo:data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv,authority categorical downward/nodding state,false,taxon-concept state; not same-voucher phenotyping
