focal_taxon,tree_code,published_species,biosample,experiment,run,sra_scientific_name,region_class,voucher_and_herbarium,geographic_interpretation,chapter2_consequence
Cirsium domonii,Cirsium domonii,Cirsium domonii Kadota,SAMN34240283,SRX21011499,SRR25265717,Cirsium domonii,Japan,"Japan, Honshu, 10.30.2008, Takeo Kuramata s.n. (MBK-0304890)",wild Japanese sample,species placement directly reusable; colour evidence still needed
Cirsium dipsacolepis,Cirsium dipsacolepis,Cirsium dipsacolepis Matsum.,SAMN44017836,SRX26291339,SRR30887259,Cirsium dipsacolepis,Japan,"Japan, Shikoku: Tokushima Pref.; Mt. Shiozuka-mine, Yutaka Oohira 142102-a (MBK-0312393)",wild Japanese sample,replaces previous tree-only status with exact public target-capture sample
Cirsium pendulum,Cirsium pendulum,Cirsium pendulum Fisch. ex DC.,SAMN34240327,SRX21011568,SRR25265649,Cirsium pendulum,Russian_Inner_NE_Asia,"Russia, Trans-Baikal Territory, 07.22.2011, N.S. Gamova and S.V. Dudov 11 0183 (MW0150574)",continental Trans-Baikal sample rather than Japanese white or purple population,species placement exists but Japanese colour-morph and continent-bridge population history remain unsampled
Cirsium sieboldii,Cirsium sieboldii,Cirsium sieboldii Miq.,SAMN44017917,SRX26291290,SRR30887308,Cirsium sieboldii,Other_or_unresolved,Cultivated at the Botanical Garden of Barcelona,cultivated sample with source locality unresolved,species placement exists but it cannot replace Japanese white/purple or Zhejiang population sampling
Cirsium yezoense,Cirsium yezoense,Cirsium yezoense (Maxim.) Makino,SAMN44017952,SRX26291371,SRR30887226,Cirsium yezoense,Japan,"Japan, Honshu: Fukushima Pref., Iwaki-shi, Y. Yuzawa 24070 (MBK-0219925)",wild Japanese coloured bridge control,modern nuclear control exists; Zhejiang population bridge remains missing
Cirsium japonicum,Cirsium japonicum,Cirsium japonicum Fisch. ex DC. var. horridum Nakai,SAMN44017885,SRX26291327,SRR30887271,Cirsium japonicum,Japan,"Japan, Shikoku: Kochi Pref.; Mt. Kobiso-yama, N. Inagaki et al. FOK-067566 (MBK-0087486)",Japanese var. horridum treatment under broad C. japonicum name,retain published variety name and do not equate automatically with Taiwanese varieties
Cirsium lineare,Cirsium lineare,Cirsium lineare (Thunb.) Sch.Bip.,SAMN44017876,SRX26291359,SRR30887240,Cirsium lineare,Japan,"Japan, 09.09.1984, Miyoshi Furuse 52881 (PE01293160)",wild Japanese sample and repeated Chang outgroup anchor,multiple modern nuclear sources make this a reusable coloured backbone control
Cirsium nipponicum,Cirsium nipponicum,Cirsium nipponicum Makino,SAMN34240318,SRX21011558,SRR25265660,Cirsium nipponicum,Other_or_unresolved,Tokyo Metropolitan Medicinal Plants Garden s.n. 2002 (TOKMM Cod.S 1905),cultivated accession with original wild locality unresolved,modern nuclear placement exists but provenance must be retained separately
Cirsium nipponicum var. incomptum,Cirsium tanakae,Cirsium nipponicum var. incomptum (Maxim.) Kadota,SAMN44017932,SRX26291307,SRR30887291,Cirsium tanakae,Japan,Tokyo Metropolitan Medicinal Plants Garden 401 2002 (TOKMM Cod.S 1903),published taxon concept and submitted SRA name differ,synonym/tree-code reconciliation is required before combining with Chang var. incomptum
Cirsium nipponicum var. incomptum,Cirsium tonense,Cirsium nipponicum var. incomptum (Maxim.) Kadota,SAMN44017937,SRX26291312,SRR30887286,Cirsium nipponicum var. incomptum,Japan,"Japan, Honshu: Miyagi Pref., Ogaya, Yuki Ueno and Kazumi Fujikawa 210052",wild Japanese sample with tree-code/accepted-name mismatch,usable only with explicit taxonomic reconciliation
Cirsium vlassovianum,Cirsium coryletorum,Cirsium coryletorum Kom.,SAMN34240275,SRX21011616,SRR25265601,Cirsium vlassovianum,Russian_Far_East,"Russia, southern Sikhote-Alin, Zhudova and Pokrovskaya 3354 (MW0150743)",Russian Far East sample submitted under C. vlassovianum,critical synonym hypothesis for standing variation across NE Asia
Cirsium vlassovianum,Cirsium vlassovianum,Cirsium vlassovianum Fisch. ex DC.,SAMN34240350,SRX21011551,SRR25265666,Cirsium vlassovianum,Mongolia,"Mongolia, western spurs of Bolshaya Khingan, A. Gubanov and Sh. Dariimaa 61152 (MW0194150)",Mongolian continental sample,two continental nuclear samples exist but historical white-form populations remain unrepresented
