analysis_taxon,orientation_state,source_lane,source_url,source_sha256,source_basis,discovery_overlap,eligible_for_occurrence_gate
Cirsium chrysolepis,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023660,96e08a755319392ba939ca204e09715aba127e4d3a8867034de47581a48fabff,"Capitula corymbose, erect.",false,true
Cirsium fangii,downward_or_nodding,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023663,2600ac421405e1fc22aace07f17549cf6e3d7e1909394fb3a581e487c944753a,"Capitula few, terminal on long branches, nodding.",false,true
Cirsium helenioides,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023670,90c51e409e73d99a406a634d54183791ffe4b7325eb07d5ea435ba062afb9372,"Capitula 1 to few, corymbose, erect.",false,true
Cirsium lidjiangense,downward_or_nodding,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023679,e510d66b4bed664d8c75a93b169f13e6969874f304707cb06483456475124410,"Capitula racemose to racemose-paniculate, nodding.",false,true
Cirsium muliense,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023683,0e23c7b52ca42ac77514159a8410d8bad400586b60772425599e239552ca3728,"Capitula few, racemose, erect.",false,true
Cirsium schantarense,downward_or_nodding,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023689,dd006fbc9ec2b520a1833f9175c6686a947deddc8ead3360a98df672a55f073e,"Capitula few, terminal, nodding.",false,true
Cirsium serratuloides,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023691,1f975a1eb56cdf287939f19ffac00e3632fba0188afe8b4d5c318c14e7632284,"Capitula erect, laxly corymbose.",false,true
Cirsium tianmushanicum,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023698,06d7397c99f623c60144a0adf53af5a251685a89a5b0552cbcfa07aa150d72ab,"Capitula few to many, corymbose, erect.",false,true
Cirsium vernonioides,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023699,f012ac0cb47810d7ee4ccfa9854312790c192d859a611a4a0ed49ac22c4b390b,"Capitula several, corymbose, erect.",false,true
Cirsium vlassovianum,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023701,2c20d875b17834796d415dabb17417253c4414fce3ed199bb022de9f1d4527ea,"Capitula 1 to few, corymbose, erect.",false,true
Cirsium vulgare,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023702,2a11e67f16a59728595158a2745f19e7f9b94f22790e863db26ef9283544006d,"Capitula few to many, paniculate-corymbose to racemose, erect.",false,true
Cirsium argyracanthum,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=242313045,4fe7773f84966ea494aa92aaada47525095bbe93ba2bb15ff6d25b54ce97c14d,"Capitula few to many, spicate/racemose/racemose-paniculate, erect.",false,true
Cirsium semenowii,upward_or_erect,Flora_of_China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=250097439,f204989b34a9d004ea75ed03c981af34941db719c9ab2861d02c3ab5db5fd904,"Capitula few to many, racemose to glomerate, erect.",false,true
