result_id,domain,status,headline_result,source_paths,manuscript_disposition,claim_ceiling
P01,radiation_history,COMPLETE_FROZEN,"36/38 sampled Japanese paper concepts occur in the dominant radiation; C. lineare is a replicated secondary-history exception and C. dipsacolepis is a secondary-arrival candidate.","data/evidence/chapter2_core_result_recovery_v1.csv;data/evidence/japan_radiation_existing_data_meta_v1.json",MAIN_CONTEXT,"Sampled-history asymmetry, not an age-corrected diversification-rate estimate."
P02,present_trait_disparity,COMPLETE_FROZEN,"Within the nine-taxon public-image subset, dominant-radiation trait disparity is at least as large as the C. lineare secondary-history separation: dominant LOO max 8.103 and within-dominant pairwise max 6.751 versus C. lineare centroid distance 4.842.","data/evidence/japan_radiation_pre_tree_trait_disparity_v1.json;docs/JAPAN_RADIATION_PRETREE_META_SYNTHESIS_2026-08-16.md",SUPPORTING_CONTEXT,"Small public-image subset; descriptive current phenotype space, not evolutionary rate."
P03,present_environment_disparity,COMPLETE_FROZEN,"The dominant radiation also spans broad current CHELSA space: dominant LOO max 6.358 and within-dominant max 5.623 exceed C. lineare centroid distance 1.188 and its largest observed dominant comparison 3.719.","data/evidence/japan_radiation_pre_tree_environment_disparity_v1.json;docs/JAPAN_RADIATION_PRETREE_META_SYNTHESIS_2026-08-16.md",SUPPORTING_CONTEXT,"Current species-median environmental positions, not historical niches."
P04,trait_environment_decoupling,COMPLETE_FROZEN,"In the same nine-taxon subset, seven-axis capitulum distance is not positively coupled to four-axis broad climate distance (rho=-0.215; positive-coupling permutation P=0.732), with all LOO correlations negative.","data/evidence/japan_radiation_pre_tree_trait_environment_coupling_v1.json;docs/JAPAN_RADIATION_PRETREE_META_SYNTHESIS_2026-08-16.md",SUPPORTING_CONTEXT,"Does not imply non-adaptation or environmental irrelevance."
P05,cytotype,COMPLETE_FROZEN,"Upward/ascending orientation occurs in 2x, 4x and 6x dominant-radiation taxa, while diploids include both upward and downward/nodding states.","data/evidence/chapter2_core_result_recovery_v1.csv;docs/JAPAN_RADIATION_PRETREE_META_SYNTHESIS_2026-08-16.md",SUPPORTING_INFORMATION,"Rejects deterministic one-ploidy/one-orientation mapping only."
P06,configuration_diversity,COMPLETE_FROZEN,"The dominant radiation contains multiple orientation x stickiness configurations; current authority-backed sources represent four named combinations.","data/evidence/chapter2_core_result_recovery_v1.csv;docs/chapter2/DIVERSITY_DEPTH_STANDALONE_V1.md",MAIN_RESULT,"Configuration diversity is source-backed but not a developmental module test."
P07,orientation_history,COMPLETE_FROZEN,"Orientation requires ML minimum 6 changes and 4-6 across 1,000 UFBoot topologies, with median relative-depth envelope 0.795-0.994.","data/evidence/japan38_relative_event_depth_v1.json",MAIN_RESULT,"Minimum-change lower bounds; not independent origins, rates or event ages."
P08,phyllary_history,COMPLETE_FROZEN,"Phyllary posture requires exactly 3 changes across the admitted topology ensemble and admits deeper placements, median relative-depth envelope 0.695-1.000.","data/evidence/japan38_relative_event_depth_v1.json",MAIN_RESULT,"Minimum-change lower bounds; not independent origins or event ages."
P09,stickiness_history,COMPLETE_FROZEN,"Stickiness requires exactly 5 changes and has a narrow shallow median depth envelope 0.937-0.954; current JPN06 forced-edge frequency is 0.995.","data/evidence/japan38_relative_event_depth_v1.json;docs/chapter2/DIVERSITY_DEPTH_STANDALONE_V1.md",MAIN_RESULT,"Topology-conditioned placement robustness; not adaptation or function."
P10,module_history,COMPLETE_FROZEN,"Zero of three discrete trait pairs passes the robust shared-transition-localization rule, weakening the simplest synchronized whole-capitulum transition history.","data/evidence/chapter2_time_axis_compute/japan38_latest_module_transition_overlap_v2.json;data/evidence/japan38_relative_event_depth_v1.json",MAIN_RESULT,"Does not prove genetic/developmental independence."
P11,observation_resolution,COMPLETE_FROZEN,"Species-tip coding hides within-lineage colour-state multiplicity in 4/4 audited polymorphic systems; in the morph-linked testable system, population-aware coding increases the minimum transition count from 1 to 2.","data/evidence/cross_scale_identifiability_meta_v1.json;data/evidence/chapter2_core_result_recovery_v1.csv",SUPPORTING_INFORMATION,"Methodological identifiability result, not a universal correction factor."
P12,white_sister_phenotype,COMPLETE_FROZEN,"Two dated white-coloured sister systems independently show lower chroma and higher lightness in the white lineage; both also repeat three coarse geometry directions: circularity higher, solidity higher and visible floret fraction lower.","data/evidence/chapter2_four_taxon_azami_measurement_result_v1.json",SUPPORTING_INFORMATION,"Partial coarse remodelling, not a universal white-flower syndrome or causal mechanism."
P13,current_orientation_environment,COMPLETE_FROZEN,"East-Asian downward-minus-upward orientation contrasts are large and sign-stable for BIO15 (about +1.32 SD) and BIO1 (about -0.97 SD) across the frozen accepted topologies and species-LOO fits.","data/evidence/fdt4_taiwan_multisource_orientation_sensitivity_v1.json;data/evidence/chapter2_ecological_explanatory_reach_v1.json",SUPPORTING_ECOLOGY,"Present association, not historical trigger causation."
P14,current_orientation_scale_partition,PENDING_CHILD_PR,"PR #159 classifies orientation-environment association as scale-partitioned: Azami BIO12 among-taxon supported but within-taxon unsupported; BIO1 within-taxon supported but among-taxon unsupported; BIO15 East-Asian state contrast lacks a matching positive within-taxon association.","PR#159;data/evidence/chapter2_orientation_environment_scale_partition_v1.json",MAIN_SUPPORT_IF_VALIDATED,"Scale partition does not establish climatic selection or a reaction norm."
P15,pigment_pathway_genome,COMPLETE_FROZEN,"C. nipponicum public genome screening recovers candidate homologs for 11/11 reviewed flavonoid-pathway query anchors and first-pass family discrimination for DFR, ANS/LDOX, CHS and FLS.","data/evidence/micro_to_macro_evidence_matrix_v3.csv;data/evidence/cirsium_flavonoid_molecular_bridge_summary_v1.json",COMPANION_MECHANISM,"Candidate family recovery does not prove functional copies in white lineages or regulatory causation."
P16,pigment_pathway_expression,COMPLETE_FROZEN,"C. takaoense NH public RNA-seq contains DFR- and ANS-homologous reads (4,539 and 1,071 alignment rows respectively in the frozen targeted screen).","data/evidence/takaoense_NH_dfr_ans_targeted_sra_vdb_v1.json",COMPANION_MECHANISM,"Homologous reads are pathway-presence evidence, not differential-expression or pigment-function proof."
P17,reproductive_antagonism,COMPLETE_FROZEN,"Four independent Cirsium study clusters give pooled reduced-herbivory/ambient seed-output RR=2.674 (95% CI 2.388-2.993), with low heterogeneity and direction retained under LOO.","data/evidence/cirsium_floral_herbivory_lnrr_meta_v2.json",MECHANISTIC_PRIOR,"Shows antagonists can strongly affect reproduction; does not connect a specific capitulum trait to selection."
P18,pollination_antagonism_mosaic,COMPLETE_FROZEN,"Cirsium pollinator-assurance evidence is high in 5/6 independent studies, and the strict pollination x antagonism experimental set is dominated by mixed/agent-dependent selection rather than one universal agent.","docs/AIM2_CIRSIUM_INTERACTION_EVIDENCE_MAP_2026-08-18.md;data/evidence/doctoral_global_to_east_asia_evidence_ladder_v2.csv",MECHANISTIC_PRIOR,"Literature prior; not a reconstructed historical cause in the focal radiation."
P19,orientation_mechanism_reduction,COMPLETE_FROZEN,"Among five external-experiment mechanism families, time-window pollination plus abiotic protection is the only family reproducing all five core targets; full-core match rate is 18.3% in 1,500 draws and held-out targets pass 2/2.","docs/AIM2_FIELD_NESTING_PLAN_2026-08-18.md",MECHANISTIC_PRIOR,"Cross-system mechanistic prior, not Cirsium mechanism proof."
P20,present_structure_simulation,COMPLETE_FROZEN,"The observed support geometry is not reproduced by the simple frozen null in 0/64 held-out replicates; an among-taxon structural addition outperforms the null in 22/24 diagnostic replicates.","data/evidence/azami_capitulum_v3_null_heldout_support_decision_v1.json;docs/chapter2/EVIDENCE_MAP_V1.md",AUXILIARY,"Simulation sufficiency/diagnostic result, not a unique biological mechanism."
P21,present_structure_simulation_v41,PROVISIONAL_UNMERGED,"Draft PR #122 reports that among-unit mosaic loadings and combined scale decoupling pass the registered v4.1 seven-target adequacy gates, with combined scale decoupling the stronger nested candidate.","PR#122",AUXILIARY_PROVISIONAL,"Unmerged and awaiting independent held-out validation."
P22,historical_orientation_tendency,COMPLETE_FROZEN,"The central 0.79-0.74 Ma orientation chronology produces BIO1/BIO4/BIO15 decreases in 4/4 regional scenarios and BIO12 increase in 3/4; BIO1 is descriptively low and variable relative to matched windows.","data/evidence/chapter2_orientation_differentiation_environment_v2_summary.json",DISCUSSION_TENDENCY,"Does not survive the full chronology x palaeolocation envelope and cannot be promoted to a robust trigger."
P23,historical_region_ordering,PENDING_CHILD_PR,"PR #158 finds southern Japan ranks first in 48/94 chronology scenarios and exceeds each other region in about 65-68% of paired scenarios, but fails the frozen 75% dominance gate.","PR#158;data/evidence/chapter2_orientation_origin_region_ranking_result_v1.json",SUPPORTING_TENDENCY_IF_VALIDATED,"Scenario-wise ordering robustness, not ancestral-area probability."
