target_id,source_layer,domain,module,scale,target_kind,metric,target_value,lower_bound,upper_bound,direction,weight,source_ref,source_locator,simulation_role,notes
AZ_VAR_RANGE,azami_observation,trait_variation,all_modules,head_photo_taxon,range,within_assigned_species_visible_variance_fraction,0.7597,0.5886,0.9307,high,2,zuizui0223/azami,manuscript/final_claims.json:nested_visible_variance,fit_target,"Image-level variance only; not genetic variance."
AZ_ORIENT_BIO1,azami_observation,environment,orientation,within_taxon,numeric_beta,orientation_angle_vs_BIO1,0.017059,,,positive,1,zuizui0223/azami,manuscript/final_claims.json:within_species_inference_levels,fit_target,"Sign is primary simulation target; raw beta units are observation-model specific."
AZ_CHROMA_BIO12,azami_observation,environment,colour,within_taxon,numeric_beta,corolla_chroma_vs_BIO12,0.039324,,,positive,1,zuizui0223/azami,manuscript/final_claims.json:within_species_inference_levels,fit_target,"Positive precipitation association in exhaustive primary cohort."
AZ_SHAPE_BIO4,azami_observation,environment,shape,within_taxon,numeric_beta,aspect_ratio_vs_BIO4,0.013723,,,positive,1,zuizui0223/azami,manuscript/final_claims.json:within_species_inference_levels,fit_target,"Shape signal is weaker/model-dependent globally."
AZ_SHAPE_BIO12,azami_observation,environment,shape,within_taxon,numeric_beta,aspect_ratio_vs_BIO12,-0.010796,,,negative,1,zuizui0223/azami,manuscript/final_claims.json:within_species_inference_levels,fit_target,"Negative precipitation association."
AZ_INVOL_BIO4,azami_observation,environment,involucre_defence_proxy,within_taxon,numeric_beta,involucre_projection_roughness_vs_BIO4,0.0975,,,positive,1,zuizui0223/azami,manuscript/final_claims.json:auxiliary_involucre,fit_target,"2D image proxy; not demonstrated defence."
AZ_SPREAD_BIO4,azami_observation,environment,involucre_defence_proxy,within_taxon,numeric_beta,involucre_spread_fraction_vs_BIO4,0.0937,,,positive,1,zuizui0223/azami,manuscript/final_claims.json:auxiliary_involucre,context_target,"Same family as AZ_INVOL_BIO4."
AZ_SPINE_BIO4,azami_observation,environment,involucre_defence_proxy,within_taxon,numeric_beta,spine_relative_length_max_proxy_vs_BIO4,0.0911,,,positive,1,zuizui0223/azami,manuscript/final_claims.json:auxiliary_involucre,context_target,"Same family as AZ_INVOL_BIO4."
AZ_LABILITY_RHO,azami_observation,cross_scale,module_decoupling,taxon,numeric_rho,visible_variation_vs_environment_association_energy,-0.05687,-0.26524,0.15484,near_zero,2,zuizui0223/azami,manuscript/final_claims.json:revised_primary_results,fit_target,"No universal lability axis after precision correction."
AZ_ENV_MODULE_RANK,azami_observation,environment,module_ranking,global_spatial,ordinal,environment_structure_orientation_colour_vs_shape,1,,,orientation_colour_stronger,1,zuizui0223/azami,manuscript/final_claims.json:grouped_spde,fit_target,"Orientation and visible colour retain clearer global SPDE structure than gross outline."
INT_HERB_RR,EAzami_meta,antagonist,seed_output,study_level,numeric_ratio,reduced_herbivory_seed_output_RR,2.67364,2.38833,2.99302,greater_than_one,3,EAzami,data/evidence/cirsium_floral_herbivory_lnrr_meta_v2.json,fit_target,"Four independent data-generation studies; 9 within-study contrasts; I2 about 1%."
INT_PURP_VISIT_R2,literature,pollination,display_size,plant,numeric_R2,display_vs_relative_bumblebee_visitation_R2,0.637,,,positive_saturating,2,10.2307/2446309,Fig14.1_adapted_from_Ohashi_Yahara_1998,fit_target,"Cirsium purpuratum; n=57; y=0.612[1-exp(-0.148x)]."
INT_PURP_PROBE_R2,literature,pollination,display_size,plant,numeric_R2,display_vs_heads_probed_R2,0.533,,,positive,1,10.2307/2446309,Fig14.1_adapted_from_Ohashi_Yahara_1998,context_target,"Cirsium purpuratum; n=57."
INT_PURP_PRED_NIKKO,literature,antagonist,display_size,plant,numeric_R2,display_vs_seed_predation_R2,0.44,,,positive_saturating,2,10.1139/cjb-78-2-230,Fig1A_Nikko,fit_target,"Cirsium purpuratum; n=13; Pr=1-exp(-0.000063F)."
INT_PURP_PRED_KAWAMATA,literature,antagonist,display_size,plant,numeric_R2,display_vs_seed_predation_R2,0.26,,,positive_saturating,1,10.1139/cjb-78-2-230,Fig1A_Kawamata,context_target,"Cirsium purpuratum; n=27; Pr=1-exp(-0.0000075F)."
INT_PURP_DAMAGE_SC,literature,antagonist,display_size,plant,numeric_standardized_coefficient,floret_number_vs_seed_damage_SC,0.86,,,positive,1,10.1139/cjb-78-2-230,Table1B,context_target,"Nikko multiple regression; t=2.34 p=0.048; reported simple r=0.61."
INT_PALUSTRE_WHITE_PREF,literature,pollination,flower_colour,morph,sign,white_morph_preferential_pollination,1,,,white_positive,1,10.1038/hdy.1974.91,article_summary,heldout_sign,"Direct Cirsium colour-pollination prior; exact effect size not frozen."
INT_STICKINESS_NULL,literature,antagonist,stickiness,inflorescence,null_effect,neutralizing_stickiness_seed_output_effect,0,,,null,1,10.22543/0090-0222.2085,abstract,heldout_sign,"Cirsium discolor manipulation did not increase seed predators or decrease seed production when stickiness was neutralized."
INT_CANESCENS_DAMAGE_RANGE,literature,antagonist,seed_damage,plant,range,insect_damage_fraction_of_developing_seeds,0.375,0.21,0.54,high,1,10.1093/ee/11.4.847,abstract,heldout_numeric,"Across three Nebraska sites insects damaged at least 21-54% of developing seeds; only 9-24% matured."
INT_PITCHERI_WEEVIL_RR,literature,antagonist,seed_output,capitulum,numeric_ratio,uninfested_vs_infested_mature_seed_RR,2.5,,,greater_than_one,2,10.1016/j.gecco.2020.e00945,highlights_results,heldout_numeric,"Infested capitula produced 60% fewer mature seeds, equivalent to uninfested/infested RR about 2.5; observational infestation contrast."
INT_ALTISSIMUM_MODEL_RR,literature,antagonist,seed_output,plant,numeric_ratio,insecticide_vs_control_model_predicted_seed_RR,4.4773,,,greater_than_one,1,10.1890/ES11-00096.1,results_fecundity_model,context_target,"Model prediction at mean log size: 197 vs 44 seeds; not a raw group mean and excluded from lnRR meta-analysis."
INT_ALTISSIMUM_INSECT_F,literature,antagonist,seed_output,plot,test_stat,insect_exclusion_effect_on_seed_production_F,6.45,,,positive,1,10.1093/jpe/rty045,results_seed_production,context_target,"Cirsium altissimum; insect herbivory reduced seed production, F1,62=6.45, P=0.014."
INT_UNDULATUM_COMPENSATION,literature,antagonist,tolerance,plant,year_dependent,apical_damage_compensation_under_floral_herbivory,1,,,year_dependent,1,10.1002/ajb2.1744,abstract,context_target,"Compensation for apical loss varied between years and herbivore pressure; not a stable universal tolerance effect."
INT_CAPSIZE_INFEST_20SP,literature,antagonist,capitulum_size,species_and_within_species,sign,capitulum_size_vs_infestation,1,,,positive,1,10.1007/s004420100773,abstract,heldout_sign,"20 Asteraceae species; larger capitula experienced more infestation; within-species positive in three detailed cases."
INT_DECU_CAPSIZE_ATTACK,literature,antagonist,capitulum_size,capitulum,sign,larger_inflorescence_selected_for_oviposition,1,,,positive,1,10.1017/S0960258518000074,abstract,heldout_sign,"Cirsium decussatum; specialist seed predator selected larger inflorescences and significantly lowered seed pool."
