paper_japan_member_id,target_taxon_name,source,source_record_id,dedup_record_key,record_url,source_taxon_name,basis_of_record,observed_on,place_text,state_province,latitude,longitude,locality_cell_0_05deg,media_id,media_url,media_license,media_license_class,attribution,dataset
JPN_05,Cirsium aomorense,iNaturalist,242578598,inat:242578598,https://www.inaturalist.org/observations/242578598,Cirsium aomorense,HUMAN_OBSERVATION,2024-09-18,"Aoyagicho, Hakodate, Hokkaido, JP",,41.7602222202,140.717823796,"41.75,140.70",432457670,https://inaturalist-open-data.s3.amazonaws.com/photos/432457670/square.jpeg,cc-by,open_reusable,"(c) Rosario Douglas, some rights reserved (CC BY)",iNaturalist direct API
JPN_05,Cirsium aomorense,iNaturalist,322349973,inat:322349973,https://www.inaturalist.org/observations/322349973,Cirsium aomorense,HUMAN_OBSERVATION,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",,40.88393,140.3377383333,"40.90,140.35",583115875,https://inaturalist-open-data.s3.amazonaws.com/photos/583115875/square.jpg,cc-by,open_reusable,"(c) elik03, some rights reserved (CC BY)",iNaturalist direct API
JPN_05,Cirsium aomorense,iNaturalist,322349973,inat:322349973,https://www.inaturalist.org/observations/322349973,Cirsium aomorense,HUMAN_OBSERVATION,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",,40.88393,140.3377383333,"40.90,140.35",583115911,https://inaturalist-open-data.s3.amazonaws.com/photos/583115911/square.jpg,cc-by,open_reusable,"(c) elik03, some rights reserved (CC BY)",iNaturalist direct API
JPN_05,Cirsium aomorense,iNaturalist,322349973,inat:322349973,https://www.inaturalist.org/observations/322349973,Cirsium aomorense,HUMAN_OBSERVATION,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",,40.88393,140.3377383333,"40.90,140.35",583115925,https://inaturalist-open-data.s3.amazonaws.com/photos/583115925/square.jpg,cc-by,open_reusable,"(c) elik03, some rights reserved (CC BY)",iNaturalist direct API
JPN_05,Cirsium aomorense,iNaturalist,322349973,inat:322349973,https://www.inaturalist.org/observations/322349973,Cirsium aomorense,HUMAN_OBSERVATION,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",,40.88393,140.3377383333,"40.90,140.35",583115972,https://inaturalist-open-data.s3.amazonaws.com/photos/583115972/square.jpg,cc-by,open_reusable,"(c) elik03, some rights reserved (CC BY)",iNaturalist direct API
JPN_30,Cirsium yezoense,iNaturalist,190665296,inat:190665296,https://www.inaturalist.org/observations/190665296,Cirsium yezoense,HUMAN_OBSERVATION,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",,38.3912,140.7136027778,"38.40,140.70",334294953,https://inaturalist-open-data.s3.amazonaws.com/photos/334294953/square.jpg,cc-by,open_reusable,"(c) Timur Kalininsky, some rights reserved (CC BY)",iNaturalist direct API
JPN_30,Cirsium yezoense,iNaturalist,190665296,inat:190665296,https://www.inaturalist.org/observations/190665296,Cirsium yezoense,HUMAN_OBSERVATION,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",,38.3912,140.7136027778,"38.40,140.70",334294963,https://inaturalist-open-data.s3.amazonaws.com/photos/334294963/square.jpg,cc-by,open_reusable,"(c) Timur Kalininsky, some rights reserved (CC BY)",iNaturalist direct API
JPN_30,Cirsium yezoense,iNaturalist,190665296,inat:190665296,https://www.inaturalist.org/observations/190665296,Cirsium yezoense,HUMAN_OBSERVATION,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",,38.3912,140.7136027778,"38.40,140.70",334294970,https://inaturalist-open-data.s3.amazonaws.com/photos/334294970/square.jpg,cc-by,open_reusable,"(c) Timur Kalininsky, some rights reserved (CC BY)",iNaturalist direct API
JPN_30,Cirsium yezoense,iNaturalist,190665296,inat:190665296,https://www.inaturalist.org/observations/190665296,Cirsium yezoense,HUMAN_OBSERVATION,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",,38.3912,140.7136027778,"38.40,140.70",334294975,https://inaturalist-open-data.s3.amazonaws.com/photos/334294975/square.jpg,cc-by,open_reusable,"(c) Timur Kalininsky, some rights reserved (CC BY)",iNaturalist direct API
JPN_30,Cirsium yezoense,iNaturalist,323137995,inat:323137995,https://www.inaturalist.org/observations/323137995,Cirsium yezoense,HUMAN_OBSERVATION,2025-10-18,"60 Okuse, Towada, Aomori 034-0301, Japan",,40.524252288,140.9741361067,"40.50,140.95",584678305,https://inaturalist-open-data.s3.amazonaws.com/photos/584678305/square.jpg,cc-by,open_reusable,"(c) Hector Montero, some rights reserved (CC BY)",iNaturalist direct API
