trait_id,factor_domain,azami_spatial_status,azami_spatial_evidence,eazami_repeat_count,eazami_relative_timing,eazami_present_ecology,eazami_event_window_status,mechanism_prior,fitness_evidence,concordance_class,explanatory_tier,reason_for_difference_or_gap,allowed_claim,forbidden_upgrade,next_decisive_test
orientation,hydric_regime,robust_among_taxon_candidate,"Higher annual precipitation BIO12 aligns with a larger signed image-axis angle among taxa: beta=0.304359; q=0.021; broad-space beta=0.286086; P=0.017; direction retained in all 52 audited historical-placement trees",4-6,"Mixed internal-to-terminal admissible placement; ML mean relative lineage-depth interval=0.7667-1.0000; UFBoot median lower-upper envelope=0.7952-0.9943; not calendar time","Downward-minus-upward BIO15 is positive in the GBIF primary and both Taiwan source tiers; effect direction is stable while the threshold class is occurrence-source sensitive",blocked_exact_dated_tree_crosswalk,"External orientation manipulations make reproductive wetting; solar exposure; thermal presentation and effective pollination plausible; focal Japanese Cirsium mechanism remains untested","External studies include reproductive-performance effects, but no ancestry-matched focal Japanese orientation-to-filled-achene path is available",multi_axis_concordant_event_alignment_missing,T2_cross_axis_selection_pressure_candidate,"BIO12 measures present spatial rainfall amount whereas BIO15 measures present niche seasonality; agreement is at the hydric-domain level and could reflect mean exposure versus temporal concentration rather than one replicated coefficient","Repeated orientation change and independent spatial/current-niche hydric correspondences make hydric exposure the strongest current public-data selection-pressure candidate","rain adaptation demonstrated; ancestral climate matching; adaptive convergence; event-specific causation","Map admissible transition edges to an exact dated-tree crosswalk; test BIO12/BIO15 level and variability in transition windows; then manipulate gravity-referenced orientation with flowering-period wetting; pollen performance and filled achenes"
orientation,thermal_regime,within_vs_among_scale_mismatch,"The broad-space within-taxon orientation-BIO1 relationship is positive; BIO1 is not one of the two robust among-taxon Azami candidates",4-6,"Same mixed internal-to-terminal orientation history; exact event ages unavailable","Downward-minus-upward BIO1 is negative across the frozen East-Asian occurrence tiers",blocked_exact_dated_tree_crosswalk,"Thermal timing and floral temperature are plausible performance pathways, but BIO1 can also proxy elevation; snow; growing season and correlated hydric regimes",no_focal_orientation_thermal_fitness_path,scale_dependent_or_confounded,T1_directional_mismatch_to_explain,"Azami estimates within-taxon present gradients whereas EAzami compares states among lineages; opposite signs can arise from biological scale; correlated mountain-climate packages; image orientation error or different causal pathways","Temperature remains a competing or interacting axis whose effect is scale dependent under current data","universal cold-climate downward-head adaptation; direct thermal selection inferred from BIO1","Use flowering-season temperature and snow/rain exposure; estimate within-lineage and among-lineage effects on a matched ancestry panel; test thermal mediation experimentally"
orientation,radiation_pollinator_presentation,no_robust_orientation_spatial_candidate,"No final Azami among-taxon orientation-RSDS or pollinator candidate passed the sequential candidate gate",4-6,"Same orientation recurrence; no dated event windows","No harmonized East-Asian radiation or pollinator-history predictor is joined to the orientation transition panel",not_evaluable_with_current_historical_predictors,"External manipulation literature supports solar exposure; time-window pollination and effective-contact pathways as alternatives to wetting protection",no_focal_mechanism_to_fitness_path,mechanism_prior_without_space_time_alignment,T0_mechanism_prior,"A plausible function need not leave a detectable global mean-gradient signal; pollinator communities and radiation during anthesis are not represented by annual climate centroids","Radiation and pollinator presentation remain preregistered competing mechanisms, not current space-time explanations","pollinator-mediated convergence; UV adaptation; visitation treated as fitness","Measure calibrated head microclimate; UV; time-window effective contacts; pollen transfer and filled achenes under sham-controlled reorientation"
colour_continuous,radiative_environment,robust_among_taxon_candidate,"Higher mean shortwave radiation aligns with lower visible CIELAB corolla chroma among taxa: beta=-0.345372; q=0.006; broad-space beta=-0.712411; P=0.001; direction retained in 52 historical-placement trees; the within-taxon RSDS-chroma estimate is unsupported",not_identified,"Continuous colour units have no corrected two-sided phylogenetic-structure support in the present Japan panel; a repeated colour-event count and event placement are not admitted","No state-diverse reconstructed colour-event ecology model is admitted",not_evaluable_without_colour_event_history,"Pollinator choice; visible/UV optical properties and pigment physiology are plausible, but the JPEG chroma endpoint does not identify pigment concentration or UV pattern",no_focal_repeated_event_fitness_path,spatial_candidate_temporal_history_unidentified,T1_spatial_selection_pressure_candidate,"Strong present spatial sorting can coexist with temporal lability; low power; species-tip colour polymorphism or measurement mismatch. Current data cannot distinguish these explanations","Radiative environment is a strong cause candidate for present visible-colour sorting, but its role in repeated colour evolution is unresolved","anthocyanin mediation demonstrated; UV adaptation; colour regain; repeated radiative adaptation","Recover population-matched calibrated visible/UV colour and pigment chemistry on the dated ancestry panel; only then reconstruct W/C or continuous regime shifts and test event-window radiation"
phyllary_posture,enemy_access_wetting,no_homologous_azami_axis,"Azami projection and involucre image geometry are not interchangeable with authority-coded ascending; spreading or recurved phyllary posture",3,"Exactly three minimum changes on the ML tree and all 1000 UFBoot trees; ML and median UFBoot mean relative lineage-depth envelope=0.6952-1.0000; relatively broad/deep placements remain admissible","Not evaluable: only two occurrence-gated taxa have unambiguous states and both are ascending",not_evaluable_no_dated_event_or_homologous_predictor,"Protective-envelope; enemy-exclusion; wetness and pollinator-access trade-offs are motivated mainly by analog or broader literature, not a focal Cirsium posture manipulation",no_focal_posture_fitness_path,history_recurrence_driver_unidentified,T1_repeated_history_only,"The time history is identifiable but the spatial ontology and ecological overlap are not; absence of concordance is therefore missing identification rather than disagreement","Phyllary posture repeatedly changed and may include deeper radiation-level reassembly, but its selective driver is not identified","defence adaptation; no ecological relationship; synchronized origin with orientation","Calibrate direct posture measurements to image geometry; expand state-diverse occurrence coverage; then test enemy; wetting and pollinator-access effects with viable-seed endpoints"
stickiness,enemy_community_and_cost,no_calibrated_azami_axis,"Stickiness is not a calibrated continuous endpoint in the frozen Azami handoff",5,"Exactly five minimum changes on the ML tree and all 1000 UFBoot trees; mean relative lineage-depth is tightly shallow/terminal (ML=0.9429-0.9543; UFBoot median approximately 0.937-0.954)","Not evaluable: only two occurrence-gated taxa have evaluable states and both are nonsticky or nearly nonsticky",not_evaluable_no_historical_biotic_series,"Enemy interaction; trapping; production cost and pollinator cost are plausible context-dependent mechanisms; a direct Cirsium discolor neutralization result weakens a universal generic-defence sign",direct_genus_level_null_for_generic_defence_no_focal_japan_fitness_path,history_recurrence_generic_defence_weakened,T1_shallow_repeated_history,"A shallow lineage-specific history is compatible with rapidly changing local enemy communities or trait costs, which may not align with coarse abiotic gradients; current public data contain no historical enemy time series","Stickiness is repeatedly and relatively shallowly reassembled, while the simplest universal defence explanation is weakened","generic defence adaptation; convergence; absence of effect in Japan inferred from one external null","Use ancestry-matched sticky/nonsticky populations; neutralization plus sham; enemy exposure; pollinator cost; secretion production cost and filled-achene output"
capitulum_outline_shape,multivariate_environment,measured_spatial_breadth,"Aspect ratio; circularity; solidity and width-profile variation retain coordinates and show selective present associations, but no outline row is a final robust among-taxon adaptive-pattern candidate",not_supported_as_continuous_history,"No primary outline unit receives corrected two-sided phylogenetic-structure support at the current Japan coverage",not_evaluable_as_event_ecology,not_evaluable_no_event_history,"Display geometry; packing and access are functional annotations without a validated common performance axis",no_validated_performance_or_fitness_axis,space_and_time_structure_unresolved,T0_measured_breadth,"The lack of corrected time structure may reflect lability; low matched-taxon coverage or weak measurement-to-function mapping","Outline contributes to present phenotypic breadth but its temporal dynamics and causes remain unresolved","adaptive shape regime; evolutionary rate; functional convergence","Increase matched Japan38 coverage; validate performance mapping; compare BM/OU or regime models only after an admitted estimand is frozen"
involucre_architecture_armature,hydric_radiative_mechanical_enemy,measured_but_botanically_uncalibrated,"Projection; taper; roughness; spread and armature-like image endpoints show selective spatial associations, but measurement identity requires botanical calibration",not_identified,"No single homologous continuous architecture or armature history is admitted",not_evaluable,not_evaluable_no_homologous_history,"Protective envelope; enemy access; aerodynamic and pollinator-access mechanisms are plausible but cannot be assigned to uncalibrated image proxies",no_focal_validated_proxy_to_fitness_path,measurement_history_boundary,T0_measurement_candidate,"Different spatial proxy associations cannot be compared with categorical phyllary history until homology and measurement identity are established","These endpoints identify candidate dimensions of diversity breadth, not yet causes of historical diversification","defence efficacy; convergent armature; adaptive modularity","Link image endpoints to direct botanical spine; phyllary and surface measurements before history reconstruction or causal manipulation"
display_quantity,pollinator_enemy_resource,not_in_frozen_18d_handoff,"Whole-plant head number and comparable display quantity were not part of the frozen Azami 18-D handoff",not_identified,"Only sparse non-comparable Japan38 display information is available",not_evaluable,not_evaluable,"Cirsium literature supports simultaneous pollinator-discovery benefit; predispersal seed-predator exposure and resource cost, predicting a context-dependent optimum rather than bigger-is-better",genus_level_context_evidence_no_focal_repeated_history,mechanistically_strong_but_space_time_unidentified,T0_future_module,"A strong mechanistic prior cannot substitute for a common spatial measurement or repeated-history map","Display is a high-value future module because opposing benefits and costs can generate selection mosaics","universal positive display selection; adaptive history","Measure head size; head number; flowering density; effective contacts; enemy damage and filled achenes on the same ancestry-resolved individuals"
whole_capitulum,common_lability_or_single_syndrome,partial_present_integration,"The 18-D complete-case synthesis shows within-versus-among association-matrix Spearman rho=0.3663, indicating partial present organization rather than identity",not_a_single_count,"Orientation; phyllary and stickiness have different counts and depth envelopes; zero of three discrete trait pairs passes the robust shared-transition-localization rule",not_applicable,not_applicable,"A single common-lability mechanism predicts more synchronized histories than currently observed",not_applicable,universal_synchronized_syndrome_not_supported,N1_negative_constraint,"Present covariance can arise from shared measurement; development or ecology without requiring the same historical branches; different modules can respond to different selection mosaics","Current public data favour trait-specific asymmetric assembly over one universally synchronized capitulum history","genetic modularity proven; complete independence; one universal selection pressure","Expand homologous trait histories and compare modular versus common-lability models out of sample after multiple transition maps exist"
