hypothesis_id,layer,priority,hypothesis,causal_path,current_evidence,current_status,main_falsifier,next_test,claim_boundary
ECO-M1,ecology,central,"Local selection mosaics rather than one universal agent determine which capitulum trait state is favoured.","environment + spatial/population context -> interaction opportunity/reproductive assurance/enemy/abiotic exposure -> module-specific functional leverage -> pollination/protection/antagonism -> filled achenes -> recruitment","Interaction synthesis rejects universal pollinator or antagonist dominance and supports context dependence; reproductive antagonist cost is strong in the general literature.",working_central_hypothesis,"Trait effects are stable across contexts and a single common agent explains module fitness effects without context interaction.","Fit ancestry-aware field models with local pollinator opportunity, antagonist pressure, abiotic exposure and reproductive outcome on the same individuals.","This is a causal architecture to test, not a fitted multiplicative law."
ECO-O1,ecology,1,"Capitulum orientation changes time-window pollination leverage even when all-day visitation or static preference is weak.","orientation -> early/time-window head temperature and floral presentation -> effective contacts/pollen transfer -> filled achenes","External/global mechanism reduction retained timing as part of the only family matching all core calibration targets; current phylogeny requires >=5 orientation-state changes across all six accepted topologies.",priority_field_hypothesis,"Sham-controlled reorientation changes neither time-resolved effective contact/pollen transfer nor filled-achene fitness across informative weather/time windows.","Within-population randomized sham vs reorientation with time-resolved visitor identity/effective contact, pollen response and filled achenes.","Repeated orientation states do not identify timing as their cause."
ECO-O2,ecology,1,"Nodding/downward orientation protects reproductive function from rain/wetting and possibly UV exposure.","orientation -> wetting/rain/UV exposure -> pollen/reproductive-organ integrity -> filled achenes","External Asteraceae evidence and pattern-reduction calibration support an abiotic-protection route; timing+protection jointly best matched the preregistered calibration targets.",priority_field_hypothesis,"Reorientation changes exposure but not pollen integrity/seed fitness, or changes seed fitness without any preregistered protection mediator.","Pair sham/reorientation with rainfall or controlled wetting exposure, pollen viability/deposition and filled-achene endpoint.","Do not interpret a fitness effect with unchanged preregistered mediators as proof of rain/UV protection; retain an unexplained ORI5 outcome."
ECO-O3,ecology,2,"Orientation can alter antagonist exposure independently of pollination and abiotic protection.","orientation -> florivore/seed-predator discovery or access -> damage -> filled achenes","General reproductive antagonist pressure is strong, but focal orientation-specific antagonist evidence is not established.",secondary_separate_path,"Orientation manipulation has no repeatable effect on antagonist access/damage while other pathways explain fitness.","Record antagonist exposure/damage on the same sham/reoriented heads without folding it into pollinator response.","Antagonist pressure in Cirsium generally does not establish an orientation mechanism."
ECO-C1,ecology,2,"Flower colour has context-dependent functional effects through pollinator effective contact and/or abiotic response, rather than a universal colour preference.","ancestry-resolved colour -> visitor guild/effective contact and/or floral abiotic response -> reproductive fitness","Colour is a strong visible module globally and W/C ecological contrasts are source-backed, but the macroevolutionary direction remains blocked by fixed-white sampling and rate identifiability.",field_function_ready_where_overlap_exists,"Within ancestry-matched, flowering-overlap contexts, colour differences do not predict effective pollination, abiotic response or reproductive fitness.","Use overlapping W/C populations with calibrated visible+UV colour, visitor/effective-contact observations and filled achenes; keep ancestry explicit.","Ecological colour function can be tested before the macroevolutionary loss/regain direction is known."
ECO-D1,ecology,3,"Floral display has a local pollinator-benefit versus antagonist-cost optimum rather than a monotonic bigger-is-better effect.","capitulum size/head number + local flowering density -> pollinator discovery/probing AND antagonist discovery -> filled achenes","Cirsium purpuratum and broader synthesis support simultaneous pollinator benefit and predispersal seed-predator cost with density dependence.",retained_tradeoff_hypothesis,"Pollinator and antagonist responses are both monotonic in the same direction and no context-dependent fitness optimum appears.","Measure head number/size, local density, visits, heads probed, effective contacts, antagonist damage and final filled achenes on the same plants.","Visitor abundance alone is not the fitness pathway."
ECO-S1,ecology,conditional,"Phyllary/spine architecture can reduce antagonist access at a possible cost to pollinator access.","validated phyllary/spine architecture -> antagonist access/damage down; possible pollinator effective contact down -> net seed fitness","Broader Cardueae/Asteraceae evidence makes defence plausible, but current image-derived geometry is only a proxy and focal Cirsium adaptation is unproven.",conditional_on_direct_trait_validation,"Direct repeatable focal morphology does not exist, or validated architecture does not affect antagonist/pollinator access or fitness.","First validate direct botanical phyllary spread/spine length/direction; manipulate only if that gate passes.","Do not call 2-D image spine-like geometry a defence trait."
ECO-R1,ecology,structural,"Downstream recruitment can amplify, gate or erase seed-output effects, so reproductive fitness is not the endpoint of demographic adaptation by default.","trait -> interaction/protection -> filled achenes -> safe-site/disturbance/density-dependent recruitment","Meta-synthesis supports demographic gating as context dependent.",required_downstream_gate,"Seed-output contrasts reliably predict recruitment across microsite and density contexts without additional gating.","Run recruitment microsite work only after a clear focal filled-achene contrast is demonstrated.","Do not infer population growth from seed output alone."
EVO-O1,evolution,1,"Erect/upward and nodding/downward states have changed repeatedly within the shallow East Asian Cirsium radiation.","accepted nuclear topology ensemble + conservative orientation states -> repeated state transitions","Post-tree preflight: all six AU-nonrejected topologies require a minimum of 5 state changes from 17 resolved taxa (U=9,D=8).",supported_as_taxon_concept_repeated_state_lower_bound,"Same-voucher/population validation collapses the binary state coding or expanded topology/state uncertainty reduces the lower bound to a single change.","Validate orientation on exact vouchers/populations and map those states onto the ancestry-resolved tree before naming independent adaptive transitions.","Repeated state change is supported; parallel/convergent adaptation is not yet established."
EVO-M1,evolution,central_competing_models,"Rapid radiation redeployed semi-independent capitulum modules across different selection mosaics (modular evolvability), versus a single shared common-lability axis.","repeated module transitions + ancestry control + module-specific ecological fitness paths -> compare modular versus shared-latent models","Orientation now supplies a topology-robust repeated-state signal; colour, display and defence transition histories/function are not yet equally resolved.",unresolved_central_evolutionary_test,"A shared common-lability model predicts trait/environment/fitness structure as well as or better than module-specific models out of sample.","After multiple module transition maps and focal causal results exist, compare shared-latent versus module-specific ancestry-aware models with out-of-sample prediction.","Do not call modular evolvability merely because traits differ among taxa."
