result_id,paper_role,evidence_status,question,headline_result,source_paths,allowed_interpretation,claim_ceiling
M01,MAIN_CONTEXT,COMPLETE_FROZEN,"Is the focal diversity concentrated within one young Japanese radiation?","36/38 sampled Japanese concepts (0.947368) occur in the dominant radiation.","data/evidence/japan_cirsium_origin_meta_analysis_v1.json; data/evidence/japan38_comp1061_primary_tree_acceptance_v1.json","The focal comparison is primarily diversification within one dominant radiation with rare phylogenetic exceptions.","One broad ancestral-range analysis supplies the direct biogeographic event inference; this is not a diversification-rate estimate."
M02,MAIN_BIOLOGICAL_RESULT,COMPLETE_VALIDATED,"Does the dominant radiation contain more than one observed capitulum configuration?","The authority-covered dominant-radiation subset contains at least three harmonized orientation x stickiness configurations; the source ontology retains four named combinations.","data/evidence/japan38_authority_module_combinations_v1.json","Alternative capitulum configurations occur within the dominant radiation and are not confined to secondary-history comparators.","The observed configurations are not a complete factorial design and do not establish independence or adaptation."
M03,MAIN_BIOLOGICAL_RESULT,COMPLETE_FROZEN,"Do separately defined capitulum traits require more than one minimum state change?","Orientation: ML 6 and UFBoot 4-6 (median 5; 20 concepts); phyllary posture: 3 in 1000/1000 trees (10 concepts); stickiness: 5 in 1000/1000 trees (13 concepts).","data/evidence/jpn34_orientation_extension_parsimony_v1.json; data/evidence/japan38_relative_event_depth_v1.json; data/evidence/jpn24_stickiness_extension_parsimony_v1.json","All three trait ontologies require multiple minimum changes within the admitted topology ensemble.","Minimum changes are topology-conditioned lower bounds, not counts of independent origins, convergence events or rates."
M04,MAIN_INFERENCE_RESULT,COMPLETE_FROZEN,"Is confidence in a minimum-change count equivalent to confidence in relative event depth and named-edge location?","Median depth envelopes are orientation 0.795-0.994, phyllary 0.695-1.000 and stickiness 0.937-0.954; current forced fractions include orientation JPN36=0.227, phyllary JPN36=0.728 and stickiness JPN06=0.995.","data/evidence/chapter2_relative_event_depth_contract_v1.json; data/evidence/japan38_relative_event_depth_v1.json","Minimum-count stability, topology-only relative lineage-depth and named-edge localization are empirically separable, and event resolution differs among traits.","Relative lineage-depth and forced-edge frequencies do not establish time, direction, mechanism, selection or ecological causation."
M05,MAIN_BOUNDARY,COMPLETE_FROZEN,"Do trait pairs retain one common transition-localization pattern?","Zero of three trait pairs meets the cross-treatment robustness rule; equal-branch fifth percentiles are -0.205883, -0.391988 and -0.073454 (medians -0.059394, -0.387012 and 0.183990).","data/evidence/chapter2_time_axis_compute/japan38_latest_module_transition_overlap_v2.json; data/evidence/chapter2_time_axis_compute/japan38_latest_module_overlap_topology_sensitivity_v2.json","One shared whole-capitulum transition history is not required by the current data.","This does not prove evolutionary independence, developmental modularity or different selective agents."
S01,SUPPORTING_RESOLUTION,COMPLETE_VALIDATED,"Can species-tip compression hide extant state multiplicity and minimum changes?","One-tip coding hides W/C multiplicity in 4/4 audited polymorphic systems; in the only morph-linked testable system the minimum count changes from 1 to 2.","data/evidence/hmm2_population_aware_transition_test_v1.json; data/evidence/hmm2_population_aware_transition_test_v1.validation.json","Phenotypic and taxonomic resolution can change the recoverable event history and motivates same-individual Chapter 3 sampling.","The transition-count direction has direct support in 1/1 testable system only; no replicated rate result exists."
S02,SUPPORTING_BOUNDARY,COMPLETE_FROZEN,"Do four direct continuous traits show topology-robust phylogenetic retention?","Zero of four traits passes the corrected all-six-topology rule in the seven-taxon panel; phyllary protrusion has rho 0.329-0.363 but q 0.269-0.331.","data/evidence/chapter2_eazami_native_continuous_history_diagnostic_v1.json","The small direct panel supplies a measurement-priority hint and a fail-closed continuous-data boundary.","The result is not transferable to Japan38 and is not evidence of zero phylogenetic signal or lability."
S03,SUPPORTING_ECOLOGICAL_LEAD,COMPLETE_BOUNDED,"Does present orientation covary with broad climate after phylogenetic correction?","Primary n=9 BIO15 effect is 1.320-1.330 SD with P=0.050537-0.052393; branchwise BIO15 permutation P=0.094-0.124.","data/evidence/fdt4_eastasia_pgls_recovered_diagnostic_v1.json; data/evidence/fdt4_branchwise_niche_transition_concordance_v1.json","Higher precipitation seasonality in the downward-state direction is a topology-stable candidate for future sampling.","No primary climate axis passes the frozen threshold; historical niche coupling and adaptation are not established."
S04,SUPPORTING_CONTEXT,COMPLETE_BOUNDED,"Does ploidy deterministically assign orientation in the source-backed panel?","Nine concepts have cytotype evidence; upward/ascending states occur at 2x, 4x and 6x, while diploids include upward and downward states.","data/evidence/japan38_cytotype_trait_overlap_v1.json","A one-to-one ploidy-orientation explanation is inconsistent with the observed sparse panel.","Sparse records do not establish statistical independence or a causal cytotype effect."
X01,ROUTED_LEGACY_AUDIT,COMPLETE_FROZEN,"Does an Azami-derived continuous panel support shared branch-change localization?","Original reconstruction-aware P=0.3504 and fixed JPN29-excluded sensitivity P=0.1959; both FAIL.","data/evidence/chapter2_time_axis_compute/japan38_branch_change_reconstruction_null_v1.json; data/evidence/chapter2_provenance_sensitivity_compute/japan38_branch_change_provenance_sensitivity_v1.json","Retain as method provenance showing why reconstruction geometry needs an explicit null.","Azami-derived values are not standalone EAzami primary evidence and neither FAIL proves independence."
