gate_id,question,current_meta_status,resolvable_without_new_biological_sampling,existing_data_action,new_data_required,new_data_type,priority,claim_after_gate
G1,Did_a_rapid_Japanese_radiation_occur,strong,yes,"retain Moreyra conclusion; re-evaluate branch lengths/topology on accepted 294/296 tree",no,,A0,rapid_radiation
G2,Why_did_one_Japanese_history_generate_36_of_38_sampled_taxa,strong_descriptive_asymmetry,partly,"compare age branch structure lineage accumulation and sampling under accepted tree; use lineare/dipsacolepis as explicit comparators",not_for_first_test,,A0,radiation_success_asymmetry_with_age_sampling_sensitivity
G3,Did_the_dominant_radiation_diverge_faster_in_capitulum_traits,unresolved,yes_after_tree,"build Azami→EAzami trait-tip bridge; compare colour orientation outline and existing involucre/spine-proxy disparity/transition summaries across topology ensemble",not_for_first_test,,A0,comparative_trait_divergence_not_adaptation
G4,Did_the_dominant_radiation_expand_or_diverge_in_niche_space_more_than_secondary_histories,unresolved,yes_after_tree,"build harmonized public-occurrence niche summaries for dominant radiation lineare dipsacolepis and continental sisters; control sampling and age",not_for_first_test,,A0,ecological_radiation_support_if_robust
G5,Does_gene_tree_or_cytonuclear_discordance_covary_with_trait_transition_density,unresolved,partly_after_tree,"derive quantitative gene-tree/concordance and nuclear-plastid discordance metrics from public phylogenomic resources; compare to topology-weighted trait transitions",yes_for_population_level_mechanism,"population RAD/resequencing + matched plastid haplotypes",A1,reticulation_transition_coupling_if_replicated
G6,Do_ploidy_or_genome_size_dynamics_covary_with_radiation_success_or_trait_change,strong_for_presence_but_coupling_unresolved,partly,"map literature cytotypes/genome sizes onto accepted tree as sensitivity; never infer population cytotype from taxon name",yes,"flow cytometry/genome size on same population-genomic individuals; chromosome validation subset",A1,cytogenetic_coupling_only_after_population_validation
G7,Are_population_aware_colour_transition_rates_higher_than_species_tip_rates,partial,not_replicated,"takaoense already shows minimum-count 1→2; species-tip compression documented in 4/4 polymorphic systems",yes,"morph-linked population genomic samples for pendulum sieboldii aomorense and other replicated systems",A1,replicated_transition_rate_inflation
G8,Are_white_or_coloured_states_from_standing_variation_introgression_or_new_mutation,unresolved,no,"public tips can nominate alternatives but cannot resolve ancestry of unsampled morph populations",yes,"population RAD/resequencing + local ancestry + plastid companion + phenotype linkage",A1,population_history_mechanism
G9,Did_specific_capitulum_traits_increase_fitness_in_the_environments_where_they_evolved,unresolved,no,"macro correlations only generate candidate functional contrasts",yes,"field/common-garden manipulation of orientation colour phyllary/spines with visitation damage and reproductive fitness",A1,representative_adaptive_function
G10,Is_repeated_white_evolution_regulatory_reversible_or_structural_loss,partial_plausibility,no_for_replicated_causation,"retain DFR/ANS recoverability and public homolog evidence as plausibility only",yes,"same-individual ancestry + coding/haplotype + floral-stage RNA + pigment chemistry + phenotype",A1,replicated_molecular_mechanism
G11,Does_Japanese_Cirsium_meet_a_strict_adaptive_radiation_definition,unresolved,no,"first integrate G1-G6 comparative evidence",yes,"representative replicated fitness evidence from G9 plus population/mechanistic controls",A2,adaptive_radiation_only_after_comparative_and_fitness_gates
