evidence_id,question,current_status,evidence_class,strongest_current_support,what_is_missing,next_gate
E1,rapid_Japanese_radiation,strong,published_conclusion,"Moreyra2025: 350 nuclear loci; rapid Pleistocene Japanese radiation",accepted_294_296_branch_lengths_and_internal_topology,maximum_public_nuclear_tree
E2,radiation_success_asymmetry,strong,EAzami_reanalysis,"36/38 sampled Japanese taxa in dominant radiation; lineare replicated exception; dipsacolepis candidate secondary arrival",age_sampling_corrected_diversification_comparison,radiation_asymmetry_analysis
E3,phenotype_ecology_divergence_in_young_lineages,partial,published_plus_own_preliminary,"Chang2025/2026 morphology genome-size niche differentiation; Azami multi-module trait heterogeneity",radiation_wide_trait_niche_rates_on_direct_nuclear_tree,trait_tip_bridge_plus_niche_analysis
E4,trait_modularity,partial,own_preliminary,"Azami: no common cross-module lability coupling after precision correction",direct_phylogenetic_mapping_and_rate_comparison,trait_tip_bridge
E5,ILS_reticulation_presence,strong_for_presence,published_conclusion,"Moreyra phylogenomic incongruence; Chang2026 reticulate Taiwan complex",quantitative_lineage_discordance_and_comparison_to_secondary_histories,concordance_network_metrics
E6,ploidy_genome_size_dynamics,strong_for_presence,published_plus_EAzami_audit,"2x/4x/6x Japanese records; recent Nipponocirsium chromosome evolution; independent 2C shifts",population_cytotypes_and_rate_coupling_to_radiation,flow_cytometry_plus_ploidy_aware_population_data
E7,population_aware_trait_transition_underestimation,partial,EAzami_reanalysis,"4/4 polymorphic systems compressed at species tip; takaoense 1->2 minimum transitions",morph_genotype_linkage_in_pendulum_sieboldii_aomorense,population_RAD_and_morph_linkage
E8,reticulation_or_ploidy_increases_evolvability,unresolved,EAzami_hypothesis,"HMM3/HMM4 prediction only",age_sampling_controlled_discordance_trait_transition_test,macro_meta_analysis_after_tree
E9,adaptive_function_of_capitulum_traits,unresolved,EAzami_hypothesis,"candidate pollination/protection/defence mechanisms",replicated_trait_manipulation_and_fitness,focal_field_experiments
E10,Japanese_adaptive_radiation,unresolved,synthesis,"rapid radiation plus local ecological and phenotypic divergence",comparative_trait_niche_divergence_plus_representative_fitness_and_confounder_controls,all_gates
