evidence_id,study_id,year,taxon,region,interaction_domain,partner_guild,capitulum_module,design,trait_or_treatment,response_chain,fitness_endpoint,direction,quantitative_extraction_status,direct_capitulum_relevance,doctoral_use,doi,primary_source_title,claim_boundary
INT001,Ohashi_Yahara_2002,2002,Cirsium purpuratum,Japan_Tochigi,pollination,Bombus_diversus,display_size,field_observational_mechanistic,number_of_flowering_heads_and_local_plant_density,trait_to_interaction,none,conditional,likely_from_full_text,direct,Aim2_pollination_design,10.1046/j.1365-2435.2002.00644.x,Visit larger displays but probe proportionally fewer flowers: counterintuitive behaviour of nectar-collecting bumble bees achieves an ideal free distribution,Foraging and visitation behaviour; no direct reproductive-fitness test.
INT002,Makino_Ohashi_Sakai_2007,2007,Cirsium purpuratum,Japan_Tochigi,pollination,Bombus_diversus,display_size,field_mark_recapture_observational,floral_display_size_and_surrounding_flower_density,trait_to_interaction,none,conditional,likely_from_full_text,direct,Aim2_pollination_design,10.1111/j.1365-2435.2006.01211.x,How do floral display size and the density of surrounding flowers influence the likelihood of bumble bee revisitation to a plant?,"Visitor density, revisitation and movement; pollen transfer and plant fitness were not directly quantified."
INT003,Theis_2006,2006,Cirsium arvense,North_America,pollination_florivory_tradeoff,pollinators_and_florivores,floral_scent,chemical_bait_field_experiment,individual_floral_scent_compounds,trait_to_interaction,none,mixed,likely_from_full_text,direct,Aim2_signal_tradeoff_design,10.1007/s10886-006-9051-x,Fragrance of Canada thistle (Cirsium arvense) attracts both floral herbivores and pollinators,"Trap attraction demonstrates shared and guild-biased signals, not plant visitation effectiveness or fitness."
INT004,Theis_Lerdau_2007,2007,Cirsium arvense,North_America,pollination_florivory_tradeoff,pollinators_and_florivores,floral_scent,field_observation_plus_chemical_profiling,diel_and_ontogenetic_scent_emission,trait_to_interaction,none,conditional,likely_from_full_text,direct,Aim2_signal_tradeoff_design,10.1086/513481,The Challenge of Attracting Pollinators While Evading Floral Herbivores: Patterns of Fragrance Emission in Cirsium arvense and Cirsium repandum,Temporal correspondence between scent and visitor guild activity; no experimental fitness consequence.
INT005,Theis_Lerdau_2007,2007,Cirsium repandum,North_America,pollination_florivory_tradeoff,pollinators_and_florivores,floral_scent,field_observation_plus_chemical_profiling,diel_and_ontogenetic_scent_emission,trait_to_interaction,none,species_specific,likely_from_full_text,direct,Aim2_signal_tradeoff_design,10.1086/513481,The Challenge of Attracting Pollinators While Evading Floral Herbivores: Patterns of Fragrance Emission in Cirsium arvense and Cirsium repandum,Low and differently timed scent in this species; no experimental fitness consequence.
INT006,Thomas_2003,2003,Cirsium discolor,North_America_Great_Lakes,pre_dispersal_seed_predation,seed_predators_and_predatory_arthropods,stickiness,field_manipulation,neutralization_of_sticky_inflorescence_exudate,trait_to_interaction_and_fitness,seed_production,null,ready_from_open_article,direct,Aim2_defence_design,10.22543/0090-0222.2085,Sticky Exudates on the Inflorescences of Cirsium discolor and Penstemon digitalis as Possible Defense Against Seed Predators,A direct null test in C. discolor; does not establish absence of defence in other taxa or for spines.
INT007,Lamp_McCarty_1982,1982,Cirsium canescens,USA_Nebraska,pre_dispersal_seed_predation,tephritid_flies_and_pyralid_moth,none_interaction_only,multi_site_observational_quantification,natural_seed_predator_damage,interaction_to_fitness,seed_maturation,negative,abstract_numeric_full_text_needed,direct,Aim2_defence_design,10.1093/ee/11.4.847,"Predispersal Seed Predation of a Native Thistle, Cirsium canescens","Quantifies seed loss, but does not identify selection on a specific capitulum module."
INT008,Stachurska_Swakon_et_al_2018,2018,Cirsium decussatum,Poland,pre_dispersal_seed_predation,seminophagous_insects_Terellia_dominant,capitulum_size,field_observational,capitulum_size_and_predator_presence,trait_to_interaction_and_fitness,seed_pool,conditional_negative,full_text_needed,direct,Aim2_defence_design,10.1017/S0960258518000107,Reduced plant fitness by pre-dispersal seed predation in the threatened plant species Cirsium decussatum,"Larger heads were selected by a seed predator and seed pool declined, but the study is observational rather than a trait manipulation."
INT009,Gijsman_Havens_Vitt_2020,2020,Cirsium pitcheri,North_America_Great_Lakes,pre_dispersal_seed_predation,weevil_Larinus_planus,capitulum_position_and_size,field_observational,apical_vs_axillary_capitulum_position_and_size,trait_to_interaction_and_fitness,mature_seed_number_and_seed_weight,negative,ready_from_open_article,direct,Aim2_defence_design,10.1016/j.gecco.2020.e00945,"Effect of capitulum position and weevil infestation on seed production of threatened monocarpic perennial, Cirsium pitcheri","Position, size and infestation covary; infestation reduced seed output, but head architecture was not experimentally manipulated."
INT010,Russell_Louda_2010,2010,Cirsium altissimum,USA_Great_Plains,foliar_herbivory_context,native_insect_herbivores,vegetative_stage_context,field_factorial_manipulation,seed_addition_and_insecticide_reduction_of_herbivory,treatment_to_demography,seedling_survival_recruitment_adult_density,negative,likely_from_full_text,contextual,Aim2_context_only,10.1890/09-1101.1,Seed availability and insect herbivory limit recruitment and adult density of native tall thistle,"Strong demographic context for herbivory, not a test of a capitulum module."
INT011,Eckberg_Tenhumberg_Louda_2012,2012,Cirsium vulgare,USA_Great_Plains,foliar_herbivory_context,native_insect_herbivores,vegetative_stage_context,field_factorial_manipulation,propagule_pressure_and_insecticide_reduction_of_herbivory,treatment_to_demography,seedling_survival_size_and_density,negative,ready_from_article,contextual,Aim2_context_only,10.1890/11-1583.1,Insect herbivory and propagule pressure influence Cirsium vulgare invasiveness across the landscape,"Strong demographic context for herbivory, not a test of a capitulum module."
INT012,Mogford_1974b,1974,Cirsium palustre,United_Kingdom,pollination,flower_visitors,flower_colour,field_natural_morph_comparison,white_vs_purple_and_intermediate_flower_colour,trait_to_interaction,none,white_preferential_pollination,primary_abstract_verified_full_text_statistics_needed,direct,Aim2_colour_design,10.1038/hdy.1974.91,Flower colour polymorphism in Cirsium palustre 2. Pollination,"Direct evidence that pollinators discriminate natural colour morphs; the verified primary summary does not establish a colour-to-reproductive-fitness chain."
INT013,Van_Leeuwen_1983,1983,Cirsium palustre,Netherlands,pre_dispersal_seed_predation,rabbits_Cheilosia_Epiblema,none_interaction_only,field_observational_population_biology,natural_predation_and_plant_size,interaction_to_fitness,achene_production,negative,primary_abstract_verified,direct,Aim2_antagonist_fitness_context,10.1007/BF00399214,The consequences of predation in the population biology of the monocarpic species Cirsium palustre and Cirsium vulgare,"Predation considerably reduced achene production; it does not isolate a specific capitulum module."
INT014,Van_Leeuwen_1983,1983,Cirsium vulgare,Netherlands,pre_dispersal_seed_predation,rabbits_Cheilosia_Epiblema,none_interaction_only,field_observational_population_biology,natural_predation_and_plant_size,interaction_to_fitness,achene_production,negative,primary_abstract_verified,direct,Aim2_antagonist_fitness_context,10.1007/BF00399214,The consequences of predation in the population biology of the monocarpic species Cirsium palustre and Cirsium vulgare,"Predation considerably reduced achene production; it does not isolate a specific capitulum module."
