study_id,article_cluster,taxon,publication_year,context,fitness_endpoint,trait,functional_class,function_confidence,beta_open,se_open,beta_hand,se_hand,delta_beta,se_delta,se_delta_source,included_primary,source_doi,notes
SEL01,Dacty2010,Dactylorhiza lapponica,2010,Tagedalen_2010,female_fitness,plant_height,plant_display,high,0.25,0.066,0.064,0.051,0.19,0.0834086326,computed_independent_groups,1,10.1111/j.1469-8137.2010.03296.x,Standardized Lande-Arnold directional gradient
SEL02,Dacty2010,Dactylorhiza lapponica,2010,Tagedalen_2010,female_fitness,number_of_flowers,plant_display,high,0.71,0.092,0.41,0.044,0.30,0.1019803903,computed_independent_groups,1,10.1111/j.1469-8137.2010.03296.x,Standardized Lande-Arnold directional gradient
SEL03,Dacty2010,Dactylorhiza lapponica,2010,Tagedalen_2010,female_fitness,corolla_size,flower_sensory,medium,-0.081,0.086,0.060,0.042,-0.14,0.0957078881,computed_independent_groups,1,10.1111/j.1469-8137.2010.03296.x,Corolla size treated as flower-level attraction/display proxy
SEL04,Dacty2010,Dactylorhiza lapponica,2010,Tagedalen_2010,female_fitness,spur_length,pollination_efficiency,high,0.30,0.068,-0.024,0.037,0.32,0.0774144690,computed_independent_groups,1,10.1111/j.1469-8137.2010.03296.x,Mechanical fit/efficiency trait
SEL05,Dacty2010,Dactylorhiza lapponica,2010,Tagedalen_2010,female_fitness,flowering_start,phenology,high,-0.071,0.080,0.007,0.045,-0.078,0.0917877988,computed_independent_groups,1,10.1111/j.1469-8137.2010.03296.x,Phenology
SEL06,Anacamptis2016,Anacamptis morio,2016,Skogsby_2014,female_fitness,petal_brightness,flower_sensory,high,0.28,0.17,-0.130,0.04,0.42,0.1746424910,computed_independent_groups,1,10.1111/evo.12881,Colour/sensory display
SEL07,Anacamptis2016,Anacamptis morio,2016,Skogsby_2014,female_fitness,lip_patch_size,flower_sensory,high,-0.25,0.15,0.077,0.04,-0.33,0.1552417469,computed_independent_groups,1,10.1111/evo.12881,Colour-pattern display
SEL08,Anacamptis2016,Anacamptis morio,2016,Skogsby_2014,female_fitness,lip_patch_contrast,flower_sensory,high,0.50,0.17,-0.017,0.04,0.51,0.1746424910,computed_independent_groups,1,10.1111/evo.12881,Colour-pattern contrast
SEL09,Anacamptis2016,Anacamptis morio,2016,Skogsby_2014,female_fitness,lip_spot_area,flower_sensory,high,-0.12,0.14,0.018,0.04,-0.14,0.1456021978,computed_independent_groups,1,10.1111/evo.12881,Colour-pattern display
SEL10,Primula2017,Primula alpicola,2017,Lulang_2016,seeds_per_plant,flowering_start,phenology,high,0.194,0.035,-0.012,0.031,0.206,0.0467546789,computed_independent_groups,1,10.1038/s41598-017-13340-0,Predispersal seed damage included as covariate
SEL11,Primula2017,Primula alpicola,2017,Lulang_2016,seeds_per_plant,number_of_flowers,plant_display,high,0.495,0.036,0.445,0.032,0.050,0.0481663783,computed_independent_groups,1,10.1038/s41598-017-13340-0,Predispersal seed damage included as covariate
