paper_japan_member_id,taxon_name,source_record_id,media_id,locality_id,record_url,observed_on,place_text,latitude,longitude,media_license,attribution,measurement_state,measurement_confidence,median_lab_lightness,median_lab_chroma,floral_pixel_fraction,mask_quality,usable_at_frozen_floor
JPN_05,Cirsium aomorense,242578598,432457670,HAKODATE_20240918,https://www.inaturalist.org/observations/242578598,2024-09-18,"Aoyagicho, Hakodate, Hokkaido, JP",41.7602222202,140.717823796,cc-by,"(c) Rosario Douglas, some rights reserved (CC BY)",white_or_cream,0.37212499001071125,69.4117660522461,30.0,0.22927654434382497,0.012911822660098521,False
JPN_05,Cirsium aomorense,322349973,583115875,TSUGARU_20250820,https://www.inaturalist.org/observations/322349973,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",40.88393,140.3377383333,cc-by,"(c) elik03, some rights reserved (CC BY)",purple_blue,0.7202509320636706,58.82352828979492,30.0,0.6265141698789327,0.8789355103980607,True
JPN_05,Cirsium aomorense,322349973,583115911,TSUGARU_20250820,https://www.inaturalist.org/observations/322349973,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",40.88393,140.3377383333,cc-by,"(c) elik03, some rights reserved (CC BY)",yellow_or_other,0.35351485271239357,50.19607925415039,26.925823211669922,0.2896645973402193,0.048080511607802844,False
JPN_05,Cirsium aomorense,322349973,583115925,TSUGARU_20250820,https://www.inaturalist.org/observations/322349973,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",40.88393,140.3377383333,cc-by,"(c) elik03, some rights reserved (CC BY)",redmagenta,0.3354910311147607,54.509803771972656,17.804492950439453,0.43781922107001276,0.01147806705702455,False
JPN_05,Cirsium aomorense,322349973,583115972,TSUGARU_20250820,https://www.inaturalist.org/observations/322349973,2025-08-20,"Kizukurikamegaoka, Tsugaru, Aomori 038-3284, Japan",40.88393,140.3377383333,cc-by,"(c) elik03, some rights reserved (CC BY)",redmagenta,0.5675994524285214,53.33333206176758,58.694122314453125,0.7987210778053984,0.45737012312726946,True
JPN_30,Cirsium yezoense,190665296,334294953,SENDAI_20221005,https://www.inaturalist.org/observations/190665296,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",38.3912,140.7136027778,cc-by,"(c) Timur Kalininsky, some rights reserved (CC BY)",redmagenta,0.5233531917518496,62.74509811401367,11.180339813232422,0.35408677375337213,0.5714126251231782,False
JPN_30,Cirsium yezoense,190665296,334294963,SENDAI_20221005,https://www.inaturalist.org/observations/190665296,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",38.3912,140.7136027778,cc-by,"(c) Timur Kalininsky, some rights reserved (CC BY)",yellow_or_other,0.3392765369522157,56.07843017578125,34.71310806274414,0.1874198712590472,0.027070384616241385,False
JPN_30,Cirsium yezoense,190665296,334294970,SENDAI_20221005,https://www.inaturalist.org/observations/190665296,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",38.3912,140.7136027778,cc-by,"(c) Timur Kalininsky, some rights reserved (CC BY)",redmagenta,0.5547429666272647,59.60784149169922,10.198039054870605,0.23176870516217552,0.6468008306059665,True
JPN_30,Cirsium yezoense,190665296,334294975,SENDAI_20221005,https://www.inaturalist.org/observations/190665296,2022-10-05,"Район Ідзумі, Сендай, Мияги, Япония",38.3912,140.7136027778,cc-by,"(c) Timur Kalininsky, some rights reserved (CC BY)",redmagenta,0.3662790873369551,58.039215087890625,9.219544410705566,0.22039688631060115,0.018478839625523028,False
JPN_30,Cirsium yezoense,323137995,584678305,TOWADA_20251018,https://www.inaturalist.org/observations/323137995,2025-10-18,"60 Okuse, Towada, Aomori 034-0301, Japan",40.524252288,140.9741361067,cc-by,"(c) Hector Montero, some rights reserved (CC BY)",yellow_or_other,0.24416399411309567,59.60784149169922,20.248456954956055,0.07015385669495412,0.19606355460143973,False
