taxon,region,clade,flower_colour_state,nuclear_phylogenomic_coverage,individuals_reported,source_year,source_doi,ncbi_bioproject,ploidy_or_chromosome_note,radseq_role,notes
Cirsium brevicaule,Ryukyu,Arenicola,white,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34 reported for focal Arenicola/Sinocirsium framework,transition_population_replication,Species placement is already strong; sample populations for within-lineage history and gene flow
Cirsium irumtiense,Ryukyu,Arenicola,bluish-purple,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34 reported for focal Arenicola/Sinocirsium framework,transition_population_replication,Species placement is already strong; sample populations for transition direction and gene flow
Cirsium japonicum var. japonicum,Japan,Sinocirsium,unknown,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34 in five-lineage complex,flanking_backbone,Colour evidence still needs atlas curation
Cirsium japonicum var. albescens,Taiwan,Sinocirsium,white,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34 in five-lineage complex,mechanistic_replication,Fixed-white sister of colour-polymorphic takaoense
Cirsium japonicum var. takaoense,Taiwan,Sinocirsium,polymorphic_white_bluish-purple,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34; 2C about 1.01 pg,highest_priority_within_lineage,Paired colour morph sampling is more informative than repeating species placement
Cirsium japonicum var. australe,Taiwan,Sinocirsium,bluish-purple,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34; 2C about 1.79 pg,flanking_coloured_control,Sister to fukienense in Chang 2026
Cirsium japonicum var. fukienense,Taiwan/Fujian,Sinocirsium,purple_variable,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,2n=34; 2C about 1.91 pg,bridge_population_sampling,Flower-colour variation and cross-strait range make population sampling useful
Cirsium morii,Taiwan,reported_Arenicola_context,unknown,yes,2-6,2026,10.1186/s12870-026-08097-6,PRJNA1311153,unknown,backbone_control,Placement clarified by Chang 2026; colour evidence needs curation
Cirsium pengii,Taiwan,Nipponocirsium,unknown,yes,2-3,2025,10.1186/s40529-025-00454-2,PRJNA1158676,2n=32 diploid,ploidy_anchor,Useful diploid anchor for polyploid-aware pipeline
Cirsium kawakamii,Taiwan,Nipponocirsium,unknown,yes,2-3,2025,10.1186/s40529-025-00454-2,PRJNA1158676,2n=4x=64,polyploid_anchor,Existing nuclear anchor; not first-line RAD target unless colour transition found
Cirsium tatakaense,Taiwan,Nipponocirsium,unknown,yes,2-3,2025,10.1186/s40529-025-00454-2,PRJNA1158676,2n=4x=64,polyploid_anchor,Intraspecific conflicting signals reported; useful network/polyploid test
Cirsium suffultum,Japan,Nipponocirsium,unknown,yes,1,2025,10.1186/s40529-025-00454-2,PRJNA1158676,2n=4x=68 typical Japanese Nipponocirsium,replication_needed,Single individual in published transcriptomic backbone
Cirsium nipponicum var. incomptum,Japan,Nipponocirsium,unknown,yes,1,2025,10.1186/s40529-025-00454-2,PRJNA1158676,2n=4x=68 typical Japanese Nipponocirsium,replication_needed,Single individual in published transcriptomic backbone
Cirsium kujuense,Japan,Nipponocirsium,unknown,yes,1,2025,10.1186/s40529-025-00454-2,PRJNA1158676,2n=4x=68 typical Japanese Nipponocirsium,replication_needed,Single individual in published transcriptomic backbone
Cirsium lineare,Taiwan/China,Spanioptilon,unknown,yes,2,2025,10.1186/s40529-025-00454-2,PRJNA1158676,unknown,outgroup_anchor,Used as Cirsium outgroup in Chang phylogenomic analyses
