taxon,sample_number_within_taxon,location,code,coordinate,altitude_m,voucher,herbarium,embedded_public_accession,raw_reads,raw_gc_percent,trimmed_read_millions,trimmed_gc_percent,trinity_busco_complete_duplicated_percent,cdhit_busco_complete_duplicated_percent,taxon_colour_state,binary_colour_code,sample_morph_resolution,bioproject,source_artifact_sha256
C. japonicum var. albescens,1,TAIWAN. Pingtung County: Bitou,BT,"22°06'N, 120°53'E",77,ccy3173,TCF,,43966372,45,18.1,44,90.6/32.1,90.3/10.6,white,W,fixed-white taxon in paper,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. albescens,2,TAIWAN. Pingtung County: Kengzihnei,KZ,"21°54'N, 120°51'E",35,ccy3515,TNM,,40126720,51,3.6,44,27.0/6.2,26.9/2.2,white,W,fixed-white taxon in paper,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. takaoense,1,TAIWAN. Chiayi County: Fenchihu,FC,"23°30'N, 120°41'E",1364,ccy3559,TNM,,49885086,48,12.2,45,25.2/5.5,25.2/1.8,white_or_bluish-purple,W|C,sample morph not identified in supplement,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. takaoense,2,TAIWAN. Kaohsiung City: Tengji,TJ,"23°02'N, 120°42'E",1127,ccy3807,TCF,,50967870,46,20.2,45,86.6/34.5,86.3/13.3,white_or_bluish-purple,W|C,sample morph not identified in supplement,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. takaoense,3,TAIWAN. Taitung County: Nanheng,NH,"23°10'N, 121°02'E",991,ccy3835,TCF,,53816156,48,12.0,45,17.7/2.9,17.6/1.3,white_or_bluish-purple,W|C,sample morph not identified in supplement,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. takaoense,4,TAIWAN. Pingtung County: Wutai,WY,"22°44'N, 120°44'E",977,ccy3560,TNM,,46736488,52,3.7,45,21.8/4.6,21.7/1.5,white_or_bluish-purple,W|C,sample morph not identified in supplement,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. takaoense,5,TAIWAN. Hualien County: Fengbin,FB,"23°40'N, 121°32'E",21,ccy3629,TNM,,51440434,45,21.5,45,86.2/37.8,85.8/15.8,white_or_bluish-purple,W|C,sample morph not identified in supplement,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. takaoense,6,TAIWAN. Taitung County: Ludao,LT,"22°40'N, 121°30'E",73,ccy3839,TCF,,53912776,46,21.8,45,81.5/32.4,81.3/11.2,white_or_bluish-purple,W|C,sample morph not identified in supplement,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. fukienense,1,TAIWAN. Penghu County: Houliao,PH,"23°40'N, 119°34'E",11,ccy3344,TNM,,54631670,45,22.8,45,86.2/36.9,85.9/15.3,bluish-purple_or_light-purple,C,rare pale-purple plants noted; no white coding,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. fukienense,2,TAIWAN. Lienchiang County: Xiju,MT,"25°58'N, 119°55'E",110,ccy3541,TCF,,44262876,47,13.7,45,81.2/31.3,80.9/9.8,bluish-purple_or_light-purple,C,rare pale-purple plants noted; no white coding,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
