module,target_id,evidence_strength,direct_trait_function_effect,fitness_endpoint_or_proxy,time_axis_simulation_role,current_decision
reproductive_defence,CIR_HERB_RR_01,hard,no,seed_output,direct_biotic_cost_prior,"use as antagonist-fitness-cost prior; do not attribute to spine/stickiness"
display,CIR_DISPLAY_PRED_NIKKO,hard,yes,seed_damage_probability,module_function_target,"use; population-specific enemy regime"
display,CIR_DISPLAY_PRED_KAWA,hard,yes,seed_damage_probability,module_function_target,"use; population-specific enemy regime"
display,CIR_DISPLAY_PROBE_97HD,soft,yes,heads_probed_per_visit,module_function_target,"use; pollinator benefit under high density"
display,CIR_DISPLAY_PROBE_97LD,soft,yes,heads_probed_per_visit,module_function_target,"use; pollinator benefit under low density"
display,CIR_DISPLAY_PROBE_98HD,soft,yes,heads_probed_per_visit,module_function_target,"use; pollinator benefit under high density"
display,CIR_DISPLAY_PROBE_98LD,soft,yes,heads_probed_per_visit,module_function_target,"use; pollinator benefit under low density"
capitulum_size,AST_ALPINE_SIZE_ALLPRED_01,soft,yes,seed_predation,module_function_calibration,"use as external Asteraceae calibration"
orientation,AST_NOD_ACHENE_01,soft,yes,achene_set,module_function_calibration,"use as protection/fitness calibration; not Cirsium-specific"
orientation,AST_HELIO_SIRE_01,soft,yes,siring_success,module_function_context,"retain timing/orientation male-fitness context"
orientation,AST_HELIO_ALLDAY_01,context,yes,pollinator_landings,module_null_context,"retain as all-day visitation null; supports timing-specific mechanism"
stickiness,CIR_STICK_01,soft,yes,seed_predation_and_seed_output,module_null_target,"use as negative/null calibration; generic sticky-defence unsupported"
colour,CIR_COLOUR_01,soft,yes,pollination_preference,module_function_context,"retain as conditional biotic colour signal; significance-conditioned and not pooled"
pollination,CIR_POLL_EXCL_01,context,no,total_reproductive_failure,direct_biotic_cost_context,"retain as pollination-dependence context, not trait effect"
reproductive_defence,CIR_RECRUIT_CASCADE_01,context,no,recruitment,lifetime_scaling_context,"retain seed-to-recruitment amplification context"
display,CIR_DISPLAY_VISIT_R2_01,soft,yes,visitation_per_plant,module_shape_context,"use pattern shape only; R2 not standardized effect"
display,CIR_DISPLAY_PROBE_R2_01,soft,yes,heads_probed_per_visit,module_shape_context,"use pattern shape only; R2 not standardized effect"
