candidate_id,taxon,region,white_state_class,white_evidence_strength,white_evidence_source,white_evidence_url,current_nuclear_status,existing_nuclear_anchor_or_comparator,rate_fit_status_now,gate_gain_if_resolved,bottleneck_class,priority_tier,next_empirical_action,claim_limit
WREC01,Cirsium boninense,Ogasawara Japan,fixed_W,strong_direct_taxon_text,National Museum of Nature and Science Japan Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=34,no_exact_modern_nuclear_tip_recovered,"C. brevicaule and C. maritimum are nuclear-mapped Japanese coastal thistles, but no exact C. boninense tip is yet recovered",not_eligible,"+1 fixed W taxon tip after credible nuclear placement",fixed_white_nuclear_gap,A1,"recover an existing target-capture/Angiosperms353 record if one exists; otherwise prioritize one Compositae1061/Angiosperms353 voucher-linked sample","Official source states florets white and flowers always white; absence of a recovered nuclear tip is a current audit result, not proof that no unpublished or unindexed nuclear data exist."
WREC02,Cirsium wulongense,Chongqing China,fixed_W,strong_primary_taxonomic_description,Jin et al. 2024 Phytotaxa,https://doi.org/10.11646/phytotaxa.662.2.9,no_exact_modern_nuclear_tip_recovered,"C. fanjingshanense is an exact Moreyra-2025 nuclear tip and is described as purplish in the same taxonomic comparison",not_eligible,"+1 fixed W taxon tip after credible nuclear placement",fixed_white_nuclear_gap,A1,"target-capture C. wulongense with voucher; reuse nuclear-mapped C. fanjingshanense as a high-value local coloured comparator after topology verification","Primary description explicitly gives white corolla, but morphological similarity to C. fanjingshanense is not itself proof of sister relationship."
WREC03,Cirsium sichuanense,Sichuan China,fixed_W,strong_primary_taxonomic_description,Jin and Chen 2022 Phytotaxa,https://doi.org/10.11646/phytotaxa.576.2.2,no_exact_modern_nuclear_tip_recovered,"C. wulongense taxonomic work treats C. sichuanense as a close morphological comparison; no exact EAzami nuclear tip recovered",not_eligible,"+1 fixed W taxon tip after credible nuclear placement",fixed_white_nuclear_gap,A1,"search herbarium/public target-capture indexes by voucher and synonym; if absent, target-capture a verified C. sichuanense voucher","White-corolla status is source-backed; exact placement and independence of the white transition are unknown until nuclear data are integrated."
WREC04,Cirsium hupingshanicum,Hunan China,fixed_W,strong_primary_taxonomic_description,Jin and Chen 2022 Phytotaxa,https://doi.org/10.11646/phytotaxa.544.1.9,no_exact_modern_nuclear_tip_recovered,"Taxonomic paper compares it with coloured C. japonicum and C. racemiforme; neither comparison is assumed to be its nuclear sister",not_eligible,"+1 fixed W taxon tip after credible nuclear placement",fixed_white_nuclear_gap,A1,"search public target-capture/sequence archives by species and type-voucher identifiers; if absent, obtain voucher-linked target capture","Primary description explicitly diagnoses the taxon by white corolla; comparative morphology cannot substitute for nuclear placement."
WREC05,Cirsium vlassovianum,Korea/Russian Far East/China/Mongolia,polymorphic_or_historical_white_form,moderate_historical_form_evidence,EAzami Korean audit from nomenclatural/floristic sources,repo:data/evidence/korea_cirsium_audit_2026-08-10.csv,modern_species_nuclear_tip_exists,"two exact Moreyra/PRJNA957074 samples are recovered; Sikhote-Alin sample uses tree code C. coryletorum with SRA name C. vlassovianum",not_eligible,"potential +1 W population/tip only after a white morph is directly linked to nuclear data",white_morph_link_gap,A2,"verify extant white material/voucher first, then sequence matched white and coloured populations; do not recode existing unlinked Moreyra tips as W","Historical f. album supports a candidate white morph, not a fixed-white species state."
WREC06,Cirsium pendulum,Japan/NE Asia,documented_W_C_polymorphism,strong_official_white_form_text,National Museum of Nature and Science Japan Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=77,modern_species_nuclear_tip_exists,"exact Moreyra tip exists from Trans-Baikal but is not morph-linked",not_eligible,"potential independent within-species transition evidence after morph-linked genealogy",white_morph_link_gap,A2,"sequence multiple Japanese white and coloured populations plus continental coloured populations; link phenotype/voucher/ploidy to each DNA sample","Species remains P in the atlas; the existing Moreyra individual cannot be assigned W or C from the current evidence."
WREC07,Cirsium sieboldii,Japan,documented_W_C_polymorphism,strong_official_white_form_text,National Museum of Nature and Science Japan Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=46,modern_species_nuclear_tip_exists,"exact Moreyra Japan tip exists but sampled individual is not morph-linked",not_eligible,"potential independent within-species transition evidence after morph-linked genealogy",white_morph_link_gap,A2,"sample verified white and reddish-purple plants across populations; preserve white/coloured phenotype and voucher at extraction","White-flowered form is documented, but the species must remain P until morph-linked nuclear sampling resolves within-species history."
WREC08,Cirsium aomorense,Japan,documented_W_C_polymorphism,strong_official_white_form_text,National Museum of Nature and Science Japan Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=2,modern_species_nuclear_tip_exists,"exact Moreyra Japan tip exists but sampled individual is not morph-linked",not_eligible,"potential independent within-species transition evidence after morph-linked genealogy",white_morph_link_gap,A2,"relocate/document white form and sequence phenotype-linked white/coloured plants rather than another unlabelled species tip","White-form evidence does not justify converting the current species-level tip to W."
WREC09,Cirsium rhinoceros,Jeju Korea,historical_white_form_candidate,moderate_historical_form_evidence,EAzami Korean audit from Korean taxonomic/cytological literature,repo:data/evidence/korea_cirsium_audit_2026-08-10.csv,no_exact_modern_nuclear_tip_recovered,"plastome exists but no exact modern nuclear backbone tip is recovered",not_eligible,"+1 W lineage only if extant white morph is verified and nuclear placement obtained",white_material_and_nuclear_gap,A3,"first relocate or verify voucher-backed white material; only then obtain modern nuclear target capture and matched coloured controls","Historical f./var. albiflorum is not sufficient evidence that a current fixed-white lineage exists."
WREC10,Cirsium setidens,Korea,historical_white_form_candidate,moderate_historical_form_evidence,EAzami Korean audit from Korean taxonomic literature,repo:data/evidence/korea_cirsium_audit_2026-08-10.csv,no_exact_modern_nuclear_tip_recovered,"older marker work exists but no exact modern Moreyra/Chang tip is recovered",not_eligible,"+1 W lineage only if extant white morph is verified and nuclear placement obtained",white_material_and_nuclear_gap,A3,"verify extant C. setidens f. albiflorum material/voucher before sequencing; then target capture plus coloured population controls","Synonymized historical form is a discovery lead, not a fixed-white state."
WREC11,Cirsium schantarense,Korea/NE Asia,historical_white_form_candidate,moderate_historical_form_evidence,EAzami Korean audit from Korean taxonomic literature,repo:data/evidence/korea_cirsium_audit_2026-08-10.csv,no_exact_modern_nuclear_tip_recovered,"older ITS-level placement exists but no exact modern target-capture/transcriptome tip is recovered",not_eligible,"+1 W lineage only if extant white morph is verified and nuclear placement obtained",white_material_and_nuclear_gap,A3,"verify living/voucher-backed white populations and accepted-name identity, then add modern nuclear placement",Historical f. albiflorum is currently synonymized and cannot be treated as an extant fixed-white species without verification.
