hypothesis_id,hypothesis_name,prediction_id,evidence_id,independence_group,evidence_type,expected_if_true,observed,verdict,directness,claim_boundary
HGA0,direct_abiotic_scaling,P1,DTR03,DTR03,direct_cirsium,broad productivity should consistently moderate antagonist demographic effect,"productivity x herbivore treatment F=0.05, P=0.82",contradict,direct,"one C. altissimum study"
HGA0,direct_abiotic_scaling,P1,DTR05,DTR05,direct_cirsium,fertility should consistently moderate antagonist demographic effect,"fertilization moderated herbivore effect in only 1/7 transitions",contradict,direct,"fire was not randomized"
HGA0,direct_abiotic_scaling,P1,DTR06,DTR06,direct_cirsium,elevation should consistently moderate damage or transmission,"elevation changed phenology but not damage, seed production, or recruitment",contradict,direct,"five peripheral populations"
HGA0,direct_abiotic_scaling,P2,ROBUST_SCREEN,pattern_reduction,simulation_screen,environment-only should reproduce the joint target set nearly as well as full models,"environment-only held-out reproduction 0.133 versus 0.689-0.706 for full models",contradict,supporting,"structural sufficiency screen, not likelihood"
HGA1,demographic_gate_bottleneck_switching,P1,DTR04,DTR04,direct_cirsium,biotic fecundity effects should be muted when density dependence closes the recruitment gate,"density dependence muted herbivore effects mainly at high density",support,direct,"hierarchical demographic model"
HGA1,demographic_gate_bottleneck_switching,P1,DTR05,DTR05,direct_cirsium,disturbance or microsite opportunity should change seed-to-population transmission,"population growth effect in 2/3 fire transitions versus 1/4 non-fire transitions",support,direct,"repeated-transition evidence"
HGA1,demographic_gate_bottleneck_switching,P1,DTR06,DTR06,direct_cirsium,safe-site limitation can block propagation of a strong fecundity effect,"herbivory reduced lifetime viable seed production but extra seed did not yield proportional recruitment",support,direct,"seed effect and recruitment are separate estimands"
HGA1,demographic_gate_bottleneck_switching,P2,DTR02,DTR02,direct_cirsium,when recruitment remains seed-limited, seed changes should transmit across contrasting habitats,"seed RR 2.44-4.16 and seedling RR 2.58-2.73 across old/new dunes",support,direct,"habitat contrast is descriptive"
HGA2,reproductive_assurance_buffering,P1,PA02,PA02,direct_cirsium,high animal-pollinator dependence can coexist with no open pollen limitation,"open/bagged seed RR=3.925 while pollen supplement/open=0.872",support,direct,"small single-meadow experiment"
HGA2,reproductive_assurance_buffering,P1,PA01,PA01,direct_cirsium,autonomous selfing should buffer current pollen limitation,"9/11 population pollen-limitation estimates not different from zero while autonomous selfing varied strongly",support,direct,"comparative study; populations not independent studies"
HGA2,reproductive_assurance_buffering,P2,PA04,PA04,direct_cirsium,assurance should fall when effective pollen donors are spatially unavailable,"female clones >=50 m from males set far fewer achenes",support,direct,"dioecious C. arvense"
HGA2,reproductive_assurance_buffering,P2,PA06,PA06,direct_cirsium,assurance should depend on flowering synchrony and local density,"cross-pollination contribution was highest in main pollinator-active period and sufficient density",support,direct,"population/context dependent"
HGA3,conditional_antagonist_priority,P1,HERB_META,antagonist_meta,meta_summary,antagonist cost should remain commonly realized across contexts,"harmonized reproductive-herbivory RR=2.674; all four pooled studies >1; broader transmission registry has fecundity cost in 6/6 designs",support,direct,"does not measure selection on a floral trait"
HGA3,conditional_antagonist_priority,P2,POLL_ASSURANCE,pollinator_meta,meta_summary,pollinator-facing fitness gain should saturate when current service is sufficient,"5/6 contexts show high dependence but direct dependence-vs-limitation designs show no general open pollen deficit",support,direct,"cross-estimand comparison; cannot compare effect magnitudes"
HGA3,conditional_antagonist_priority,P3,PA04_PA06,pollinator_spatiotemporal,direct_cirsium,pollinator-facing benefits should re-emerge sharply under low assurance,"donor distance, synchrony and local density create context-dependent reproductive assurance",support,direct,"predicts threshold behavior but threshold not estimated"
HGA4,interaction_partitioning_tradeoff_mitigation,P1,CIR_SCENT_01,CIR_SCENT_01,direct_cirsium,a trait can reduce conflict by shifting mutualist and antagonist exposure into different time windows,"C. arvense scent emission tracked pollinator activity and was low during florivore activity",support,direct,"comparative/diel chemistry; not a manipulation of fitness"
HGA4,interaction_partitioning_tradeoff_mitigation,P2,AST_HELIO,AST_HELIO,external_asteraceae,benefit can occur in a restricted time window without increasing all-day visitation,"east-facing heads gained early visitation/siring while all-day landing effect was near null",support,external,"Helianthus, not Cirsium"
HGA4,interaction_partitioning_tradeoff_mitigation,P3,AST_NOD,AST_NOD,external_asteraceae,abiotic protection can raise fitness without static pollinator preference,"nodding/erect achene-set RR≈3.586 with no pollinator preference",support,external,"Cremanthodium, not Cirsium"
HGA4,interaction_partitioning_tradeoff_mitigation,P4,CIR_DISPLAY,CIR_DISPLAY,direct_cirsium,static display expansion can expose a conflict that partitioning would need to mitigate,"larger display increases pollinator probing and seed-predation probability",support,direct,"same C. purpuratum system; identifies conflict, not mitigation"
HGA5,multi_stage_modularity,P1,AZ_LAB_01,azami_global,observational_cirsium,different visible modules need not share one within-taxon lability axis,"cross-module dispersion-environment coupling rho=-0.0569",support,supporting,"image-level variance, not genetic modularity"
HGA5,multi_stage_modularity,P2,SCREEN_MODULAR,pattern_reduction,simulation_screen,module-specific response should improve structural reproduction over a single shared response,"36-target screen ranked FULL_MODULAR_HET above coupled models",support,supporting,"distance screen only"
HGA5,multi_stage_modularity,P2,SCREEN_COMMON,pattern_reduction_robust,simulation_screen,a single common-lability full model should fail if modularity is required,"robust held-out screen found common-lability nearly tied and produced the only 11/11 core draw",contradict,supporting,"keeps modularity unresolved"
HGA5,multi_stage_modularity,P3,MECH_SPLIT,mechanism_reductions,structured_synthesis,different modules should map to different ecological gates,"orientation maps to timing/wetting, colour to availability-normalized choice, display to mutualist+antagonist exposure",support,supporting,"functional mapping is partly external and not yet ancestry controlled"
