taxon,region,colour_evidence,distribution_or_taxonomy_evidence,nuclear_status,role,priority,notes
Cirsium pendulum,Japan,white form explicitly recognized by NMNS; ordinary form treated as coloured in field/taxonomic sources,Japan + Korea + NE China + Siberia/Primorye; POWO broad native range,nuclear_placement_pending,within-species white/coloured transregional system,A1,"Do not treat as Japan-only event; exact Moreyra tip placement still unverified"
Cirsium pendulum,Korea/NE China/Russian Far East,colour state to verify population-wise,broad accepted native range includes Korea Manchuria Primorye and southern Siberia,nuclear_placement_pending,continental bridge,A2,"Prioritize existing herbarium/photo colour verification before field sampling"
Cirsium sieboldii,Japan,ordinary florets reddish purple; white form explicitly recognized by NMNS,NMNS older account says Japan endemic,nuclear_placement_pending,within-species white/coloured system,A1,"Japanese white population relocation required"
Cirsium sieboldii,China Zhejiang,colour state of verified living populations to code from source material,Jin & Chen 2022 synonymized C. paludigenum with C. sieboldii,nuclear_placement_pending,continental bridge,A2,"Use revised taxonomy; do not rely on older Japan-endemic statement"
Cirsium yezoense,Japan,reddish-purple / coloured,NMNS Japanese distribution,nuclear_placement_pending,coloured transregional control,B1,"Useful only if nuclear placement makes it an informative sister/control"
Cirsium yezoense,China Zhejiang,colour state to verify,Jin & Chen 2022 synonymized C. zhejiangense with C. yezoense,nuclear_placement_pending,continental coloured-control bridge,B1,"Taxonomic bridge confirmed; colour needs population-level evidence"
Cirsium japonicum var. japonicum,Korea,typically coloured / red-purple in regional floristic sources,Korean Cirsium chromosome study includes taxon,existing regional cytology; exact modern nuclear placement to harmonize,continental coloured anchor,B1,"Useful Sinocirsium/continental context"
Cirsium schantarense,Korea/NE Asia,colour to verify,Korean Cirsium chromosome study recognizes taxon,regional cytology,scope-expansion candidate,B2,"Promote only if colour or nuclear position brackets a white transition"
Cirsium rhinoceros,Korea,colour to verify,Korean endemic listed in chromosome study,regional cytology,scope-expansion candidate,B2,"Potential independent East Asian lineage; colour evidence needed"
Cirsium setidens,Korea,colour to verify,Korean endemic listed in chromosome study,regional cytology,scope-expansion candidate,B2,"Potential independent East Asian lineage; colour evidence needed"
Cirsium vlassovianum,Korea/continental Asia,colour to verify,Korean chromosome study includes taxon,regional cytology,scope-expansion candidate,B2,"Promote if white/polymorphic evidence emerges"
Cirsium lineare,Korea/China/Japan,coloured in current China evidence seed,Korean chromosome study includes taxon; broad East Asian taxon,existing regional nuclear/cytology evidence to audit,coloured backbone/control,B2,"Useful as coloured comparator rather than immediate RAD target"
