candidate_id,tip_id,scientific_name,biosample,run,bioproject,library_strategy,library_source,library_selection,library_layout,size_mb,pilot_execute,disposition,reason,source_audit_run,new_china_sampling_freeze_allowed
EA01,PUBEA001,Cirsium nipponicum var. yoshinoi,SAMN44017954,SRR30887223,PRJNA957074,Targeted-Capture,GENOMIC,Hybrid Selection,PAIRED,208,true,pilot_same_locus_recovery,Independent public target-capture BioSample from the Moreyra project; exact taxon label already represented but this is a distinct biological sample and should test within-taxon placement.,31656291078,false
EA02,PUBEA002,Cirsium sairamense,SAMN11585477,SRR9119112,PRJNA540287,Targeted-Capture,GENOMIC,Hybrid Selection,PAIRED,444,true,pilot_same_locus_recovery,Public Asteraceae target-capture sample outside the frozen 294 BioSamples; useful continental replicate and cross-study assay sensitivity.,31656291078,false
EA03,PUBEA003,Cirsium japonicum var. spinossimum,SAMN18040921,SRR13840234,PRJNA685933,WGS,GENOMIC,RANDOM,PAIRED,575,true,pilot_same_locus_recovery,Public low-coverage genomic reads from an East Asian taxon not represented under this exact label in the 294-tip panel; common-locus recovery must be demonstrated empirically.,31656291078,false
EA04,PUBEA004,Cirsium setidens,SAMN18530960,SRR14131367,PRJNA685933,WGS,GENOMIC,RANDOM,PAIRED,629,true,pilot_same_locus_recovery,Public low-coverage genomic reads from a Korean/East Asian Cirsium taxon absent from the frozen 294 exact taxon labels; common-locus recovery must be demonstrated empirically.,31656291078,false
EA05,PUBEA005,Cirsium japonicum var. ussuriense,SAMN18530959,SRR14131368,PRJNA685933,WGS,GENOMIC,RANDOM,PAIRED,648,true,pilot_same_locus_recovery,Public low-coverage genomic reads from an East Asian varietal lineage absent from the frozen 294 exact taxon labels; common-locus recovery must be demonstrated empirically.,31656291078,false
EA06,PUBEA006,Cirsium minganense,SAMN61217465,SRR39646450,PRJNA1474021,WGS,GENOMIC,RANDOM,SINGLE,32323,false,defer_large_long_read,Public PacBio long-read run is a real nuclear source but is too large for the bounded CI pilot; inspect assembly availability or run on HPC without weakening admission gates.,31656291078,false
EA07,EXCLUDE_CJ01,Cirsium japonicum,SAMN48371609,SRR33456661,PRJNA1259734,RNA-Seq,GENOMIC,PCR,PAIRED,12,false,exclude_assay_mismatch,NCBI metadata labels the strategy RNA-Seq but source is GENOMIC and selection is PCR; project context is plant-pathogen ITS profiling rather than host transcriptome phylogenomics.,31656291078,false
EA08,EXCLUDE_CJ02,Cirsium japonicum,SAMN48371608,SRR33456662,PRJNA1259734,RNA-Seq,GENOMIC,PCR,PAIRED,14,false,exclude_assay_mismatch,NCBI metadata labels the strategy RNA-Seq but source is GENOMIC and selection is PCR; project context is plant-pathogen ITS profiling rather than host transcriptome phylogenomics.,31656291078,false
EA09,EXCLUDE_CJ03,Cirsium japonicum,SAMN48371607,SRR33456663,PRJNA1259734,RNA-Seq,GENOMIC,PCR,PAIRED,13,false,exclude_assay_mismatch,NCBI metadata labels the strategy RNA-Seq but source is GENOMIC and selection is PCR; project context is plant-pathogen ITS profiling rather than host transcriptome phylogenomics.,31656291078,false
EA10,EXCLUDE_CJ04,Cirsium japonicum,SAMN48371606,SRR33456664,PRJNA1259734,RNA-Seq,GENOMIC,PCR,PAIRED,12,false,exclude_assay_mismatch,NCBI metadata labels the strategy RNA-Seq but source is GENOMIC and selection is PCR; project context is plant-pathogen ITS profiling rather than host transcriptome phylogenomics.,31656291078,false
