evidence_axis,current_existing_data_result,meta_inference_now,can_advance_without_new_samples,public_or_existing_next_step,new_biological_data_needed,why_new_data_is_required
radiation_structure,"36/38 sampled Japanese concepts in dominant radiation; 2 exceptions","strong sampled radiation-success asymmetry",yes,"accepted 294/296 branch-length tree; age/sampling-aware lineage accumulation; lineare/dipsacolepis comparators",no,"not needed for first comparative radiation test"
exception_replication,"lineare 3/3 analyses and 2/2 independent groups; dipsacolepis one independent group","lineare is robust secondary-history comparator; dipsacolepis is weaker",yes,"freeze topology ensemble and continental sisters",no,"not needed for comparator identity"
trait_state_resolution,"4/4 W/C-polymorphic systems compressed by species-tip P coding; only takaoense morph-linked","species-tip matrices under-resolve recent colour history",partly,"run topology-weighted coding sensitivity where linkage exists",yes,"pendulum/sieboldii/aomorense lack morph-linked genomic samples"
takaoense_transition_count,"minimum transitions 1 species-tip vs 2 sample-aware","direction of HMM2 predicted bias observed in 1/1 testable system",no_for_replication,"retain as single-system result",yes,"replicated rate/count effect requires independent morph-linked systems"
macro_trait_disparity,"Azami 216 taxa/3725 observations/6626 heads/9 endpoints; large below-species visible variance; no universal lability coupling","trait modules should not be collapsed to one lability axis",yes,"build trait-tip bridge and compare disparity/transition summaries on accepted tree",no_for_first_phylogenetic_test,"field validation needed only for causal interpretation"
cytogenetic_diversity,"focal dominant-radiation audit includes 2x 4x 6x","cytogenetic heterogeneity is present",partly,"map source-backed cytotypes/genome size onto accepted tree",yes,"population cytotype distribution cannot be inferred from taxon-level records"
reticulation_ILS,"published nuclear studies report incongruence/reticulate local networks","reticulation/ILS are real candidate enabling processes",partly,"derive quantitative gene-tree/concordance and nuclear-plastid discordance metrics",yes,"population ancestry and introgression direction require denser local sampling"
niche_divergence,"local young East-Asian lineages show ecological/niche differentiation","ecological divergence can occur rapidly but dominant-radiation rate unresolved",yes,"harmonized public-occurrence niche analysis across dominant/secondary histories",no_for_first_comparative_test,"fitness requires experiments later"
adaptive_function,"candidate orientation/colour/phyllary-spine functions only","not demonstrated",no,"use macro/phylogenetic analysis to select replicated transitions",yes,"adaptation requires trait manipulation/performance or fitness evidence"
molecular_reversibility,"DFR/ANS and pathway homolog recoverability supports retained-pathway plausibility","mechanistic plausibility only",no_for_replicated_causation,"prioritize high-information independent white systems",yes,"causal mechanism requires linked ancestry coding floral expression pigment phenotype"
adaptive_radiation,"rapid radiation + strong success asymmetry + local ecological/phenotypic divergence","adaptive-radiation/evolvability hypothesis remains unresolved",partly,"complete public comparative tree+trait+niche+discordance analyses first",yes,"strict adaptive radiation needs representative replicated fitness plus population/mechanistic controls"
