paper_japan_member_id,taxon_name,obs_id,latitude,longitude,observed_on,analysis_cell,corolla_lab_lightness_median,corolla_lab_lightness_n_usable_heads
JPN_05,Cirsium aomorense,31111189,40.60823,140.4633633333,2019-08-19,lat0522_lon1281,70.5882339477539,1
JPN_05,Cirsium aomorense,32400012,40.5929916667,140.5983883333,2019-09-09,lat0522_lon1282,67.64705657958984,1
JPN_05,Cirsium aomorense,343057173,41.7453116667,140.7212666667,2023-09-15,lat0526_lon1282,60.39215850830078,1
JPN_27,Cirsium suzukaense,64677736,34.8615957586,137.4541286697,2020-11-05,lat0499_lon1269,60.19607925415039,6
JPN_27,Cirsium suzukaense,62646997,34.8592339825,137.5686887474,2020-10-15,lat0499_lon1270,64.70588302612305,4
JPN_27,Cirsium suzukaense,37465176,34.876002817,138.0167333752,2019-12-12,lat0499_lon1272,75.29412078857422,9
JPN_27,Cirsium suzukaense,63169704,35.0458708842,137.9207169353,2020-10-20,lat0500_lon1271,70.19607543945312,5
JPN_30,Cirsium yezoense,250001792,36.6476783333,137.5719616667,2024-11-01,lat0506_lon1270,62.35293960571289,1
JPN_30,Cirsium yezoense,182937609,37.6607415275,140.1246445581,2017-10-04,lat0510_lon1280,72.94117736816406,1
JPN_30,Cirsium yezoense,323137995,40.524252288,140.9741361067,2025-10-18,lat0522_lon1283,68.23529052734375,1
