record_id,paper_japan_member_id,taxon_concept,trait_id,value,unit,source_type,source_locator,rights_status,measurement_protocol,admission_status,exclusion_reason,tip_id,region,source_name,source_evidence_note,claim_boundary
NATIVE_cirsium_alpicola__involucre_live_diameter_cm,JPN_03,Cirsium alpicola,involucre_live_diameter_cm,1.8-2.0,cm,national_museum_taxonomic_authority,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=145,public_web_authority_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_alpicola,Japan,NMNS Japanese Cirsium database,Involucre campanulate; live diameter 18-20 mm; 2-5 heads clustered,Direct botanical involucre size; not total plant display or fitness
NATIVE_cirsium_brevicaule__inner_outer_length_ratio,,Cirsium brevicaule,inner_outer_length_ratio,2.24,ratio,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_brevicaule,Ryukyu,Chang et al. 2026 comparative morphology,Phyllary size 10.21 +/- 3.50 mm; protrusion 3.73 +/- 0.81 mm; inner:outer length ratio 2.24 +/- 0.22,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_brevicaule__measured_capitulum_length_cm,,Cirsium brevicaule,measured_capitulum_length_cm,3.68,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_brevicaule,Ryukyu,Chang et al. 2026 comparative morphology,Capitulum 3.68 +/- 0.18 x 1.79 +/- 0.14 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_brevicaule__measured_capitulum_width_cm,,Cirsium brevicaule,measured_capitulum_width_cm,1.79,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_brevicaule,Ryukyu,Chang et al. 2026 comparative morphology,Capitulum 3.68 +/- 0.18 x 1.79 +/- 0.14 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_brevicaule__phyllary_length_cm,,Cirsium brevicaule,phyllary_length_cm,1.021,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_brevicaule,Ryukyu,Chang et al. 2026 comparative morphology,Phyllary size 10.21 +/- 3.50 mm; protrusion 3.73 +/- 0.81 mm; inner:outer length ratio 2.24 +/- 0.22,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_brevicaule__phyllary_protrusion_mm,,Cirsium brevicaule,phyllary_protrusion_mm,3.73,mm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_brevicaule,Ryukyu,Chang et al. 2026 comparative morphology,Phyllary size 10.21 +/- 3.50 mm; protrusion 3.73 +/- 0.81 mm; inner:outer length ratio 2.24 +/- 0.22,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_gyojanum__involucre_live_diameter_cm,JPN_09,Cirsium gyojanum,involucre_live_diameter_cm,0.6-0.8,cm,national_museum_taxonomic_authority,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=49,public_web_authority_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_gyojanum,Japan,NMNS Japanese Cirsium database,Narrow-cylindric involucre; live diameter 6-8 mm,Direct botanical involucre size; not total plant display or fitness
NATIVE_cirsium_irumtiense__inner_outer_length_ratio,,Cirsium irumtiense,inner_outer_length_ratio,1.44,ratio,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_irumtiense,Ryukyu,Chang et al. 2026 comparative morphology,Phyllary size 13.64 +/- 1.56 mm; protrusion 4.44 +/- 0.23 mm; inner:outer ratio 1.44 +/- 0.07,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_irumtiense__measured_capitulum_length_cm,,Cirsium irumtiense,measured_capitulum_length_cm,3.40,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_irumtiense,Ryukyu,Chang et al. 2026 comparative morphology,Capitulum 3.40 +/- 0.65 x 1.93 +/- 0.36 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_irumtiense__measured_capitulum_width_cm,,Cirsium irumtiense,measured_capitulum_width_cm,1.93,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_irumtiense,Ryukyu,Chang et al. 2026 comparative morphology,Capitulum 3.40 +/- 0.65 x 1.93 +/- 0.36 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_irumtiense__phyllary_length_cm,,Cirsium irumtiense,phyllary_length_cm,1.364,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_irumtiense,Ryukyu,Chang et al. 2026 comparative morphology,Phyllary size 13.64 +/- 1.56 mm; protrusion 4.44 +/- 0.23 mm; inner:outer ratio 1.44 +/- 0.07,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_irumtiense__phyllary_protrusion_mm,,Cirsium irumtiense,phyllary_protrusion_mm,4.44,mm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_irumtiense,Ryukyu,Chang et al. 2026 comparative morphology,Phyllary size 13.64 +/- 1.56 mm; protrusion 4.44 +/- 0.23 mm; inner:outer ratio 1.44 +/- 0.07,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_albescens__inner_outer_length_ratio,,Cirsium japonicum var. albescens,inner_outer_length_ratio,1.34,ratio,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_albescens,Taiwan,Chang et al. 2026 comparative morphology,Phyllary size 17.13 +/- 4.38 mm; protrusion 5.54 +/- 1.40 mm; inner:outer ratio 1.34 +/- 0.12,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_albescens__measured_capitulum_length_cm,,Cirsium japonicum var. albescens,measured_capitulum_length_cm,2.66,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_albescens,Taiwan,Chang et al. 2026 comparative morphology,Capitulum 2.66 +/- 0.60 x 1.36 +/- 0.32 cm,Direct measured capitulum size; not plant-level head number
