item_id,asset,classification,implementation_status,current_result_or_role,evidence_paths,next_gate,claim_boundary
I01,Japan38 / Comp1061 nuclear scaffold,directly_usable,"accepted ML phylogram plus 1000 UFBoot trees; 36 admitted concept tips after fail-closed exclusions","independent public-data ancestry scaffold; substitutions/site only","data/evidence/japan38_comp1061_primary_tree_acceptance_v1.json; data/evidence/japan38_comp1061_primary_tree_v1.nwk","retain JPN20 non-monophyly and JPN31 identity exclusions","not a dated chronogram and not the unavailable final-350 tree"
I02,published dated phylogeny and biogeographic anchors,reanalysis_needed,"machine-readable point/interval anchors exist but are not reconciled to a complete dated Japan38 tree","36/38 dominant radiation; 2.4 Ma founder event; lineare and dipsacolepis event hypotheses; local Arenicola/Nipponocirsium ages","data/evidence/fdt_time_calibration_anchor_registry_v1.csv; data/evidence/arenicola_dated_asr_scaffold_v1.json; data/evidence/japan_cirsium_origin_meta_analysis_v1.json","obtain or reconstruct a taxon-reconciled dated topology ensemble before event-window or rate analyses","event ages are priors/context and must not be forced onto guessed nodes"
I03,orientation discrete history,directly_usable,"authority-coded discrete states plus ML/UFBoot parsimony and localization are implemented","20 resolved concepts; ML minimum 6; UFBoot 4-6; no individually forced ML edge","data/evidence/jpn34_orientation_extension_parsimony_v1.json; data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv; analysis/summarize_japan38_transition_identifiability_v1.py","freeze the exact merged authority seed and report coverage with every count","minimum steps are recurrence lower bounds not independent origins"
I04,phyllary-posture history,directly_usable,"authority-coded history and topology sensitivity are implemented","10 resolved concepts; exactly 3 minimum steps; JPN36 terminal placement forced in 75.4% of UFBoot trees","data/evidence/japan38_multitrait_history_summary_v1.json; data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv","leave JPN15 unknown unless an exact authority source maps safely to the ontology","posture is not defence efficacy and one terminal placement is not convergence"
I05,stickiness history,directly_usable,"authority extension and full topology sensitivity are implemented","13 resolved concepts; exactly 5 minimum steps across 1000 UFBoot trees","data/evidence/jpn24_stickiness_extension_parsimony_v1.json; data/evidence/japan38_nmns_capitulum_trait_seed_extension_v2.csv","retain source-level categorical status and unresolved edge-placement uncertainty","sticky state is not a demonstrated defensive adaptation"
I06,continuous-trait history implementation,reanalysis_needed,"EAzami-native registry and exact-permutation six-topology n=7 diagnostic are complete; Japan38 history and branch-change analysis still lack admitted scalar coverage","no one of four direct traits passes the topology-robust corrected retention rule; legacy 8/8 sparse Japan38 results remain audit-only because they consume an Azami-export bridge","data/evidence/chapter2_eazami_native_continuous_trait_registry_v1.csv; data/evidence/chapter2_eazami_native_continuous_history_diagnostic_v1.json; analysis/run_chapter2_eazami_native_continuous_history_diagnostic_v1.py; analysis/run_japan38_all_continuous_history_v1.py","obtain commensurate scalar measurements on enough predeclared Japan38 tips before rerunning the unchanged Japan38 history and reconstruction-null methods","the n=7 panel is source- and lineage-clustered; failed retention detection is not lability or independence and cannot transfer to Japan38"
I07,reconstruction-aware branch-change null,reanalysis_needed,"tip-label permutation with complete ancestral reconstruction rerun is implemented and deterministic","original P=0.3504 FAIL; fixed JPN29-excluded sensitivity P=0.1959 FAIL","analysis/run_japan38_branch_change_reconstruction_null_v1.py; data/evidence/chapter2_time_axis_compute/japan38_branch_change_reconstruction_null_v1.json; data/evidence/chapter2_provenance_sensitivity_compute/japan38_branch_change_provenance_sensitivity_v1.json","reuse the method unchanged after EAzami-native continuous input is frozen","a FAIL does not prove zero coupling or evolutionary independence"
I08,topology uncertainty and bootstrap,directly_usable,"1000 UFBoot propagation is implemented for discrete recurrence/localization and continuous equal-branch diagnostics","recurrence and localization uncertainty are separable; equal-branch positivity is diagnostic only","data/evidence/chapter2_time_axis_compute/japan38_continuous_branch_change_topology_sensitivity_v1.json; data/evidence/chapter2_time_axis_compute/japan38_latest_module_overlap_topology_sensitivity_v2.json","propagate the same frozen topology ensemble through every new history layer","topology stability is not a substitute for an estimand-specific null"
I09,GBIF plus CHELSA niche extraction,directly_usable,"source-name guard; jurisdiction filters; thinning; uncertainty filter; CHELSA 2.1 extraction are implemented","Japan and Taiwan occurrence-niche inputs exist with explicit admission failures","analysis/build_focal_occurrence_niche_sample_information_v1.py; analysis/sample_worldclim_public_exposure_v1.py; data/evidence/focal_occurrence_niche_sampling_config_v1.json; data/evidence/fdt4_taiwan_orientation_niche_config_v1.json","recover additional exact-rank records without lowering the frozen n>=10 gate","tip niche centroids are not ancestral niches ranges or causal environments"
I10,Japan plus Taiwan orientation-by-niche PGLS,directly_usable,"six-topology Brownian PGLS is implemented","primary 9-taxon screen: no axis below 0.05; BIO15 P=0.0505-0.0524; n=9 sensitivity is not promoted","data/evidence/fdt4_japan_orientation_niche_pgls_diagnostic_v1.json; data/evidence/fdt4_eastasia_pgls_recovered_diagnostic_v1.json; analysis/run_fdt4_orientation_niche_pgls_v1.py","bring C. morii and C. tatakaense to the predeclared n>=10 gate then rerun unchanged","present-day association is not repeated adaptation or historical niche coupling"
