channel,family,environment_mode,scale_coefficient_architecture,residual_architecture,median,q25,q75,min,max,median_rank,mean_rank,rank1_count,median_loss_structure,median_loss_environment_block_r2,median_loss_environment_geometry,median_loss_environment_incremental,median_order_rank
primary,NULL_COUPLED,NONE,SHARED,COUPLED,2.213280419016901,1.9101536660831404,2.3752826360741284,0.6858608717402237,2.939301714170288,1.0,1.0,16,2.9074476722408478,0.3739300368457108,4.220693877636524,0.5524654124316586,1.0
primary,CORE4_INDEPENDENT_COUPLED,CORE4,INDEPENDENT,COUPLED,14.761203366391678,12.376769864906748,15.858463135591256,8.655037605300713,19.868768601912695,3.0,3.0,0,47.957706893514654,6.820254449821498,4.030242978068278,0.46411578627986183,2.0
primary,PROCESS_AMONG_ONLY_INDEPENDENT_COUPLED,PROCESS_AMONG_ONLY,INDEPENDENT,COUPLED,15.989254178664169,12.814588540696953,18.457597431647713,9.151580445304914,25.76806139949154,3.5,4.75,0,51.698195479117395,7.98691053138673,4.687887767200223,0.5437661674434444,3.0
primary,CORE4_SHARED_COUPLED,CORE4,SHARED,COUPLED,16.56968178538988,14.345692004617348,21.496941657805156,12.293457857475474,26.741394154398176,5.5,5.5,0,44.238999110664096,6.868683869513886,12.584932137232208,0.5083870402141707,4.0
primary,PROCESS_AMONG_ONLY_SHARED_COUPLED,PROCESS_AMONG_ONLY,SHARED,COUPLED,18.726655288800018,14.895592250454746,22.52311733695179,13.091107655290063,27.314994368116455,6.5,6.5625,0,60.65785869265261,8.443658344762255,9.207204733127416,0.3837088619294501,5.0
primary,PROCESS_BOTH_INDEPENDENT_COUPLED,PROCESS_BOTH,INDEPENDENT,COUPLED,19.889239668196296,17.39292206535741,24.20508864042234,10.90174893201911,27.49086467026759,6.0,7.25,0,60.20938742202901,8.375655632225468,5.074034246560104,5.355731890191046,6.0
primary,CORE4_INDEPENDENT_MODULAR,CORE4,INDEPENDENT,MODULAR,22.089431284529283,20.09280810928975,25.067085152965838,16.547925841692372,28.141169306568685,10.0,8.875,0,76.3150922451548,6.863023985091175,3.8039027686119096,0.4695591500339789,7.0
primary,PROCESS_AMONG_ONLY_SHARED_MODULAR,PROCESS_AMONG_ONLY,SHARED,MODULAR,22.35928210428792,17.54709784879999,25.279582377561926,12.538008839279204,29.817642913947637,8.5,8.25,0,74.89602999094998,8.594767438773955,9.041861595876899,0.4010050183530379,8.0
primary,CORE4_SHARED_MODULAR,CORE4,SHARED,MODULAR,22.54190338937123,19.062662865906486,24.730225971806256,12.859747189671353,29.412040847300922,9.0,8.5625,0,72.36055818968268,7.297221082907273,12.4453342895366,0.45435125560704065,9.0
primary,PROCESS_AMONG_ONLY_INDEPENDENT_MODULAR,PROCESS_AMONG_ONLY,INDEPENDENT,MODULAR,22.87036068084899,21.198940799218537,23.97592301766346,16.384036760214016,27.6615571342047,8.0,8.25,0,79.0286702881541,7.7242142164543885,4.200456988936418,0.4841125933270895,10.0
