paper_japan_member_id,paper_taxon_concept,taxon_name,n_strict_spatial_observations,n_colour_usable_observations,corolla_lab_lightness_species_median,corolla_lab_lightness_species_mad,corolla_lab_chroma_species_median,corolla_lab_chroma_species_mad,corolla_hue_sin_species_median,corolla_hue_sin_species_mad,corolla_hue_cos_species_median,corolla_hue_cos_species_mad,corolla_hue_degrees_species_circular,evidence_depth,source_repo,source_workflow_run,source_artifact_id,source_artifact_digest,claim_boundary
JPN_05,Cirsium aomorense,Cirsium aomorense,3,3,67.647057,2.941177,47.507893,3.907433,-0.883239,0.027521,0.468923,0.055986,297.964417,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_15,Cirsium lineare,Cirsium lineare,2,2,64.313726,7.647058,31.471848,0.150928,-0.753857,0.159919,0.605364,0.199146,308.765251,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_17,Cirsium maritimum,Cirsium maritimum,14,14,68.235294,4.705881,28.162963,6.385983,-0.724761,0.245385,0.605152,0.254029,309.860800,moderate_or_better_10plus,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_22,Cirsium norikurense,Cirsium norikurense,1,1,59.607843,0.000000,25.832420,0.000000,0.561236,0.000000,0.337315,0.000000,58.993198,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_23,Cirsium oligophyllum,Cirsium oligophyllum,20,20,63.235294,5.980392,39.070978,10.035427,-0.874726,0.100243,0.425470,0.248979,295.938499,moderate_or_better_10plus,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_26,Cirsium spicatum,Cirsium spicatum,1,1,52.941177,0.000000,24.186773,0.000000,-0.798182,0.000000,0.602416,0.000000,307.043121,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_27,Cirsium suzukaense,Cirsium suzukaense,4,4,67.450979,4.999998,29.203813,1.922353,-0.970600,0.026663,0.210740,0.135010,282.250092,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_29,Cirsium verutum,Cirsium verutum,9,9,62.352940,7.843136,21.758096,4.925232,0.299600,0.413814,0.772946,0.151827,21.186737,sparse_5_9,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_30,Cirsium yezoense,Cirsium yezoense,3,3,68.235291,4.705887,30.000000,3.599243,-0.777358,0.047717,0.565023,0.143431,306.011523,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_32,Cirsium buergeri,Cirsium buergeri,1,1,56.666668,0.000000,21.528697,0.000000,-0.218153,0.000000,0.112919,0.000000,297.366730,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_35,Cirsium nipponicum,Cirsium nipponicum,1,1,62.352942,0.000000,28.886606,0.000000,-0.873587,0.000000,0.326186,0.000000,290.474960,very_sparse_1_4,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_36,Cirsium sieboldii,Cirsium sieboldii,10,10,59.607842,8.235293,32.051558,8.777627,-0.821064,0.164791,0.231003,0.144205,285.713724,moderate_or_better_10plus,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
JPN_37,Cirsium kamtschaticum,Cirsium kamtschaticum,103,92,65.000000,6.666666,17.185614,5.159543,0.209515,0.578954,0.716668,0.202549,16.296063,moderate_or_better_10plus,zuizui0223/azami,29306454759,8301295025,sha256:f453e36b1867bbb0a239253c2cdfa4a4a6b8f6117a9e814db7224e8b060a440a,"Continuous image-derived species summary; exact paper concept identity only; not a discrete colour state, ancestral state, or adaptive transition."
