scope,scale,test_id,observed_supported,null_support_frequency,null_frequency_of_observed_state
complete18_env_min2,among_taxon,all_process_extension_beyond_core4,True,0.09375,0.09375
complete18_env_min2,among_taxon,climatic_productivity_beyond_core4,False,0.0,1.0
complete18_env_min2,among_taxon,growing_season_water_input_beyond_core4,True,0.015625,0.015625
complete18_env_min2,among_taxon,mechanical_exposure_beyond_core4,False,0.046875,0.953125
complete18_env_min2,among_taxon,radiative_atmospheric_drying_beyond_core4,False,0.015625,0.984375
complete18_env_min2,within_taxon,all_process_extension_beyond_core4,False,0.078125,0.921875
complete18_env_min2,within_taxon,climatic_productivity_beyond_core4,False,0.015625,0.984375
complete18_env_min2,within_taxon,growing_season_water_input_beyond_core4,False,0.015625,0.984375
complete18_env_min2,within_taxon,mechanical_exposure_beyond_core4,False,0.03125,0.96875
complete18_env_min2,within_taxon,radiative_atmospheric_drying_beyond_core4,False,0.03125,0.96875
complete18_env_min5,among_taxon,all_process_extension_beyond_core4,True,0.09375,0.09375
complete18_env_min5,among_taxon,climatic_productivity_beyond_core4,True,0.03125,0.03125
complete18_env_min5,among_taxon,growing_season_water_input_beyond_core4,True,0.0,0.0
complete18_env_min5,among_taxon,mechanical_exposure_beyond_core4,False,0.03125,0.96875
complete18_env_min5,among_taxon,radiative_atmospheric_drying_beyond_core4,True,0.03125,0.03125
complete18_env_min5,within_taxon,all_process_extension_beyond_core4,False,0.078125,0.921875
complete18_env_min5,within_taxon,climatic_productivity_beyond_core4,False,0.015625,0.984375
complete18_env_min5,within_taxon,growing_season_water_input_beyond_core4,False,0.015625,0.984375
complete18_env_min5,within_taxon,mechanical_exposure_beyond_core4,False,0.015625,0.984375
complete18_env_min5,within_taxon,radiative_atmospheric_drying_beyond_core4,False,0.03125,0.96875
