hypothesis_id,scale,module,hypothesis,evidence_type,current_status,meta_or_existing_result,self_analysis_role,unresolved_reason,decisive_next_data,claim_boundary
G0,global,all,Most visible capitulum diversity is continuous and substantial below taxon means rather than only among named taxa,Azami observational phenomics,resolved_premise,"Across nine Azami endpoints 0.589-0.931 of visible image variance occurs below assigned-taxon means",Global discovery baseline,"Image variance is not genetic variance or adaptation",None for EAzami mechanism inference,"Azami-only observational premise"
G1,global,orientation_colour,Orientation and visible colour are more environmentally structured than gross outline at global extent,Azami spatial models,resolved_premise,"Orientation and colour retain the clearest within/among-taxon environmental structure; global gross-outline support is weaker/model-dependent",Defines modules worth evolutionary-mechanism follow-up,"Environment association does not identify causal agent or evolutionary direction",Focal causal tests and ancestry-resolved mapping,"No local-adaptation or pollinator-causation claim from Azami"
G2,global,involucre_spine,Seasonality covaries with involucre/spine-like geometry within taxa,Azami auxiliary image proxies,resolved_observational_only,"BIO4 positive for roughness 0.0975 spread 0.0937 and max spine-like projection 0.0911; q=0.0424",Motivates direct botanical validation,"2D image proxies are not botanical spine/phyllary states and do not show defence",Direct spine/phyllary measurement plus antagonist manipulation,"No defence-adaptation claim from Azami"
M1,general_flowering_plants,multiagent,Pollinator- versus antagonist-mediated selection has no universal fixed dominant agent and forms a context-dependent selection mosaic,strict dual-manipulation meta-synthesis,working_meta_support,"Five strict factorial programmes: antagonist-dominant 2; pollinator-dominant 1; mixed/no-fixed 2; >=2 categories remain under every leave-one-program-out",Provides general selection architecture for Aim2,"Cross-species synthesis cannot assign dominance in focal Cirsium populations",Same-population pollination supplementation x post-anthesis antagonist protection on one seed-fitness scale,"General mechanism supported; focal dominance unidentified"
M2,Cirsium,pollination,Pollinator dependence is not equivalent to current pollen limitation because reproductive assurance buffers realized limitation,structured Cirsium meta-synthesis,working_support,"Six independent Cirsium studies; high dependence common but open pollen deficit often absent/context-dependent; assurance varies with selfing donor spacing synchrony density",Defines local assurance as a gate rather than visitation abundance,"Heterogeneous estimands block one pooled genus-wide RR",Nested bagged/open/supplemented heads plus donor distance density overlap effective contacts and seed fitness,"No visitation=fitness shortcut"
M3,Cirsium,antagonism,Reproductive insect antagonists impose a large direct fecundity cost,random-effects meta-analysis,resolved_general_pressure,"4 independent data-generation studies; 9 contrasts; reduced-herbivory seed-output RR=2.674 95% CI 2.388-2.993; ambient loss equivalent 62.6%",Sets magnitude of antagonist pressure before trait-specific experiments,"Does not identify which capitulum trait mediates the cost",Trait manipulation linked to damage and final seed output,"Pressure established; adaptation not established"
M4,Cirsium,demography,The same fecundity effect can transmit or disappear at the seed-to-recruitment bottleneck depending on safe sites disturbance and density dependence,structured demographic-transmission meta-synthesis,working_support,"6 studies/4 taxa: transmission consistent 4 context-dependent 1 blocked 1; explicit demographic gate support 3/4",Separates reproductive fitness from population consequence,"Recruitment/IPM outputs are heterogeneous and focal populations may differ",Conditional seed-addition x microsite pilot after a focal seed-output contrast,"Do not pool heterogeneous population-growth metrics"
M5,general_flowering_plants,trait_function,Biotic selection strength is not determined by broad floral functional class or interaction intensity alone,restricted experimental selection-gradient meta-analysis,working_support_for_local_leverage,"38 primary standardized gradients/6 articles/6 taxa; no significant article-paired functional-class contrast; Lobelia pollen limitation 0.062->0.259 but only 4/6 traits strengthened",Generates local functional-leverage hypothesis,"Small orchid-heavy validation set; not a replacement for larger published meta-analyses",Measure trait->effective-contact and trait->damage slopes in each focal population,"Selection = opportunity x local leverage x downstream gate is working synthesis"
D1,general_Asteraceae,display,Increasing floral display can increase mutualist attraction while also increasing predispersal seed-predator exposure,quantitative structured synthesis,working_mechanistic_support,"Cirsium purpuratum visitation/heads probed increase with display and density context; seed-predation probability also rises with flower/head production; Asteraceae head-size studies show positive size-predation associations",Provides a concrete mutualist-antagonist trade-off module,"Independent studies do not share one harmonizable display effect estimand",Within-population display and density -> effective contact and antagonist damage -> seed fitness,"Do not claim bigger is better or pool slopes/correlations across estimands"
D2,Cardueae_defence,spine_phyllary,Spines/phyllary architecture can deter antagonists but may impose pollinator-access costs,external manipulation_plus_comparative_support,mechanistic_candidate,"External Cardueae/Asteraceae manipulation shows inflorescence spines can deter illegitimate visitors and preserve filled seeds; Azami has only image proxies",Motivates focal Cirsium botanical/manipulation gate,"Direct focal Cirsium spine/phyllary manipulation is absent",Validate botanical variation then manipulate access while measuring pollinator contacts damage and seed output,"External functional evidence cannot prove Cirsium adaptation"
D3,Cirsium,stickiness,Sticky inflorescence exudate is a general reproductive defence,Direct Cirsium manipulation,weakened,"Neutralizing Cirsium discolor stickiness did not increase seed predators or reduce seed output",Negative-control lane; lowers priority of stickiness,"One direct system does not exclude context-specific roles",Opportunistic only unless new focal evidence shows strong variation/association,"Do not promote stickiness as generic defence"
O1,general_Asteraceae,orientation,Nodding/oriented capitula can improve reproductive function through time-window thermal/pollination and rain/wetting protection rather than static all-day pollinator preference,external manipulation_plus_mechanism_reduction,mechanistic_working_hypothesis,"Cremanthodium nodding vs erect achene set about 3.586 with no static pollinator preference; rain/UV reduce pollen viability; EAzami mechanism reduction requires timing plus protection paths",Defines first focal causal experiment,"External Asteraceae result is not Cirsium proof and total visits can be null",Randomized sham/reorientation with early/later contacts wetting pollen viability antagonist exposure and filled achenes,"ORI1-ORI5 preregistered; no mechanism claim before focal result"
E0,East_Asia,radiation,A young East Asian/Japanese Cirsium history created a short temporal window in which large capitulum disparity evolved,phylogenomic literature_plus_repo_premise,resolved_system_premise,"Published phylogenomics place the main Japan colonization/radiation in the Pleistocene; EAzami current sample has 36/38 Japanese concepts in one dominant young radiation",Turns global variation into a rapid-radiation test bed,"Rapid radiation alone is not adaptive radiation",Aim1 ancestry plus Aim2 trait->fitness evidence,"Use rapid radiation now; reserve adaptive radiation until fitness link"
