tree_layer,trait,metric,n,min,q05,median,q95,max
ML,orientation,mean_relative_lineage_depth_lower_bound,1,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666
ML,orientation,mean_relative_lineage_depth_upper_bound,1,1.0,1.0,1.0,1.0,1.0
ML,phyllary,mean_relative_lineage_depth_lower_bound,1,0.6952380952380953,0.6952380952380953,0.6952380952380953,0.6952380952380953,0.6952380952380953
ML,phyllary,mean_relative_lineage_depth_upper_bound,1,1.0,1.0,1.0,1.0,1.0
ML,stickiness,mean_relative_lineage_depth_lower_bound,1,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428
ML,stickiness,mean_relative_lineage_depth_upper_bound,1,0.9542857142857143,0.9542857142857143,0.9542857142857143,0.9542857142857143,0.9542857142857143
UFBoot1000,orientation,minimum_steps,1000,4.0,5.0,5.0,6.0,6.0
UFBoot1000,orientation,mean_relative_lineage_depth_lower_bound,1000,0.6628571428571428,0.737142857142857,0.7952380952380952,0.9428571428571428,0.9828571428571429
UFBoot1000,orientation,mean_relative_lineage_depth_upper_bound,1000,0.7428571428571429,0.9485714285714286,0.9942857142857143,1.0,1.0
UFBoot1000,orientation,mean_relative_lineage_depth_envelope_width,1000,0.0071428571428572285,0.02857142857142858,0.19999999999999984,0.25714285714285734,0.3314285714285715
UFBoot1000,orientation,terminal_change_count_lower_bound,1000,0.0,0.0,0.0,1.0,2.0
UFBoot1000,orientation,terminal_change_count_upper_bound,1000,1.0,3.0,4.0,6.0,6.0
UFBoot1000,orientation,internal_change_count_lower_bound,1000,0.0,0.0,1.0,2.0,4.0
UFBoot1000,orientation,internal_change_count_upper_bound,1000,2.0,4.0,5.0,6.0,6.0
UFBoot1000,phyllary,minimum_steps,1000,3.0,3.0,3.0,3.0,3.0
UFBoot1000,phyllary,mean_relative_lineage_depth_lower_bound,1000,0.19047619047619047,0.4380952380952381,0.6952380952380953,0.6952380952380953,0.7047619047619048
UFBoot1000,phyllary,mean_relative_lineage_depth_upper_bound,1000,1.0,1.0,1.0,1.0,1.0
UFBoot1000,phyllary,mean_relative_lineage_depth_envelope_width,1000,0.2952380952380952,0.3047619047619047,0.3047619047619047,0.5619047619047619,0.8095238095238095
UFBoot1000,phyllary,terminal_change_count_lower_bound,1000,0.0,0.0,1.0,1.0,2.0
UFBoot1000,phyllary,terminal_change_count_upper_bound,1000,3.0,3.0,3.0,3.0,3.0
UFBoot1000,phyllary,internal_change_count_lower_bound,1000,0.0,0.0,0.0,0.0,0.0
UFBoot1000,phyllary,internal_change_count_upper_bound,1000,1.0,2.0,2.0,3.0,3.0
UFBoot1000,stickiness,minimum_steps,1000,5.0,5.0,5.0,5.0,5.0
UFBoot1000,stickiness,mean_relative_lineage_depth_lower_bound,1000,0.7085714285714285,0.7542857142857142,0.937142857142857,0.9428571428571428,0.9485714285714286
UFBoot1000,stickiness,mean_relative_lineage_depth_upper_bound,1000,0.9542857142857143,0.9542857142857143,0.9542857142857143,0.9771428571428572,0.9771428571428572
UFBoot1000,stickiness,mean_relative_lineage_depth_envelope_width,1000,0.005714285714285672,0.011428571428571455,0.017142857142857237,0.20000000000000007,0.25714285714285734
UFBoot1000,stickiness,terminal_change_count_lower_bound,1000,1.0,1.0,2.0,3.0,3.0
UFBoot1000,stickiness,terminal_change_count_upper_bound,1000,4.0,4.0,4.0,4.0,4.0
UFBoot1000,stickiness,internal_change_count_lower_bound,1000,1.0,1.0,1.0,1.0,1.0
UFBoot1000,stickiness,internal_change_count_upper_bound,1000,2.0,2.0,3.0,4.0,4.0
