taxon,sample_index,collecting_location,coordinate,altitude_m,voucher,corolla_state,colour_code,chromosome_context,evidence_scope,bioproject,source_artifact_sha256
Cirsium lineare,1,"TAIWAN. Miaoli County: Xihu","24°29'N, 120°45'E",173,ccy3446,not_coded_in_supplement,,not_coded_here,"sample-specific location/voucher; phenotype not in Supplementary Table 4",PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium lineare,2,"TAIWAN. Miaoli County: Tongxiao","24°26'N, 120°41'E",81,ccy2770,not_coded_in_supplement,,not_coded_here,"sample-specific location/voucher; phenotype not in Supplementary Table 4",PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium tatakaense,1,"TAIWAN. Nantou County: Luanantang","23°42'N, 120°57'E",2476,ccy4022,bluish-purple,C,"2n=4x=64; taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium tatakaense,2,"TAIWAN. Chiayi County: Mt. Yushan","23°28'N, 120°54'E",2866,ccy3456,bluish-purple,C,"2n=4x=64; taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium tatakaense,3,"TAIWAN. Chiayi County: Mt. Yushan","23°28'N, 120°55'E",2913,ccy3458,bluish-purple,C,"2n=4x=64; taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium tatakaense,4,"TAIWAN. Kaohsiung City: Mt. Hsiaokuanshan","23°09'N, 120°51'E",2446,ccy3338,bluish-purple,C,"2n=4x=64; taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium kawakamii,1,"TAIWAN. Nantou County: Nenggao","24°02'N, 121°15'E",2751,ccy3861,white,W,"2n=4x=64; taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium kawakamii,2,"TAIWAN. Nantou County: Mt. Xiaochilai","24°08'N, 121°17'E",3040,ccy3544,white,W,"2n=4x=64; taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium pengii,1,"TAIWAN. New Taipei City: Mt. Lalashan","24°43'N, 121°26'E",1736,ccy4054,bluish-purple,C,"2n=2x=32; measured taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium pengii,2,"TAIWAN. New Taipei City: Mt. Lalashan","24°43'N, 121°26'E",1736,ccy3995,bluish-purple,C,"2n=2x=32; measured taxon-level context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium suffultum,1,"JAPAN. Oita Prefecture: Yabakei Town","33°29'N, 131°01'E",1142,ccy4209,bluish-purple,C,"Japanese Nipponocirsium 2n=4x=68 context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium nipponicum var. incomptum,1,"JAPAN. Fukuoka Prefecture: Ishigama","33°29'N, 130°18'E",250,ccy4207,pale-purple,C,"Japanese Nipponocirsium 2n=4x=68 context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
Cirsium kujuense,1,"JAPAN. Oita Prefecture: Minamitateishi","33°17'N, 131°25'E",1250,ccy4214,bluish-purple,C,"Japanese Nipponocirsium 2n=4x=68 context",sample-specific location/voucher plus taxon-level phenotype/cytotype,PRJNA1158676,a1c67668d001dd443292cea3dd05851cb68df6f6f94afe143459306051d848e8
