topology_index,n_taxa,n_U,n_D,axis,er_rate,expected_orientation_transitions,directional_shift_sd,two_sided_permutation_p,permutations,seed
1,11,6,5,chelsa_bio15,164.98582636378288,5.873397469356784,0.21254559582092683,0.082,499,20261825
1,11,6,5,chelsa_bio01,164.98582636378288,5.873397469356784,-0.2025720886006764,0.044,499,20261825
2,11,6,5,chelsa_bio15,165.09441812394172,5.875619824114929,0.21236498679095409,0.082,499,20262825
2,11,6,5,chelsa_bio01,165.09441812394172,5.875619824114929,-0.20257213538095512,0.066,499,20262825
3,11,6,5,chelsa_bio15,165.0956635185421,5.875585142511197,0.2123696445291458,0.082,499,20263825
3,11,6,5,chelsa_bio01,165.0956635185421,5.875585142511197,-0.2025736621127406,0.046,499,20263825
4,11,6,5,chelsa_bio15,162.46202299766614,5.835093075154485,0.213448123027281,0.078,499,20264825
4,11,6,5,chelsa_bio01,162.46202299766614,5.835093075154485,-0.20412535316836034,0.05,499,20264825
5,11,6,5,chelsa_bio15,162.5443960715278,5.836880274791179,0.21325615082689434,0.094,499,20265825
5,11,6,5,chelsa_bio01,162.5443960715278,5.836880274791179,-0.20410972985108095,0.066,499,20265825
6,11,6,5,chelsa_bio15,162.54935561018888,5.836955487792762,0.2132592878338224,0.08,499,20266825
6,11,6,5,chelsa_bio01,162.54935561018888,5.836955487792762,-0.20411197257244693,0.044,499,20266825
