candidate_id,taxon,search_route,query_or_identifier,result_status,evidence_source,evidence_locator,implication,next_action,claim_limit
WREC01,Cirsium boninense,Japanese conference literature,"遺伝子情報によるオガサワラアザミの起源解明",existing_genetic_study_identified,J-GLOBAL Japanese Plant Taxonomy Society 24th meeting proceedings,https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202502289420525672,"A 2025 study explicitly investigated the origin of C. boninense using genetic information; the method, raw-data accession and reusable sequence matrix were not recovered from the accessible metadata.","recover the full meeting abstract/poster or author-held data/method/accessions before commissioning new sequencing",Study existence does not establish that reusable nuclear sequence data are public or that a particular method such as MIG-seq was used.
WREC01,Cirsium boninense,institutional publication list,"Shinozaki et al. 2025 Cirsium boninense genetic origin",study_metadata_independently_corrobated,Tohoku University Forest Ecology achievements,https://sites.google.com/tohoku.ac.jp/foresteco/%E7%A0%94%E7%A9%B6%E6%A5%AD%E7%B8%BE,"The same 2025 Japanese Plant Taxonomy Society poster is independently listed by a coauthor laboratory.","treat existing-data recovery as the A1 first action rather than immediate resequencing",Institutional listing confirms the presentation metadata but does not expose sequence files.
WREC01,Cirsium boninense,meeting-proceedings physical recovery,"NDL bibliographic ID 034039888; call number RA241-R8; p.69",proceedings_copy_route_identified,National Diet Library meeting-proceedings catalogue,https://ndlsearch.ndl.go.jp/books/R100000002-I034039888,"The full 110-page 2025 meeting proceedings is catalogued and the target presentation is on p.69, providing a concrete route to recover the abstract/method description.","obtain/read p.69 through a lawful NDL or library route; extract method, comparator taxa, sample counts and any accession statements from the actual abstract",A catalogue record identifies the recoverable source but does not reveal the abstract contents.
WREC01,Cirsium boninense,conference indexing,"J-GLOBAL quasi-thesaurus includes イリオモテアザミ",iriomote_indexing_clue_identified,J-GLOBAL Japanese Plant Taxonomy Society 24th meeting record,https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202502289420525672,"The record is indexed with Iriomote thistle, making a Ryukyu comparison plausible and especially relevant to the Arenicola question.","verify the actual p.69 abstract/poster before stating which Ryukyu species or samples were analysed",A thesaurus/indexing association is not evidence that C. irumtiense was sequenced or that a specific topology was obtained.
WREC01,Cirsium boninense,Kew Tree of Life current release,"Tree of Life Explorer v4.0 sequence_manifest.txt + specimen_manifest.txt",paftol_current_release_exact_taxon_absent,Royal Botanic Gardens Kew Tree of Life Explorer release v4.0,https://sftp.kew.org/pub/paftol/current_release/,"Direct search of the current sequence and specimen manifests finds no exact Cirsium boninense record, although multiple other Cirsium species are represented. POWO's PAFTOL image attribution therefore must not be treated as a current nuclear sample lead.","remove PAFTOL current-release nuclear recovery from the A1 sequence route; retain the 2025 Japanese genetic study as the highest-value existing-data route",Exact-name absence from the current release does not prove that no older unpublished differently named or partner-held data exist.
WREC01,Cirsium boninense,Kew Tree of Life deleted-sequence audit,"current_release/deleted_sequences.txt",paftol_current_deleted_exact_taxon_absent,Royal Botanic Gardens Kew Tree of Life Explorer release v4.0,https://sftp.kew.org/pub/paftol/current_release/deleted_sequences.txt,"No exact Cirsium boninense entry occurs in the v4.0 deleted-sequence list, so there is no evidence in the current release metadata that an exact taxon sequence was merely removed during the v4.0 update.","focus remaining existing-data recovery on the 2025 Japanese study and author/institutional holdings",The v4.0 deleted list does not exhaust every earlier release history or synonym possibility.
WREC01,Cirsium boninense,public archive exact-name search,"NCBI BioProject/SRA + DDBJ exact plant name",no_exact_indexed_plant_asset_recovered,"bounded web/index search on 2026-08-12","exact-name archive queries; fungal Colletotrichum boninense hits explicitly excluded","No exact indexed plant sequence/SRA/BioProject asset was recovered in the bounded search, so the 2025 study remains the highest-value lead.","recover the 2025 study data/method first; if unavailable or unsuitable, obtain >=2 voucher-linked nuclear samples",No-result search is not proof that no unpublished unindexed or differently named sequence data exist; fungal C. boninense must not be confused with Cirsium boninense.
WREC01,Cirsium boninense,follow-up publication search,"2025-2026 title/taxon/authors across researchmap/CiNii/institutional repositories",no_followup_publication_or_thesis_recovered,"bounded web/index search on 2026-08-12","exact title/taxon/author combinations","No follow-up paper, thesis or repository record exposing the 2025 study method or reusable data was recovered in the bounded search.","recover p.69 or contact the study authors only with user approval if public routes remain exhausted",A bounded no-result search is not proof that no unpublished manuscript or unindexed thesis exists.
WREC02,Cirsium wulongense,primary taxonomic material,"XLS21-095",voucher_anchor_recovered,Jin et al. 2024 Phytotaxa,https://doi.org/10.11646/phytotaxa.662.2.9,"Holotype from Chongqing Wulong district Xiannü Shan gives a concrete taxonomic/material anchor for DNA-data recovery or new sampling.","search institutional/herbarium or author-held molecular data by XLS21-095 before new collection; otherwise target-capture a verified taxonomic-concept match",Voucher identity anchors the taxon but does not imply DNA is available from the type.
WREC02,Cirsium wulongense,primary taxonomic material,"XLS21-093",additional_voucher_anchor_recovered,Jin et al. 2024 Phytotaxa,https://doi.org/10.11646/phytotaxa.662.2.9,"An additional Xiannü Shan specimen provides a second concrete material identifier independent of the holotype.","include XLS21-093 in institutional/author-held data search and as a material cross-check",A cited specimen is not automatically usable destructive-sampling material.
WREC02,Cirsium wulongense,public archive exact-name search,"NCBI BioProject/SRA + DDBJ/ENA exact taxon name",no_exact_indexed_asset_recovered,"bounded web/index search on 2026-08-12","exact-name archive queries","No exact indexed public sequence project was recovered for the species in the bounded search.","query authors/institutions by taxon and XLS21-095/XLS21-093; if no reusable nuclear data exist, obtain >=2 voucher-linked Compositae1061-compatible samples",No-result search is not proof of absence and must not be converted into a claim that the species has never been sequenced.
