channel,contrast,n_paired_contrasts,median_baseline_minus_alternative,q25,q75,positive_fraction,direction_consistent
primary,process_among_only_vs_core4,64,-0.5350715268612403,-2.5670719603015275,0.9731886363995725,0.375,False
primary,process_among_only_vs_process_both,64,3.8202103572049673,1.716778825961208,5.610742559483005,0.890625,True
primary,process_both_vs_core4,64,-3.8262881426513484,-7.537873677889346,-1.4880204654799298,0.140625,False
primary,residual_architecture,112,-5.8556786759262485,-11.580865074274065,-1.4306721046601112,0.21428571428571427,False
primary,scale_coefficient_architecture,96,2.103228223716531,-2.8468910787772286,6.288850194759624,0.5833333333333334,False
replication_sensitivity,process_among_only_vs_core4,64,-0.6961497860232999,-2.3587478593979263,0.31790041364129484,0.28125,False
replication_sensitivity,process_among_only_vs_process_both,64,3.8265785206014575,2.489417012488568,5.604365556451329,0.9375,True
replication_sensitivity,process_both_vs_core4,64,-4.26407420331172,-7.798579952213693,-2.3944913381467856,0.0625,False
replication_sensitivity,residual_architecture,112,-6.962797187258907,-12.572252752440495,-2.6641714868548867,0.17857142857142858,False
replication_sensitivity,scale_coefficient_architecture,96,2.6573087130311315,-1.5775073592092101,6.9699670492808945,0.6145833333333334,False
