artifact_key,citation_key,artifact_type,host,landing_url,download_url,requires_auth,license,expected_size_bytes,expected_filename,status,extraction,notes
mandel2014_763_loci_tree,Mandel2014Compositae,newick_tree,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.gr93t,https://datadryad.org/downloads/file_stream/86635,false,Dryad_reuse_terms,922,763_loci_tree_newick,direct_url_verified,plain_text,"Published concatenated 763-locus tree; deep Compositae method anchor, not a Cirsium backbone"
chang2025_nipponocirsium_supplement,Chang2025Nipponocirsium,supplement_docx,Springer_Nature,https://link.springer.com/article/10.1186/s40529-025-00454-2,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs40529-025-00454-2/MediaObjects/40529_2025_454_MOESM1_ESM.docx,false,CC_BY_4_0,,40529_2025_454_MOESM1_ESM.docx,direct_url_verified,docx_text_and_tables,"Contains sample/voucher, assembly, karyotype and morphology supplementary tables; machine-readable Newick not included in the recovered document"
chang2026_taiwan_ryukyu_supplement,Chang2026TaiwanRyukyu,supplement_docx,Springer_static_content,https://link.springer.com/article/10.1186/s12870-026-08097-6,https://static-content.springer.com/esm/art%3A10.1186%2Fs12870-026-08097-6/MediaObjects/12870_2026_8097_MOESM1_ESM.docx,false,CC_BY_4_0,,12870_2026_8097_MOESM1_ESM.docx,direct_url_verified,docx_text_and_tables,"Recovered from the official Springer static-content endpoint after the media endpoint returned client-challenge HTML"
herrando2019_cardueae_dataset,HerrandoMoraira2019Dataset,dataset_collection,Mendeley_Data,https://data.mendeley.com/datasets/bhvv6rmyt6/1,,true,CC_BY_4_0,,bhvv6rmyt6_v1,metadata_verified_download_pending,mendeley_api,"Description confirms alignments, gene trees, species trees and dating files; API/OAuth file enumeration still needed"
herrando2019_processing_dataset,HerrandoMoraira2019Dataset,dataset_collection,Mendeley_Data,https://data.mendeley.com/datasets/hgpn6g27c6/1,,true,CC_BY_4_0,,hgpn6g27c6_v1,metadata_verified_download_pending,mendeley_api,"Alternative processing-strategy dataset associated with Cardueae Hyb-Seq"
moreyra2025_supplement,Moreyra2025,supplement_docx,Elsevier_ars_cdn,https://www.sciencedirect.com/science/article/pii/S1055790325000028,https://ars.els-cdn.com/content/image/1-s2.0-S1055790325000028-mmc1.docx,false,article_CC_license,10485760,1-s2.0-S1055790325000028-mmc1.docx,conventional_elsevier_cdn_url_under_test,docx_text_and_tables,"ScienceDirect confirms one roughly 10-MB Word Supplementary Data 1. The direct URL follows Elsevier's published PII/mmc convention and must be accepted only after Actions verifies a valid DOCX, size and extracted tables"
moreyra2025_author_manuscript,Moreyra2025,author_manuscript_pdf,Flemish_Research_Portal,https://www.friscris.be/en/publications/a-thorny-tale-the-origin-and-diversification-of-cirsium-composita(973028a9-cf4d-4a16-9731-eb9053faa224).html,https://www.friscris.be/files/7880661/2025_Moreyra_MPE_author_version.pdf,false,repository_terms,,2025_Moreyra_MPE_author_version.pdf,direct_repository_url_discovered,none,"Author-accepted manuscript linked by the Flemish Research Portal; retained for article text/figure verification, not a substitute for Supplementary Data 1"
moreyra2025_bioproject,Moreyra2025BioProject,ncbi_bioproject,NCBI,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA957074,,false,NCBI_terms,,PRJNA957074,public_metadata_recovery_implemented,ncbi_runinfo,"Handled by analysis/recover_ncbi_project_runs.py; does not replace supplement-only or unsequenced tree tips"
chang2025_bioproject,Chang2025Nipponocirsium,ncbi_bioproject,NCBI,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1158676,,false,NCBI_terms,,PRJNA1158676,public_reads_available,ncbi_runinfo,"Transcriptome reads for focal Nipponocirsium samples"
chang2026_bioproject,Chang2026TaiwanRyukyu,ncbi_bioproject,NCBI,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1311153,,false,NCBI_terms,,PRJNA1311153,public_reads_available,ncbi_runinfo,"Transcriptome reads for focal Sinocirsium, Arenicola and allied taxa"
