target_id,evidence_layer,taxonomic_scope,module,driver,response,target_kind,estimate,lower,upper,direction,scale,use_in_simulation,source_id,provenance,claim_boundary
AZ_VAR_01,azami_global,Cirsium,all_primary_modules,hierarchical_sampling,below_taxon_visible_variance,range,0.7597,0.5886,0.9307,high,head_photo_taxon,hard,azami_final_claims,nested_visible_variance,"Image-level variance; not genetic variance."
AZ_LAB_01,azami_global,Cirsium,cross_module,within_taxon_dispersion,environment_association_coupling,estimate,-0.05687,-0.26524,0.15484,near_zero,taxon,hard,azami_final_claims,revised_precision_aware_noise_adjusted_axis,"Supports decoupled modules, not evolvability by itself."
AZ_ENV_ORIENT_01,azami_global,Cirsium,orientation,BIO1,orientation_angle,coefficient,0.017059,,,positive,within_taxon,hard,azami_final_claims,exhaustive_spatially_thinned_primary,"Observational climate association only."
AZ_ENV_CHROMA_01,azami_global,Cirsium,colour,BIO12,corolla_chroma,coefficient,0.039324,,,positive,within_taxon,hard,azami_final_claims,exhaustive_spatially_thinned_primary,"Observational climate association only."
AZ_ENV_SHAPE_01,azami_global,Cirsium,shape,global_grouped_SPDE,gross_outline_support,count,0,0,0,weak_or_absent,global_within_taxon,hard,azami_final_claims,grouped_spde,"Shape effects were weaker/model-dependent globally."
AZ_INV_ROUGH_01,azami_global,Cirsium,involucre_proxy,BIO4,involucre_projection_roughness,coefficient,0.0975,,,positive,within_taxon_le10km,hard,azami_final_claims,auxiliary_involucre,"2D image proxy; not direct defence morphology."
AZ_INV_SPREAD_01,azami_global,Cirsium,involucre_proxy,BIO4,involucre_spread_fraction,coefficient,0.0937,,,positive,within_taxon_le10km,hard,azami_final_claims,auxiliary_involucre,"2D image proxy; not direct phyllary angle."
AZ_INV_SPINE_01,azami_global,Cirsium,involucre_proxy,BIO4,spine_relative_length_max_proxy,coefficient,0.0911,,,positive,within_taxon_le10km,hard,azami_final_claims,auxiliary_involucre,"2D image proxy; not direct spine length or defence."
CIR_HERB_RR_01,cirsium_quantitative,Cirsium,reproductive_defence,insect_herbivory,viable_mature_seed_output,response_ratio,2.67364,2.38833,2.99302,positive_benefit_when_herbivory_reduced,study_level_meta,hard,cirsium_floral_herbivory_lnrr_meta_v2,EAzami_direct_lnRR_meta,"Four independent data-generation studies; estimates antagonist cost, not trait function."
CIR_DISPLAY_PRED_NIKKO,cirsium_primary,Cirsium_purpuratum,display,total_florets,seed_damage_probability,saturation_A,0.000063,,,positive_saturating,plant,hard,10.1139/b99-182,primary_article,"Pr=1-exp(-A*F); n=13; R2=0.44; P=0.013."
CIR_DISPLAY_PRED_KAWA,cirsium_primary,Cirsium_purpuratum,display,total_florets,seed_damage_probability,saturation_A,0.0000075,,,positive_saturating,plant,hard,10.1139/b99-182,primary_article,"Pr=1-exp(-A*F); n=27; R2=0.26; P=0.007."
CIR_DISPLAY_PROBE_97HD,cirsium_primary,Cirsium_purpuratum,display,flowering_heads,heads_probed_per_visit,linear_slope,0.11,,,positive_subproportional,plant_visit,soft,10.1046/j.1365-2435.2002.00644.x,primary_article,"1997 high-density stand; R2=0.91; n=16."
CIR_DISPLAY_PROBE_97LD,cirsium_primary,Cirsium_purpuratum,display,flowering_heads,heads_probed_per_visit,linear_slope,0.25,,,positive_subproportional,plant_visit,soft,10.1046/j.1365-2435.2002.00644.x,primary_article,"1997 low-density stand; R2=0.84; n=20."
CIR_DISPLAY_PROBE_98HD,cirsium_primary,Cirsium_purpuratum,display,flowering_heads,heads_probed_per_visit,linear_slope,0.078,,,positive_subproportional,plant_visit,soft,10.1046/j.1365-2435.2002.00644.x,primary_article,"1998 high-density stand; R2=0.51; n=20."
CIR_DISPLAY_PROBE_98LD,cirsium_primary,Cirsium_purpuratum,display,flowering_heads,heads_probed_per_visit,linear_slope,0.24,,,positive_subproportional,plant_visit,soft,10.1046/j.1365-2435.2002.00644.x,primary_article,"1998 low-density stand; R2=0.51; n=20."
CIR_SCENT_01,cirsium_primary,Cirsium_arvense_and_Cirsium_repandum,scent,time_of_day,fragrance_emission,fold_difference,25,,,C_arvense_higher,species_time,context,10.1086/513481,primary_article,"C. repandum emission was ~25-fold lower than staminate C. arvense; C. arvense diel emission matched pollinator activity and was low during florivore activity."
CIR_PITCHERI_01,cirsium_primary,Cirsium_pitcheri,capitulum_position,weevil_infestation,mature_seed_output,percent_change,-60,,,negative,capitulum,context,10.1016/j.gecco.2020.e00945,primary_article,"Infested capitula produced 60% fewer mature seeds; position also affected infestation."
CIR_COLOUR_01,cirsium_primary,Cirsium_palustre,colour,white_vs_coloured,pollination_preference,direction,,,,white_preferred,morph,soft,10.1038/hdy.1974.91,primary_article,"Preferential pollination of white morph; exact harmonized effect size not frozen."
CIR_STICK_01,cirsium_primary,Cirsium_discolor,stickiness,neutralized_vs_intact,seed_predation_and_seed_output,null_effect,0,,,no_support,inflorescence,soft,10.22543/0090-0222.2085,primary_article,"Neutralizing sticky exudate did not increase seed predators or decrease seed production."
CIR_POLL_EXCL_01,cirsium_primary,Cirsium_discolor,pollination,pollinator_exclusion,total_reproductive_failure,percent,55,,,higher_under_complete_exclusion,head,context,10.1111/plb.70106,primary_article,"55% of complete-exclusion heads failed versus <7% in other treatments; any exclusion reduced seed output among successful heads."
CIR_RECRUIT_CASCADE_01,cirsium_primary,Cirsium_canescens,reproductive_defence,insect_seed_predation,recruitment_cascade,fold_chain,3,,,threefold_seed_loss,life_cycle,context,Louda_Potvin_Collinge_1990,primary_article,"~3-fold viable-seed reduction led to ~6-fold seedling reduction and 6-37-fold fewer new adults."
CIR_ARVENSE_PRED_01,cirsium_primary,Cirsium_arvense,reproductive_defence,Orellia_ruficauda,attacked_heads,percent_range,52.5,20,85,positive_damage,head,context,10.4039/Ent1171075-9,primary_article,"20-85% of heads attacked depending on place/date; damaged seeds per attacked head averaged 20-80%."
AST_SIZE_PRED_01,asteraceae_primary,Asteraceae,capitulum_size,receptacle_width,seed_predator_infestation,direction,,,,positive,among_species_and_within_species,soft,10.1007/s004420100773,primary_article,"20 species x 3 populations; infestation increased with size among species and in all 3 species tested within species; no lifespan/synchrony effect."
AST_NOD_ACHENE_01,asteraceae_primary,Cremanthodium_campanulatum,orientation,nodding_vs_erect,achene_set_percent,response_ratio_from_group_means,3.585987,,,nodding_higher,capitulum,hard,10.1080/17550874.2012.702793,primary_article,"Natural nodding 56.3±3.9% vs experimentally erect 15.7±3.6%; ratio=3.586; F=59.1; P<0.01; n=30; no pollinator preference. External Asteraceae calibration, not a Cirsium estimate."
AST_HELIO_SIRE_01,asteraceae_primary,Helianthus_annuus,orientation,east_vs_west,siring_success,trial_count,5,5,7,east_higher,male_fitness_trial,soft,10.1111/nph.17627,primary_article,"East-facing sires significantly exceeded west-facing in 5/7 trials; a sixth had same nonsignificant trend."
AST_HELIO_ALLDAY_01,asteraceae_primary,Helianthus_annuus,orientation,azimuth,all_day_pollinator_landings,null_effect,0,,,no_all_day_effect,capitulum,context,10.1111/tpj.17070,primary_article,"2024 field tests found all-day pollinator attraction independent of head azimuth; constrains interpretation to timing/microclimate rather than total visits."
