record_id,evidence_type,taxon_or_node,state_or_fact,source,source_url,source_locator,directionality,notes
A01,tip_flower_colour,Cirsium brevicaule,W,Chang et al. 2026,https://doi.org/10.1186/s12870-026-08097-6,Background and taxonomic revision: C. brevicaule white corollas,direct_tip_state,White corolla is explicitly contrasted with bluish-purple C. irumtiense.
A02,tip_flower_colour,Cirsium irumtiense,C,Chang et al. 2026,https://doi.org/10.1186/s12870-026-08097-6,Background and taxonomic revision: C. irumtiense bluish-purple/purple corollas,direct_tip_state,Coloured state is coded C; this does not by itself imply regain.
A03,tip_flower_colour,Cirsium morii,C,Chang et al. 2025,https://doi.org/10.1186/s40529-025-00454-2,Identification key: C. morii light purple corollas,direct_tip_state,Chang et al. 2026 places C. morii at the base of Nipponocirsium rather than Arenicola.
A04,tip_flower_colour,Cirsium pengii,C,Chang et al. 2025,https://doi.org/10.1186/s40529-025-00454-2,Morphological results: bluish-purple corolla,direct_tip_state,Source-backed coloured sister-clade tip.
A05,tip_flower_colour,Cirsium kawakamii,W,Chang et al. 2025,https://doi.org/10.1186/s40529-025-00454-2,Morphological results: white corolla,direct_tip_state,Independent white tip in Nipponocirsium under the published topology.
A06,tip_flower_colour,Cirsium tatakaense,C,Chang et al. 2025,https://doi.org/10.1186/s40529-025-00454-2,Morphological results: bluish-purple corolla,direct_tip_state,Source-backed coloured sister-clade tip.
A07,topology,Arenicola,N/A,Chang et al. 2026,https://doi.org/10.1186/s12870-026-08097-6,ASTRAL species tree: C. brevicaule and C. irumtiense form subsect. Arenicola,phylogenetic_context,The two species are reciprocally monophyletic and separated across the Miyako Strait.
A08,topology,Arenicola+Nipponocirsium,N/A,Chang et al. 2026,https://doi.org/10.1186/s12870-026-08097-6,ASTRAL species tree: Arenicola sister to Nipponocirsium with PP=1,phylogenetic_context,This sister clade is what polarizes the equal-cost two-tip Arenicola contrast under parsimony.
A09,topology,Nipponocirsium,N/A,Chang et al. 2026; Chang et al. 2025,https://doi.org/10.1186/s12870-026-08097-6,Chang 2026 places C. morii earliest; Chang 2025 places C. pengii basal to C. kawakamii/C. tatakaense,phylogenetic_context,All currently sampled basal/crown Nipponocirsium tips except C. kawakamii are coloured.
A10,classification_history,Cirsium irumtiense,formerly C. brevicaule var. irumtiense,Chang et al. 2026,https://doi.org/10.1186/s12870-026-08097-6,Background and taxonomic revision,no_ancestor_direction,Historical varietal rank records taxonomic similarity; it does not identify C. brevicaule as the ancestor of C. irumtiense.
A11,divergence_time,Arenicola MRCA,approximately 0.93 Mya,Chang et al. 2026,https://doi.org/10.1186/s12870-026-08097-6,Divergence-time results,no_colour_direction,The divergence estimate establishes long separation but does not polarize flower-colour change.
