resource_id,taxon_or_scope,region,resource_class,nuclear_or_organelle,accession_or_doi,assembly_or_data_state,main_value,phylogenetic_scope,critical_limit,EAzami_use,status
Mandel2014_Dryad,Asteraceae,global,target_capture_method_dataset,nuclear,10.5061/dryad.gr93t,public alignments and 763-locus Newick,Original reusable Compositae target-enrichment matrices and tree,family backbone and method validation,15-species demonstration rather than dense Cardueae sampling,method/locus provenance and compatibility testing,verified_public
Herrando2019_Mendeley,Cardueae,global,Hyb-Seq_tree_archive,nuclear_and_plastid,10.17632/bhvv6rmyt6.1,public matrices gene trees species trees and dating materials,Reproducible deep Cardueae framework,tribe and subtribe backbone,sparse within Cirsium,deep nuclear outgroups plus separate maternal tree,verified_public
Moreyra2025_PRJNA957074,Cirsium,global_Holarctic,Compositae1061_target_capture_reads,nuclear,PRJNA957074,public SRA project with supplement and exact-tree recovery ongoing,Largest global species-level Cirsium nuclear sample set,248 Cirsium species represented,mostly one or few accessions per species and submitted names require synonym audit,global backbone and genuine-gap verification,verified_project_artifacts_pending
Chang2025_PRJNA1158676,Nipponocirsium,Japan_Taiwan,phylotranscriptome_reads,nuclear,PRJNA1158676,public RNA-seq project,Thousands of transcriptome orthogroups tied to chromosome and morphology data,local subsection species framework,few accessions per species and mixed ploidy/homeolog issues,white C. kawakamii replicate and ploidy-aware local backbone,verified_project
Chang2026_PRJNA1311153,Sinocirsium_Arenicola_Nipponocirsium,Taiwan_Ryukyu_Japan,phylotranscriptome_reads,nuclear,PRJNA1311153,public RNA-seq project,4083-orthogroup primary framework with topology/network analyses,12 Cirsium taxa and 33 samples,not an East Asia-wide population tree and exact Newick still being recovered,Arenicola direction and takaoense population-history starting framework,verified_project
Choi2024_Cnipponicum_nuclear,Cirsium nipponicum,Korea_Ulleung,nuclear_reference_genome,nuclear,10.3390/genes15101269,929.4 Mb draft assembly; N50 0.7 Mb; 95.1 percent BUSCO,First published reusable nuclear reference genome for an East Asian Cirsium,comparative tree among 11 plants,no dense internal Cirsium comparison and not chromosome-level,read mapping gene annotation anthocyanin candidate discovery and synteny anchor,verified_public_accession_recovery_pending
Kim2023_Cnipponicum_plastome,Cirsium nipponicum,Korea_Ulleung,complete_plastome,plastid,MW248139,152586 bp complete plastome,Maternal genome and variable plastid regions,six-species Cirsium comparison,single accession and organelle genealogy cannot resolve introgression or species tree,maternal haplotype reference only,verified_public
Nam2019_Crhinoceros_plastome,Cirsium rhinoceros,Korea_Jeju,complete_plastome,plastid,MK922360|NC_044423,152576 bp complete plastome,Maternal genome for a Korean endemic white-form candidate,small Cirsium plastome tree,single accession and no modern nuclear placement,plastid companion and voucher/accession anchor,verified_public
Roy2018_Cjaponicum_transcriptome,Cirsium japonicum var. spinossimum,Korea,tissue_transcriptome,nuclear_transcripts,10.5808/GI.2018.16.4.e34,51133 de novo unigenes from flower leaf and root,Expression resource including higher floral flavonoid-pathway expression,not designed as a species tree,no chromosome-scale reference and submitted taxon concept requires harmonization,anthocyanin candidate annotation and RNA-seq comparison support,verified_article_sequence_accession_pending
DToL_Cheterophyllum,Cirsium heterophyllum,Europe,Darwin_Tree_of_Life_genome,nuclear_and_organelle,PRJEB84093|GCA_965225835.1,chromosome-level haplotype 1 plus haplotype 2 and raw genomic/transcriptomic data,High-contiguity public Cirsium genome resource,one Western Palearctic species,not an East Asian lineage and open-release assemblies may receive updates,orthology synteny and reference-genome comparison,verified_public_current
DToL_Cdissectum,Cirsium dissectum,Europe,Darwin_Tree_of_Life_genome_project,nuclear_and_organelle,PRJEB85034,public genome project with assemblies linked through NCBI,Emerging second Western Palearctic Cirsium whole-genome resource,one species and assembly versioning must be tracked,comparative genome-resource expansion and candidate conserved regions,verified_public_project
