obs_id,taxon_name,system_id,colour_state,pair_role,latitude,longitude,colour_status,corolla_lab_chroma,corolla_lab_lightness,shape_status,shape_circularity,shape_solidity,visible_floret_fraction_extended,neutral_crop_mask_quality,neutral_crop_sharpness,neutral_crop_min_dimension
10732793,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,21.9325916667,120.8456333333,usable,5.385164737701416,79.21568298339844,usable,0.5911398316639682,0.9278304909611234,0.5037251455386947,0.9012135641915456,797.2687948119501,768
14132748,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,23.260695,119.5160533333,usable,28.23118782043457,71.76470947265625,usable,0.5235805401906412,0.8951636488519024,0.6128598662883147,0.7688093872255508,340.463894209925,477
15352073,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,23.2569133333,119.6680666667,usable,30.149627685546875,63.13725662231445,usable,0.6626580422938851,0.9552557554773368,0.4906417854790977,0.1928769221793055,2085.859300526082,375
15895393,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,22.2375083333,120.8971083333,low_colour_quality,29.681644439697266,67.8431396484375,low_outline_quality,0.3503399104895164,0.9139622229861812,0.0636941345156642,0.1268232002012683,1279.1708886352362,375
17233761,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,23.4859798663,119.5145966673,usable,30.08321762084961,72.94117736816406,low_outline_quality,0.6117698053753053,0.9795340661837916,0.2764877961856583,0.0074869863688945,4738.846162011702,422
19674866,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,26.792693339,128.3168857861,usable,33.61547088623047,56.47058868408203,usable,0.3573991963920769,0.8598180379244236,0.4390981735159817,0.4841655506872904,900.8182868430964,422
20571216,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,26.17715616,127.64217874,low_colour_quality,20.24845695495605,75.29412078857422,usable,0.6212143085334616,0.9333008978518892,0.0485293226667758,0.2440239012220912,3163.169165710566,653
20571638,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,26.17728523,127.64145311,usable,36.2353401184082,64.31372833251953,usable,0.5120418951491332,0.9282947351984996,0.3475600117426552,0.3599262752420868,475.58160745069534,538
21505844,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,26.5921427135,127.9637020371,low_colour_quality,34.78505325317383,70.19607543945312,low_outline_quality,0.463958443086975,0.9389057895339749,0.2486466901923474,0.0383140563964843,2016.906041075534,653
22007683,Cirsium brevicaule,ARENICOLA_BREVICAULE_IRUMTIENSE,white,white,23.6534607283,119.5186901367,low_colour_quality,21.40093421936035,74.50980377197266,low_outline_quality,0.3899833791301266,0.9239073743138688,0.1402338707636234,0.0216633170843124,3665.745129248464,422
