paper_japan_member_id,paper_taxon_concept,tree_codes,biosamples,runs,sample_origin_class,sample_origin_detail,japan_distribution_evidence,paper_japan_membership_confidence,current_name_status,nuclear_coverage_status,chapter2_action,notes
JPN_01,Cirsium abukumense Kadota,Cirsium abukumense,SAMN44017936,SRR30887236|SRR30887287,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_02,Cirsium aidzuense i,Cirsium aidzuense,SAMN44017809,SRR30887269,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,The published species string contains an apparent truncation or typographic artifact and must be checked against the tree tip/voucher
JPN_03,Cirsium alpicola Nakai,Cirsium alpicola,SAMN44017811,SRR30887181,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_04,Cirsium amplexifolium (Nakai) Kitam.,Cirsium amplexifolium,SAMN34240257,SRR25265557,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,SAMN44017814,SRR30887235,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_06,Cirsium dipsacolepis Matsum.,Cirsium dipsacolepis,SAMN44017836,SRR30887259,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_07,Cirsium domonii Kadota,Cirsium domonii,SAMN34240283,SRR25265717,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_08,Cirsium funagataense Kadota,Cirsium funagataense,SAMN44017850,SRR30887179,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_09,Cirsium gyojanum Kitam.,Cirsium gyojanum,SAMN34240301,SRR25265698,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_10,"Cirsium ishidatense (Horiuchi) Kadota et Horiuchi, comb. ined.",Cirsium ishidatense,SAMN44017861,SRR30887255,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,NCBI uses an informal Cirsium sp. identifier
