effect_id,candidate_id,module,function_axis,primary_or_mediator,state_a,state_b,endpoint,mean_a,se_a,n_a,mean_b,se_b,n_b,reported_relative_effect,metric_candidate,variance_status,independence_cluster,source,extraction_status,claim_boundary
TA_ORI_POLY_SEEDNUM,ORI_EXT04,orientation,integrated_pollination_and_abiotic_protection,primary_fitness,natural_downward,artificial_upward,seed_number_per_fruit,7.2,0.5,30,5.6,0.3,30,,lnRR_continuous,mean_SE_n_available,Polygonatum_2026,10.1002/ece3.73221,exact_table_value,"Primary seed-count candidate; same study also reports seed set/fruit quality, which must not be treated as independent studies."
TA_ORI_POLY_SEEDSET,ORI_EXT04,orientation,integrated_pollination_and_abiotic_protection,secondary_fitness,natural_downward,artificial_upward,seed_set_proportion,0.40,0.03,30,0.31,0.02,30,,lnRR_proportion_mean,mean_SE_n_available_but_binomial_model_primary,Polygonatum_2026,10.1002/ece3.73221,exact_table_value,"Secondary endpoint from same experimental units; retain for sensitivity, not simultaneous independent pooling with seed number."
TA_DEF_THUNIA_FRUIT,DEF_EXT05,phyllary_spine_defence,nectar_robber_exclusion,primary_fitness,intact_bracts,removed_bracts,fruit_set_proportion,0.2871,0.0208,40,0.0818,0.0339,43,,lnRR_proportion_mean,mean_SE_n_available_but_binomial_model_primary,Thunia_2023,10.1093/jpe/rtad036,exact_table_value,"Direct bract-removal fitness contrast; mechanism is nectar-robber exclusion and pollinator behaviour, not spine-specific defence."
TA_DEF_THUNIA_DEP,DEF_EXT05,phyllary_spine_defence,nectar_robber_exclusion,mediator,intact_bracts,removed_bracts,pollinia_deposition_proportion,0.3079,0.0213,40,0.0973,0.0337,43,,lnRR_proportion_mean,mean_SE_n_available_but_binomial_model_primary,Thunia_2023,10.1093/jpe/rtad036,exact_table_value,"Mediator from same inflorescences; do not count independently from fruit-set fitness."
TA_STK_BEJARIA_FRUIT,STK_EXT01,stickiness_mucilage,florivore_exclusion,primary_fitness,sticky_control,methanol_washed_nonsticky,fruit_set_relative,,,,,,,"washed treatment 32.5% lower than sticky control",lnRR_from_reported_relative_ratio,variance_missing,Bejaria_2022,10.1038/s41598-022-23261-2,relative_effect_only,"Direction and response ratio are recoverable, but variance/n for the manipulated fruit-set contrast must be extracted before weighted meta-analysis."
TA_ORI_MERT_FUS,ORI_EXT01,orientation,rain_protection_and_unknown_female_pathway,primary_fitness,horizontal,upright,seed_set_relative,,,,,,,"horizontal mean seed set 36% higher than upright on average across 2014-2015",lnRR_from_reported_relative_ratio,variance_missing,Mertensia_2014_2015,10.1093/jpe/rtx073,relative_effect_only,"Female-fitness orientation effect is clear, but pollinator-mediated orientation selection was undetectable; exact treatment-level variance requires figure/table extraction."
TA_DEF_MONO_FRUIT,DEF_EXT06,phyllary_spine_defence,camouflage_herbivore_avoidance,primary_fitness,intact_bracts,removed_bracts,fruit_production_relative,,,,,,,"bract removal reduced mean fruit production by 7-20% across two years",year_specific_lnRR,year_specific_values_missing,Monotropsis_2year,10.3732/ajb.0900124,relative_range_only,"Two-year direct manipulation is strong causal evidence but year-specific means/variance must be extracted before meta-analysis."
TA_DSP_IPOMOPSIS,DSP_EXT01,display_quantity,pollinator_attraction_vs_seed_predator_apparency,primary_fitness,many_flowered,few_flowered,maternal_reproductive_success,,,,,,,"larger display increased visitation and predispersal seed predation; predator cost did not offset maternal fitness gain",study_specific_display_contrast,exact_means_variance_not_yet_extracted,Ipomopsis_1997,10.1007/s004420050136,direction_and_significance_only,"Near-ideal joint-agent manipulation; retrieve exact treatment means/variance before quantitative pooling."
TA_DEF_PEDICULARIS,DEF_EXT04,phyllary_spine_defence,water_barrier_seed_herbivore_exclusion,primary_fitness,intact_water_filled_bracts,drained_bracts,final_seed_set,,,,,,,"drainage increased seed predation in 5/6 populations and reduced final seed set",study_population_effects,figure_values_not_yet_extracted,Pedicularis_rex_bract_drainage,10.1093/aobpla/plv019,direction_and_model_only,"Direct envelope-function experiment; exact population/treatment effects should be extracted from figure/table and dependence retained."
TA_DEF_RHEUM,DEF_EXT03,phyllary_spine_defence,multifunctional_abiotic_pollination_protection,primary_fitness,intact_bracts,removed_bracts,fecundity_and_progeny_quality,,,,,,,"bract removal before/after flowering reduced fecundity/progeny quality; seed predation also decreased",multivariate_direct_effect,exact_means_variance_not_yet_extracted,Rheum_2013,10.1007/s00442-012-2518-2,direction_and_mechanism_only,"Multifunctional cost-benefit system; extract pollination, abiotic protection, fecundity and seed-predation outcomes as dependent pathways rather than one scalar."
