analysis_taxon,provenance_frame,orientation_state,stickiness_state,phyllary_state,source_basis,source_url,discovery_overlap,orientation_pool_status,stickiness_pool_status,claim_boundary
Cirsium lidjiangense,mainland China,downward_or_nodding,unknown,unknown,"Flora of China explicitly describes nodding capitula.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023679",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium schantarense,NE China / Korea,downward_or_nodding,unknown,unknown,"Flora of China explicitly describes nodding capitula; resinous gland presence is variable and is not converted to stickiness.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023689",no,candidate_primary,not_codable,"Use exact accepted name only; historical synonyms/misidentifications are not pooled."
Cirsium fangii,mainland China,downward_or_nodding,unknown,unknown,"Flora of China explicitly describes nodding capitula; a resinous gland is not treated as proof of stickiness.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023663",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium reflexiphyllarium,Korean Peninsula,downward_or_nodding,nonsticky,recurved,"2026 Korean taxonomic description diagnoses nodding capitula and reflexed non-glutinous phyllaries.","https://kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003366676",no,candidate_primary,candidate_primary,"Exact new-species name only; historical records under look-alike names are not reassigned."
Cirsium rubricorollatum,mainland China,downward_or_nodding,unknown,unknown,"2026 species description explicitly diagnoses nodding capitula.","https://phytotaxa.mapress.com/pt/article/view/phytotaxa.770.3.5",no,candidate_primary,not_codable,"Exact new-species name only; no climate inspected."
Cirsium vlassovianum,NE China / Korea,upward_or_erect,unknown,unknown,"Flora of China explicitly describes erect capitula; resinous gland presence is not converted to stickiness.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023701",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium vernonioides,mainland China,upward_or_erect,unknown,unknown,"Flora of China explicitly describes erect capitula.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023699",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium muliense,mainland China,upward_or_erect,unknown,unknown,"Flora of China explicitly describes erect capitula.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023683",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium argyracanthum,mainland China,upward_or_erect,unknown,unknown,"Flora of China explicitly describes erect capitula.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242313045",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium tianmushanicum,mainland China,upward_or_erect,unknown,unknown,"Flora of China explicitly describes erect capitula.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023698",no,candidate_primary,not_codable,"Taxon-level botanical state only; no climate inspected."
Cirsium jilongense,mainland China,upward_or_erect,unknown,unknown,"2026 species description states erect capitula in its diagnosis.","https://phytotaxa.mapress.com/pt/article/view/phytotaxa.770.3.2",no,candidate_primary,not_codable,"Exact new-species name only; no climate inspected."
Cirsium setidens,Korean Peninsula,unknown,sticky,unknown,"Korean NIBR description explicitly reports adhesive material on the abaxial phyllary surface.","https://www.nibr.go.kr/aiibook/access/ecatalogt.jsp?Dir=360&callmode=normal&catimage=&eclang=ko&start=124&um=s",no,not_codable,candidate_primary,"Accepted Korean endemic; stickiness only, no orientation forced."
Cirsium maackii,NE China / Korea,ambiguous,unknown,unknown,"Flora of China describes capitula as erect or nodding.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023681",no,exclude_ambiguous,not_codable,"Do not force binary orientation."
Cirsium eriophoroides,SW China,ambiguous,unknown,unknown,"Flora of China describes capitula as nodding to erect.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023661",no,exclude_ambiguous,not_codable,"Do not force binary orientation."
Cirsium henryi,mainland China,ambiguous,unknown,unknown,"Flora of China uses approximately nodding rather than a stable binary state.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023671",no,exclude_ambiguous,not_codable,"Do not force binary orientation."
Cirsium interpositum,SW China,ambiguous,unknown,unknown,"Flora of China uses approximately nodding rather than a stable binary state.","https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023674",no,exclude_ambiguous,not_codable,"Do not force binary orientation."
Cirsium japonicum,East Asia,ambiguous,unknown,unknown,"Flora of China describes erect or rarely nodding heads and the concept is taxonomically entangled with discovery infraspecific concepts.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023675",yes_or_taxonomically_entangled,exclude_overlap_and_ambiguity,not_codable,"Conservative exclusion."
Cirsium pendulum,East Asia,downward_or_nodding,unknown,unknown,"Flora of China explicitly describes nodding capitula, but the exact taxon is already in the discovery panel.","https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023684",yes,exclude_discovery_overlap,not_codable,"Cannot be held out."
Cirsium nipponicum,Korean Peninsula / Japan,unknown,slightly_sticky,unknown,"Korean flora describes phyllaries as slightly glutinous, but the exact taxon is already in the discovery panel.","https://www.nibr.go.kr/aiibook/access/ecatalogt.jsp?Dir=65&callmode=admin&catimage=&eclang=ko&start=256&um=s",yes,not_codable,exclude_discovery_overlap,"Cannot be held out."
