pattern_id,taxon_or_scope,interaction_axis,trait_or_process,metric,value,lower,upper,n_or_df,direction,evidence_level,source,simulation_use,notes
IQ01,Cirsium purpuratum,pollination,floral_display,relative_visitation_R2,0.637,,,n=57,positive_saturating,direct_field_experiment,10.2307/2446309,core_fit,"Visitation per plant rises decelerating with display; reported y=0.612[1-exp(-0.148x)]."
IQ02,Cirsium purpuratum,pollination,floral_display,heads_probed_R2,0.533,,,n=57,positive,direct_field_experiment,10.2307/2446309,heldout,"Heads probed per visit increases with display; visitation per head approximately constant within day."
IQ03,Cirsium purpuratum,antagonist,flower_production,seed_predation_R2_Nikko,0.44,,,n=13,positive_saturating,field_observation,10.1139/cjb-78-2-230,core_fit,"Pr=1-exp(-0.000063F)."
IQ04,Cirsium purpuratum,antagonist,flower_production,seed_predation_R2_Kawamata,0.26,,,n=27,positive_saturating,field_observation,10.1139/cjb-78-2-230,heldout,"Pr=1-exp(-0.0000075F)."
IQ05,Cirsium purpuratum,antagonist,floret_number,standardized_coefficient_seed_damage,0.86,,,t=2.34;p=0.048,positive,multiple_regression,10.1139/cjb-78-2-230,context,"Table 1B; reported simple r=0.61."
IQ06,Cirsium palustre,pollination,flower_colour,preferential_pollination_white,1,,,,white_positive,direct_natural_polymorphism,10.1038/hdy.1974.91,heldout,"White morph preferentially pollinated; exact numerical effect not frozen."
IQ07,Cirsium arvense,pollination_antagonist,floral_scent,pollinator_species_trapped_min,10,,,,positive,compound_bait_experiment,10.1007/s10886-006-9056-8,heldout,"More than 10 pollinator species trapped by scent compounds."
IQ08,Cirsium arvense,pollination_antagonist,floral_scent,florivore_species_trapped,16,,,,positive,compound_bait_experiment,10.1007/s10886-006-9056-8,heldout,"Dominant benzaldehyde and phenylacetaldehyde attracted both pollinators and florivores."
IQ09,Cirsium arvense vs C. repandum,pollination_antagonist,floral_scent,emission_ratio,25,,,,arvense_higher,comparative_field_chemistry,10.1086/513481,context,"C. repandum emission was 25-fold lower than staminate C. arvense; diel coupling to insects differed."
IQ10,Cirsium meta-analysis,antagonist,reproductive_herbivory,reduced_vs_ambient_seed_output_RR,2.6736,2.3883,2.9930,k=4 studies,positive,direct_quantitative_meta,EAzami:cirsium_floral_herbivory_lnrr_meta_v2,core_fit,"Equivalent ambient-herbivory loss of potential seed output 62.6%; I2 about 1%."
IQ11,Cirsium canescens,antagonist,predisperal_seed_predation,insect_seed_damage_fraction_mid,0.375,0.21,0.54,3 sites,high,field_quantification,10.1093/ee/11.4.847,heldout,"Insects damaged 21-54% of developing seeds; only 9-24% matured."
IQ12,Cirsium pitcheri,antagonist,weevil_infestation,mature_seed_loss_fraction,0.60,,,field/common_garden,negative,field_association,10.1016/j.gecco.2020.e00945,heldout,"Infested capitula produced 60% fewer mature seeds and 40% fewer unfilled seeds; seeds also lighter."
IQ13,Cirsium discolor,antagonist,sticky_inflorescence,neutralization_effect_on_seed_output,0,,,,null,direct_manipulation,10.22543/0090-0222.2085,heldout,"Neutralizing stickiness did not increase seed predators or decrease successful seed production."
IQ14,Cirsium altissimum,antagonist,insecticide,model_predicted_seed_RR,4.4773,,,197_vs_44_at_mean_log_size,positive,demographic_model_prediction,10.1890/ES11-00096.1,context,"Not a raw treatment mean; excluded from direct lnRR pool."
IQ15,Cirsium altissimum,antagonist,insect_exclusion,insect_effect_F,6.45,,,df=1,62;p=0.014,positive,field_experiment,10.1093/jpe/rty045,context,"Insect herbivory reduced seed production; mammal exclusions did not."
IQ16,Cirsium undulatum,antagonist,tolerance,annual_compensation,1,,,,year_dependent,two_year_manipulation,10.1002/ajb2.1744,context,"Compensation for apical loss depended on year and subsequent herbivore pressure."
IQ17,Cirsium decussatum,antagonist,capitulum_size,larger_head_oviposition_selection,1,,,,positive,field_observation,10.1017/S0960258518000074,heldout,"Specialist seed predator selected larger inflorescences; seed pool significantly lowered."
IQ18,Cremanthodium campanulatum,abiotic_protection,orientation,natural_nodding_achene_set_percent,56.3,,,n=30,positive,direct_orientation_manipulation,10.1080/17550874.2012.702793,heldout,"Natural nodding capitula; mean ± SE 56.3 ± 3.9%."
IQ19,Cremanthodium campanulatum,abiotic_protection,orientation,artificial_erect_achene_set_percent,15.7,,,n=30,negative,direct_orientation_manipulation,10.1080/17550874.2012.702793,heldout,"Artificial erect capitula; mean ± SE 15.7 ± 3.6%; F=59.1, P<0.01."
IQ20,Cremanthodium campanulatum,pollination,orientation,pollinator_preference,0,,,,null,direct_orientation_manipulation,10.1080/17550874.2012.702793,heldout,"No significant pollinator preference despite large achene-set difference."
IQ21,Helianthus annuus,pollination_orientation,orientation,early_morning_visitation,1,,,,east_positive,direct_orientation_manipulation,10.1111/nph.17627,heldout,"East-facing heads had earlier pollinator visits and greater siring success; temperature mediated timing."
IQ22,Carduus nutans + Cirsium discolor,pollination,pollinator_exclusion,total_reproductive_failure_fraction,0.55,,,total_exclusion_heads,negative,direct_pollinator_exclusion,PMID:40988130,structural_gap,"55% of complete-exclusion heads failed reproductively vs <7% under other treatments; any exclusion lowered seed output if at least one viable achene formed."
IQ23,Cirsium comparative,pollination,mating_system_and_visitation,C_vulgare_heads_per_plant,67,,,SE=8,high,comparative_field_study,10.1007/s10530-010-9878-5,context,"C. vulgare produced many heads and attracted more visitors than native congeners."
IQ24,Cirsium comparative,pollination,mating_system_and_visitation,C_vulgare_seeds_per_head,264,,,SE=23,high,comparative_field_study,10.1007/s10530-010-9878-5,context,"Autonomous selfing differed among species; visitor differences did not map simply to pollen limitation."
IQ25,Cirsium comparative,pollination,mating_system_and_visitation,C_fontinale_seeds_per_head,49,,,SE=6,low,comparative_field_study,10.1007/s10530-010-9878-5,context,"Rare C. fontinale had lowest seed production per head in the comparison."
