azami_taxon_name,japan38_paper_concepts,coverage_level,n_observations,n_orientation,n_colour,n_shape,trait_rate_readiness
Cirsium japonicum,Cirsium japonicum var. horridum,binomial_sensitivity_only,196,167,187,184,moderate_or_better
Cirsium kamtschaticum,Cirsium kamtschaticum,exact_concept,103,81,92,89,moderate_or_better
Cirsium pendulum,Cirsium pendulum,exact_concept,54,37,42,41,moderate_or_better
Cirsium oligophyllum,Cirsium oligophyllum,exact_concept,20,18,20,20,moderate_or_better
Cirsium maritimum,Cirsium maritimum,exact_concept,14,13,14,13,moderate_or_better
Cirsium sieboldii,Cirsium sieboldii,exact_concept,10,9,10,9,moderate_or_better
Cirsium verutum,Cirsium verutum,exact_concept,9,9,9,9,sparse_5_9
Cirsium suzukaense,Cirsium suzukaense,exact_concept,4,4,4,4,very_sparse_1_4
Cirsium yezoense,Cirsium yezoense,exact_concept,3,1,3,2,very_sparse_1_4
Cirsium aomorense,Cirsium aomorense Nakai,exact_concept,3,3,3,3,very_sparse_1_4
Cirsium lineare,Cirsium lineare,exact_concept,2,1,2,2,very_sparse_1_4
Cirsium nipponicum,Cirsium nipponicum var. incomptum|Cirsium nipponicum var. yoshinoi|Cirsium nipponicum,exact_concept,1,1,1,1,very_sparse_1_4
Cirsium buergeri,Cirsium buergeri,exact_concept,1,1,1,1,very_sparse_1_4
Cirsium norikurense,Cirsium norikurense,exact_concept,1,1,1,1,very_sparse_1_4
Cirsium spicatum,Cirsium spicatum,exact_concept,1,1,1,1,very_sparse_1_4
