taxon,voucher,biosample,experiment,run,library_layout,sample_name,geographic_location,match_status,match_evidence,source_workflow_run,source_artifact_id,source_artifact_sha256
Cirsium pengii,ccy4054,SAMN43544268,SRX26039666,SRR30617335,PAIRED,Cirsium pengii-4054,"Taiwan: New Taipei City, Mt, Lalashan2",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium tatakaense,ccy4022,SAMN43544267,SRX26039665,SRR30617336,PAIRED,Cirsium tatakaense-4022,"Taiwan: Nantou County, Luanantang",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium pengii,ccy3995,SAMN43544266,SRX26039664,SRR30617337,PAIRED,Cirsium pengii-3995,"Taiwan: New Taipei City, Mt, Lalashan",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium kawakamii,ccy3861,SAMN43544265,SRX26039663,SRR30617338,PAIRED,Cirsium kawakamii-3861,"Taiwan: Nantou County, Nenggao",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium kawakamii,ccy3544,SAMN43544264,SRX26039662,SRR30617339,PAIRED,Cirsium kawakamii-3544,"Taiwan: Nantou County, Mt, Xiaochilai",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium tatakaense,ccy3458,SAMN43544263,SRX26039661,SRR30617340,PAIRED,Cirsium tatakaense-3458,"Taiwan: Chiayi County, Mt, Yushan2",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium tatakaense,ccy3456,SAMN43544262,SRX26039660,SRR30617341,PAIRED,Cirsium tatakaense-3456,"Taiwan: Chiayi County, Mt, Yushan",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium lineare,ccy3446,SAMN43544261,SRX26039659,SRR30617342,PAIRED,Cirsium lineare-3446,"Taiwan: Miaoli County, Xihu",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium kujuense,ccy4214,SAMN43544271,SRX26039658,SRR30617343,PAIRED,Cirsium kujuense-4214,"Japan: Oita Prefecture, Minamitateishi",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium suffultum,ccy4209,SAMN43544270,SRX26039657,SRR30617344,PAIRED,Cirsium suffultum-4209,"Japan: Oita Prefecture, Yabakei Town",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium nipponicum var. incomptum,ccy4207,SAMN43544269,SRX26039656,SRR30617345,PAIRED,Cirsium nipponicum var. incomptum-4207,"Japan: Fukuoka Prefecture, Ishigama",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium tatakaense,ccy3338,SAMN43544260,SRX26039655,SRR30617346,PAIRED,Cirsium tatakaense-3338,"Taiwan: Kaohsiung City, Mt, Hsiaokuanshan",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
Cirsium lineare,ccy2770,SAMN43544259,SRX26039654,SRR30617347,PAIRED,Cirsium lineare-2770,"Taiwan: Miaoli County, Tongxiao",verified,exact_voucher_suffix|exact_taxon|expected_bioproject|unique_biosample_run,31601572691,9143773532,9ca6fda561ebb301e8d090ae015bd8c189b73b07e5f823d8121fe5c166915076
