search_date,source_or_host,query_or_identifier,result,artifact_found,status,follow_up
2026-08-10,ScienceDirect article,PII S1055790325000028 and DOI 10.1016/j.ympev.2025.108285,"Data Availability Statement names PRJNA957074 raw reads and Supplementary Table S1 BioSamples/vouchers; no tree or alignment repository is named",Supplementary Data 1 only,official_statement_no_tree_archive_named,Retain article statement as the highest-authority public record
2026-08-10,Elsevier ars CDN,1-s2.0-S1055790325000028-mmc1.docx,"Valid 10,761,775-byte DOCX; three tables; 299 sample rows; no Newick/Nexus or retained-locus list",Supplementary Data 1,direct_artifact_recovered,Use for sample reconciliation only
2026-08-10,Elsevier additional attachment convention,"mmc2 through mmc10 with common tree/alignment/archive extensions","No additional valid attachment was identified through targeted filename and web searches",none,no_additional_attachment_identified,Do not treat as proof that no unpublished file exists
2026-08-10,Flemish Research Portal,article title and DOI,"Article page exposes accepted manuscript and one dataset record; dataset link is NCBI PRJNA957074",accepted manuscript plus NCBI dataset,official_portal_no_tree_archive_named,Inspect accepted manuscript for methods/contact only
2026-08-10,Flemish Research Portal dataset,title and PRJNA957074,"Dataset description states raw sequences are in NCBI and BioSample IDs are in the supplement",NCBI raw reads only,official_dataset_record_no_tree_archive,No further downloadable analysis files listed
2026-08-10,TreeBASE,"Moreyra Cirsium 2025; article title; DOI","No matching study or accession surfaced in targeted web/repository search",none,no_matching_archive_identified_as_of_search_date,Contact authors and re-check TreeBASE if an accession is supplied
2026-08-10,Dryad,"article title; DOI; Moreyra Cirsium","No matching dataset surfaced in targeted web/repository search",none,no_matching_archive_identified_as_of_search_date,Re-check by author ORCID or unpublished DOI if supplied
2026-08-10,Zenodo,"article title; DOI; Moreyra Cirsium phylogeny","No matching tree/alignment archive surfaced",none,no_matching_archive_identified_as_of_search_date,Re-check if project/community name is supplied
2026-08-10,Figshare,"article title; DOI; Moreyra Cirsium","No matching tree/alignment archive surfaced",none,no_matching_archive_identified_as_of_search_date,Re-check institutional Figshare domains if supplied
2026-08-10,Mendeley Data,"article title; DOI; Moreyra Cirsium","No matching Moreyra 2025 analysis dataset surfaced; existing Cardueae Mendeley records concern Herrando-Moraira 2019",none,no_matching_archive_identified_as_of_search_date,Do not confuse the 2019 Cardueae archive with the 2025 Cirsium study
2026-08-10,NCBI BioProject/SRA,PRJNA957074,"455 runs and 327 submitted scientific names recovered; no final species tree or 350-locus alignment exposed through the project metadata used here",raw reads and metadata,public_raw_data_recovered_analysis_files_not_identified,Raw-read reanalysis remains possible but is not equivalent to the published final tree
2026-08-10,SSRN,10.2139/ssrn.4983163,"Submitted manuscript record identified; no separate machine-readable analysis archive identified in targeted search",preprint manuscript,manuscript_only_in_current_search,Use for methods/version comparison if accessible
2026-08-10,ResearchGate,article title and DOI,"Author-uploaded full article PDF identified; article text supplies methods and corresponding-author email, but no machine-readable tree download was identified",article PDF,manuscript_only_in_current_search,Use to formulate an exact author data request
2026-08-10,institutional and author publication pages,"article title; DOI; Lucía Moreyra; Cristina Roquet; Alexey Seregin","Publication records found but no independent final-tree or locus archive surfaced",publication records,no_matching_analysis_archive_identified_as_of_search_date,Send a focused request to the corresponding author
