supplement_row_number,tree_code,published_species,biosample,voucher_and_herbarium,sra_scientific_name,library_name,experiment,run,geographic_location,collection_date,latitude_longitude,supplement_region_class,sra_region_class,region_class,scope_class,geographic_evidence_relation,sra_link_status,tree_code_vs_sra_name,name_reconciliation_priority
22,Cirsium aidzuense,Cirsium aidzuense i,SAMN44017809,"Japan. HONSHU: Fukushima Pref.; Shimogo-machi, Minamiaizu-gun., 4 October 1969, Toshiaki Takeda 25 (MBK-0270859)",Cirsium aidzuense,Cirsium_aidzuense_FJ336,SRX26291330,SRR30887269,Japan: HONSHU,2007-09-01,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
25,Cirsium alberti,Cirsium alberti Regel & Schmalh.,SAMN44017810,"Xinjiang, Takemi Shimizu, Fumhiro Konda et al., 138 (PE01467907)",Cirsium albertii,Cirsium_alberti_PE243,SRX26291341,SRR30887257,China,2007-08-02,,Other_or_unresolved,China,China,core_east_asia,sra_only,linked_runinfo,different_submitted_or_published_name,high
26,Cirsium alpicola,Cirsium alpicola Nakai,SAMN44017811,"Japan. Honshu: Aomori Pref., Aomori-shi, Arakawa, Sukayu, Mt. Hakkoda Botanical Garden of Tohoku University., 140°51'03'';40°38'52'', 895-900 m, 30 Aug. 2009, K. Yonekura16640 (MBK-0262712)",Cirsium alpicola,Cirsium_alpicola_FJ323,SRX26291415,SRR30887181,Japan: Honshu,2006-09-02,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
30,Cirsium amplexifolium,Cirsium amplexifolium (Nakai) Kitam.,SAMN34240257,"Japan, Honshu, 11.02.2014, Kazumi Fujikawa 14019 (MBK-0270155)",Cirsium amplexifolium,Cirsium-amplexifolium_FJ326,SRX21011659,SRR25265557,Japan: Honshu,2014-11-02,missing,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
33,Cirsium aomorense,Cirsium aomorense Nakai,SAMN44017814,"Japan. Honshu: Aomori Pref., Aomori-shi, Arakawa, along the National Route #103, N of Ninamimata-zawa Valley., 140°49'39'';40°39'50'', ca. 730 m, 14 Sep. 2011, K. Yonekura18639 (MBK-0262698)",Cirsium aomorense,Cirsium_aomorense_FJ325,SRX26291362,SRR30887235,Japan: Honshu,2018-08-03,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
37,Cirsium argyracanthum,Cirsium argyracanthum DC.,SAMN44017818,"China: Tibet, 10.09.2017, Xu Lian-Sheng, PE6272 (PE01890882)",Cirsium argyracanthum,Cirsium_argyracanthum_PE242,SRX26291293,SRR30887304,China,2016-08-12,,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
71,Cirsium coryletorum,Cirsium coryletorum Kom.,SAMN34240275,"Russia, Yu. Sikhote-Alin. 08.30.1944, Zhudova P., Pokrovskaya 3354 (MW0150743)",Cirsium vlassovianum,Cirsium-coryletorum_MW163,SRX21011616,SRR25265601,Russia: Yu. Sikhote-Alin,1944-08-30,missing,Russian_Far_East,Russian_Far_East,Russian_Far_East,northeast_asia_bridge,concordant,linked_runinfo,different_submitted_or_published_name,high
79,Cirsium dipsacolepis,Cirsium dipsacolepis Matsum.,SAMN44017836,"Japan. SHIKOKU: Tokushima Pref.; Mt. shiozuka-mine, Kamimyo, Yamashiro-cho, Miyoshi-gun., 7 Oct. 1989, Yutaka Oohira142102-a (MBK-0312393)",Cirsium dipsacolepis,Cirsium_dipsacolepis_FJ363,SRX26291339,SRR30887259,Japan: SHIKOKU,1906-08-20,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
83,Cirsium domonii,Cirsium domonii Kadota,SAMN34240283,"Japan, Honshu, 10.30.2008, Takeo Kuramata s.n. (MBK-0304890)",Cirsium domonii,Cirsium-domonii_FJ318,SRX21011499,SRR25265717,Japan: Honshu,2008-10-30,missing,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
103,Cirsium fanjingshanense,Cirsium fanjingshanense C.Shih,SAMN34240294,"China, Guizhou Province, 08.10.2020, Tiangang Gao GTG-10999. (GTG10999)",Cirsium fanjingshanense,Cirsium-fanjingshanense_PE221,SRX21011511,SRR25265705,China: Guizhou Province,2020-08-10,missing,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
