order_id,scope,module,question_or_prior_hypothesis,meta_or_literature_result,meta_status,azami_self_analysis,eazami_self_analysis,current_conclusion,new_hypothesis_or_prediction,existing_data_can_still_resolve,doctoral_empirical_requirement,doctoral_issue_gate,claim_boundary
L0,global,all_capitulum_traits,"Is visible capitulum diversity mainly among named taxa, or also substantial within taxa?","Literature supplies mechanism candidates but does not answer the image-scale variance partition itself.",not_a_meta_question,"Across nine primary image-derived endpoints, 0.589-0.931 of visible variance occurs below assigned-taxon means; orientation and visible colour show the clearest environmental structure, while gross outline is weaker/model-dependent.","No East-Asian causal inference is imported back into Azami.","Global capitulum diversity is strongly continuous below taxon means and environmentally structured at both within- and among-taxon scales.","The same trait modules should be tested within populations and among lineages rather than treated only as species-level labels.",yes,"None for the Azami observational claim; downstream causal interpretation belongs to EAzami.",handoff_only,"Azami is observational phenomics: no genetic variance, local adaptation, pollinator causation, defence, evolutionary-rate or adaptive-radiation claim."
L1,general_to_Cirsium,selection_architecture,"Does one universal driver such as climate or pollinators explain floral/capitulum evolution?","Direct broad abiotic scaling is weakened; five strict pollination x antagonism programmes give antagonist-dominant 2, pollinator-dominant 1, mixed/no-fixed dominance 2; reproductive assurance and demographic transmission are context dependent; 38 standardized pollinator-mediated gradients do not support a universal functional-class hierarchy.",working_meta_support_for_selection_mosaic,"Azami shows environmental structure but cannot identify causal agents.","EAzami meta-resolution gate concludes that generic literature accumulation has reached its decision ceiling and that focal same-population discrimination is now required.","A single climate or pollinator axis is insufficient; the supported general architecture is a local selection mosaic in which environment changes interaction opportunity, reproductive assurance, enemy pressure and downstream demographic gates.","Different capitulum modules should enter different ecological pathways, so module-specific trait->interaction/protection->fitness effects should vary among populations even within the same young radiation.",partly,"Ancestry-aware same-population measurements of pollination, antagonism, abiotic exposure and reproductive outcome.",Aim2_selection_mosaic,"The meta-analysis supports a general architecture, not which agent dominates any focal East-Asian population."
L2,general_Cirsium,reproductive_antagonism,"Are reproductive antagonists strong enough to be an important selective pressure?","Random-effects lnRR meta-analysis of 4 independent data-generation studies and 9 contrasts: reduced insect herbivory increases viable/mature seed output RR=2.674, 95% CI 2.388-2.993; equivalent ambient loss 62.6%; I2 about 1%; direction stable to leave-one-study-out removal.",resolved_general_pressure,"Azami spine-like image geometry is only a proxy and cannot assign defence function.","EAzami uses the meta-estimated antagonist cost as a prior pressure, not as evidence that any focal trait is defensive.","Antagonist fitness pressure is established strongly enough that the doctoral question should move from 'do enemies matter?' to 'which capitulum module changes that cost, and at what pollination/abiotic cost?'.","Validated defensive architecture should reduce antagonist access/damage and preserve filled achenes, potentially trading off with effective pollinator access.",no_for_focal_trait_function,"Manipulate or compare validated focal traits while recording antagonist access/damage, effective pollination and filled achenes on the same biological units.",Aim2_defence_function,"The pooled RR estimates antagonist cost, not adaptation of spines, phyllaries, orientation or stickiness."
L3,global_to_East_Asia,orientation,"Are erect/upward and nodding/downward capitula repeatedly evolved states, and what ecological mechanism could make them useful?","External Asteraceae manipulation supports rain/UV/wetting protection without static pollinator preference; timing-oriented studies motivate a time-window rather than all-day visitation mechanism.",mechanistic_candidate,"Orientation is one of the clearest globally environmentally structured Azami modules.","On the accepted 153-locus branch-length framework, 17 resolved taxa (U=9,D=8) require a minimum of 5 orientation changes on all 6 AU-nonrejected topologies; ER is preferred over ARD and root orientation remains unresolved.","Repeated orientation-state change is topology-robust at the taxon-concept level, but direction, ancestor and adaptive cause are not resolved.","Independent orientation changes may repeatedly solve a time-window pollination and/or rain-UV-wetting protection problem under different local environments; antagonist exposure is a separate competing path.",partly,"Same-voucher/population orientation validation plus sham-controlled reorientation measuring time-resolved effective contacts, wetting/pollen integrity, antagonist exposure and filled achenes.",Aim1_orientation_history_plus_Aim2_orientation_function,"Repeated-state change is supported; parallel/convergent adaptation is not yet established."
L4,global_to_East_Asia,flower_colour,"Do white and coloured states recur because of repeated loss/regain, and can colour be re-expressed after white loss?","General flower-colour literature allows both reversible regulatory suppression of anthocyanin and less reversible structural/pathway loss; pollinator effects are context dependent rather than universally favouring one colour.",mechanistic_and_evolutionary_candidate,"Visible colour is one of the strongest globally environmentally structured Azami modules.","East-Asian atlas has C=17/W=3 on the current accepted 20-taxon tree; the tree gate is complete but the predeclared fixed-white breadth gate is not. Current Arenicola loss-versus-regain direction remains rate-sensitive and unidentifiable.","White/coloured recurrence is a live evolutionary hypothesis, but 'C. irumtiense is a regain' is not a conclusion.","If white states retain anthocyanin machinery through regulatory suppression, coloured expression may reappear repeatedly when local pollinator/abiotic selection mosaics change.",yes,"Recover/generate at least two additional credible fixed-white species tips, rebuild/reaccept the exact 22-focal-taxon tree, then identify at least two independent W/C transitions; for molecular reuse link ancestry, coding/regulatory haplotype, floral RNA, pigment and calibrated colour.",Aim1_colour_history_plus_Aim2_colour_function_plus_Aim3_reexpression,"Ecological colour function may be tested before macroevolutionary direction is known, but regain/reactivation claims require transition and molecular evidence."
L5,general_to_East_Asia,phyllary_spine,"Do phyllary/spine traits function as reproductive defence and help diversification across enemy mosaics?","Broader Cardueae/Asteraceae work makes inflorescence defence plausible, but comparable focal Cirsium manipulations are insufficient for a pooled trait-specific effect.",mechanistic_candidate,"Azami finds seasonality-associated involucre/spine-like image geometry, but these are 2-D proxies rather than botanical spine/phyllary measurements.","No accepted East-Asian transition history or direct focal defensive effect is yet established.","Enemy pressure is real, but defence by the measured focal architecture remains unproven.","Repeated changes in validated phyllary/spine architecture may track local antagonist pressure, with a possible cost through reduced pollinator access.",partly,"First validate direct botanical phyllary spread/spine length/direction and repeatable within-population variation; only then manipulate access and close antagonist/pollinator -> filled-achene paths.",Aim2_spine_validation_then_function,"Do not convert Azami image geometry into a defence trait or adaptive state."
L6,general_to_East_Asia,stickiness_mucilage,"Is sticky/mucilaginous inflorescence exudate a general defence against reproductive antagonists?","Direct Cirsium discolor neutralization did not increase seed predators or reduce seed output.",weakened_general_hypothesis,"Azami does not treat stickiness as a validated primary image-derived defence endpoint.","No East-Asian evidence currently reopens stickiness as a major module.","Generic 'stickiness = reproductive defence' is weakened and should not be a core doctoral lane.","Stickiness should be treated as a negative-control/opportunistic module unless focal variation or a new direct manipulation supplies a reopening reason.",yes_but_low_value,"Only measure opportunistically; reopen experimentally only after strong focal variation/association or new comparable literature appears.",low_priority_reopen_only,"One null system does not prove no context-specific function, but it is enough to lower priority."
L7,general_to_East_Asia,display_size_number,"Does larger floral display always increase fitness, or does it create a pollinator-benefit versus enemy-cost trade-off?","Cirsium purpuratum studies show visitation and heads probed increase with floral display and density context, while predispersal seed predation also rises with flower/head production; mature-seed proportion need not increase with display.",working_mechanistic_support,"Azami provides the global morphology/environment discovery context but not a causal display-fitness curve.","No East-Asian phylogenetic transition analysis for display is yet sufficiently frozen; Aim2 ledgers already preserve plant-level display and predation separately from focal-head traits.","'Bigger is better' is rejected as a useful default; display should be treated as a context-dependent benefit-cost surface.","Local flowering density and enemy pressure should shift the fitness optimum for capitulum size/head number through simultaneous pollinator discovery/probing and antagonist discovery.",partly,"Measure head number/size, local flowering density, visits, heads probed, effective contacts, antagonist damage and final filled achenes on the same plants across focal populations.",Aim2_display_tradeoff,"Do not infer display fitness from visitation alone or pool incompatible display estimands."
L8,East_Asia,rapid_radiation_and_modularity,"Why did a shallow Japanese/East-Asian Cirsium radiation generate large capitulum diversity so quickly?","Published phylogenomics supports a Pleistocene Japan radiation after a continental-Asian jump dispersal around 2.4 Ma and proposes interplay of geographic and ecological speciation; literature alone cannot establish adaptive radiation or module reuse.",resolved_system_premise_not_adaptation,"Azami shows large within-taxon variation and weak cross-module coupling, motivating but not proving semi-independent modules.","EAzami now has an accepted 153-locus branch-length framework with explicit topology uncertainty, plus topology-robust repeated orientation-state change; colour history is still breadth/rate limited, and display/defence histories are not equally resolved.","Rapid radiation is a supported system premise; adaptive radiation and modular evolvability remain hypotheses.","A young reticulating radiation may diversify rapidly when standing/introgressed/developmental capitulum modules are redeployed semi-independently across local selection mosaics before deep genome-wide lineage sorting; competing common-lability remains live.",partly,"Combine same-individual nuclear ancestry/plastid/cytotype with within-population module traits and at least two independent transition systems; demonstrate trait-specific interaction/protection -> reproductive-fitness paths, then compare module-specific versus shared-latent models out of sample.",Aim1_history_plus_Aim2_adaptation_plus_Aim3_colour_mechanism,"Use 'rapid radiation' now; reserve 'adaptive radiation' until at least one repeated focal trait is causally linked to ecological mechanism and reproductive fitness."
L9,East_Asia,multiscale_within_between_species,"Should the East-Asian programme treat species as fixed endpoints, or preserve within-species variation as part of the evolutionary process?","Reproductive assurance, pollinator response, enemy pressure and demographic transmission are repeatedly context dependent in the literature, making population-level heterogeneity biologically load-bearing.",working_support,"Azami's strongest general premise is that much visible diversity occurs below taxon means, with both within- and among-taxon environmental structure.","EAzami sampling and Aim2 designs are ancestry-resolved and population-aware; current orientation mapping is taxon-concept preflight only and explicitly requires same-voucher/population validation.","The doctoral design must bridge within-species ecological variation to among-species repeated evolution rather than choose one scale.","Population-level selection mosaics can maintain/redeploy variation that later appears as repeated among-lineage capitulum states during rapid radiation.",yes,"Core population sampling with immutable individual IDs linking phenotype, ancestry, plastid, cytotype, interaction/protection measurements and reproductive fitness; then hierarchical within-population, among-population and among-lineage comparisons.",all_Aims_multiscale_bridge,"Within-species ecological variation is not automatically ancestral polymorphism, heritable adaptation or the cause of species divergence; ancestry and fitness links are required."
