accepted_taxon,region,subsection_or_group,flower_colour_state,ploidy_or_chromosome,transition_role,radseq_priority,moreyra_tip_status,moreyra_tree_codes,moreyra_biosamples,moreyra_runs,chang2025_sample_count,chang2025_bioprojects,chang2026_sample_count,chang2026_bioprojects,chang2026_morph_resolution,modern_nuclear_evidence_sources,best_species_level_nuclear_status,species_backbone_gap_class,population_or_morph_gap_class,recommended_next_data,evidence_note
Cirsium brevicaule,Ryukyu,Arenicola,white,2n=34,core_white_lineage,A,not_recovered_in_supplement_or_exact_runinfo,,,,0,,3,PRJNA1311153,taxon-level state,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 3 transcriptome sample(s)
Cirsium irumtiense,Ryukyu,Arenicola,bluish_purple,,core_coloured_sister,A,not_recovered_in_supplement_or_exact_runinfo,,,,0,,3,PRJNA1311153,taxon-level state,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 3 transcriptome sample(s)
Cirsium japonicum var. albescens,Taiwan,Sinocirsium,white,,independent_white_candidate,A,not_recovered_in_supplement_or_exact_runinfo,,,,0,,2,PRJNA1311153,fixed-white taxon in paper,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 2 transcriptome sample(s)
Cirsium japonicum var. fukienense,Taiwan/Fujian,Sinocirsium,bluish_purple_to_light_purple,2n=34,bridge_lineage,A,not_recovered_in_supplement_or_exact_runinfo,,,,0,,4,PRJNA1311153,rare pale-purple plants noted; no white coding,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 4 transcriptome sample(s)
Cirsium japonicum var. takaoense,Taiwan,Sinocirsium,polymorphic_white_bluish_purple,2n=34,within_lineage_polymorphism,A,not_recovered_in_supplement_or_exact_runinfo,,,,0,,6,PRJNA1311153,sample morph not identified in supplement,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,recover_published_morph_identity_then_population_RAD_or_resequencing,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 6 transcriptome sample(s); published Chang 2026 samples are not assigned to white versus coloured morph
Cirsium kawakamii,Taiwan,Nipponocirsium,white,2n=4x=64,independent_white_candidate,A,not_recovered_in_supplement_or_exact_runinfo,,,,2,PRJNA1158676,2,PRJNA1311153,taxon-level state,Chang2025_PRJNA1158676|Chang2026_PRJNA1311153,multiple_modern_nuclear_sources,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2025 has 2 transcriptome sample(s); Chang 2026 has 2 transcriptome sample(s)
Cirsium pendulum,Japan/NE China/Korea/S Siberia,section Pendulum context,polymorphic_purple_white,2n=34,within_species_white_polymorphism_and_transregional_bridge,A,exact_sra_project_tip_verified,Cirsium pendulum,SAMN34240327,SRR25265649,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium pengii,Taiwan,Nipponocirsium,bluish_purple,2n=2x=32,coloured_basal_context,A,not_recovered_in_supplement_or_exact_runinfo,,,,2,PRJNA1158676,2,PRJNA1311153,taxon-level state,Chang2025_PRJNA1158676|Chang2026_PRJNA1311153,multiple_modern_nuclear_sources,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2025 has 2 transcriptome sample(s); Chang 2026 has 2 transcriptome sample(s)
Cirsium sieboldii,Japan/Zhejiang China,Onotrophe context,polymorphic_purple_white,,within_species_white_polymorphism_and_east_asia_bridge,A,exact_sra_project_tip_verified,Cirsium sieboldii,SAMN44017917,SRR30887308,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium tatakaense,Taiwan,Nipponocirsium,bluish_purple,2n=4x=64,coloured_sister_context,A,not_recovered_in_supplement_or_exact_runinfo,,,,4,PRJNA1158676,2,PRJNA1311153,taxon-level state,Chang2025_PRJNA1158676|Chang2026_PRJNA1311153,multiple_modern_nuclear_sources,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2025 has 4 transcriptome sample(s); Chang 2026 has 2 transcriptome sample(s)
