context_id,source_id,taxon,module,fdt1_seed_rows,study_design,study_setting,study_geography,latitude,longitude,elevation_m,coordinate_scope,geography_basis,geography_readiness,experimental_exposure_axis,exposure_assignment_unit,independent_exposure_replicates,exposure_readiness,comparable_estimand_family,effect_variance_status,fdt2_use,source_url,claim_boundary
FDT2C01,10.1002/ece3.73221,Polygonatum cyrtonema,orientation,5,wild_field_orientation_manipulation,wild_field,"Qingyang County, Anhui, China; printed coordinates invalid; 440 m",,,440,invalid_printed,primary_article,reported_nonstandard_coordinates_unusable,"orientation;sunlight;rain;time;year","plant/flower/inflorescence by endpoint","one site; years and endpoints nested",within_study_context_only,none_cross_study,partial,directional_exposure_calibration_only,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967667/,Printed coordinates are unusable and this one-site manipulation cannot define a geographic response surface.
FDT2C02,10.1007/BF02703305,Passiflora foetida,stickiness_glandular_trichomes,2,paired_branch_bract_removal,wild_field,"GKVK campus, Bangalore, India",,,,,primary_article,reported_named_site_only,bract_removal,"paired adjacent branches within 10 plants","one site; branches nested in plant",within_study_context_only,none_cross_study,paired_covariance_blocked,mechanism_context_only,https://doi.org/10.1007/BF02703305,Named site is descriptive only and whole-bract removal is not an adhesive-only exposure.
FDT2C03,10.1007/s00442-012-2518-2,Rheum nobile,bract_defence,1,mixed_field_and_laboratory_bract_physiology,mixed_field_lab,"High Himalayas; exact locality unresolved",,,,,primary_article,unresolved,"bract_removal;temperature;UV-B;rain","flower/fruit/pollen assay by endpoint","site and cross-endpoint replication unresolved",qualitative_mechanism_only,none_cross_study,blocked,directional_exposure_calibration_only,https://pubmed.ncbi.nlm.nih.gov/23124332/,Exposure classes are qualitative because exact site dose duration units and effect-ready statistics are unresolved.
FDT2C04,10.1007/s00442-012-2553-z,Aquilegia vulgaris + A. pyrenaica,stickiness_glandular_trichomes,1,eight_population_trichome_removal,wild_field,"Eight reported UTM/elevation populations in Spain and France",,,,,primary_article,reported_multi_site_coordinates,trichome_removal,"plant within population and taxon","eight populations inside one source cluster",within_study_context_only,none_cross_study,recoverable_within_study,descriptor_only,https://ruja.ujaen.es/bitstream/10953/522/1/9788484390190.pdf,Population and elevation may describe within-study heterogeneity but cannot be counted as eight independent geographic studies.
FDT2C05,10.1007/s004420050136,Ipomopsis aggregata,display,3,flower_number_manipulation,wild_field,"Exact field locality unresolved",,,,,primary_article,unresolved,display_size,"unit and allocation unresolved","one source; unit hierarchy unresolved",qualitative_mechanism_only,none_cross_study,blocked,not_usable,https://pubmed.ncbi.nlm.nih.gov/28307472/,The accessible primary record supports only a qualitative display context and neither geography nor effect covariance is ready.
FDT2C06,10.1007/s10265-021-01299-z,Erica plukenetii,stickiness,2,artificial_corolla_and_stem_stickiness,wild_field,"Paarl Mountain Reserve, Western Cape, South Africa; 2019",,,,,primary_article,reported_named_site_only,artificial_stickiness_location,"flowers nested in plants/treatments","one site; allocation ledger unresolved",within_study_context_only,none_cross_study,model_scale_blocked,mechanism_context_only,https://link.springer.com/article/10.1007/s10265-021-01299-z,Artificial corolla and stem stickiness are within-study contexts at one named site and do not identify a geographic moderator.
FDT2C07,10.1007/s11284-017-1444-5,Taraxacum japonicum x officinale hybrid,bract_defence,1,fixed_sequence_slug_presentation,greenhouse,"Experimental locality not reported",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,phyllary_treatment,"repeated slugs; capitula reused within day","one greenhouse sequence; fixed treatment order",within_study_context_only,none_cross_study,blocked,mechanism_context_only,https://api.lib.kyushu-u.ac.jp/opac_download_md/1806849/sls0185.pdf,Affiliation is not substituted for the unreported greenhouse locality and fixed order prevents a geographic interpretation.
FDT2C08,10.1016/j.bmc.2005.01.011,Ipomoea tricolor,colour_pigmentation,1,petal_tissue_uv_filter_model,lab_tissue,"No field outcome locality",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,"HBA_concentration;UV_wavelength","petal/constructed filter and molecular assay","technical versus biological replication unresolved",qualitative_mechanism_only,none_cross_study,not_applicable,directional_exposure_calibration_only,https://pubmed.ncbi.nlm.nih.gov/15727855/,This is a tissue/filter mechanism calibration rather than an intact-flower fitness or geographic context.
FDT2C09,10.1038/s41598-022-23261-2,Bejaria resinosa,stickiness,2,three_population_stickiness_manipulation,mixed_field_lab,"Three reported Colombian populations at 2700-3050 m",,,,,primary_article,reported_multi_site_coordinates,"methanol_wash;bird_exclusion","flowers/inflorescences nested in plants and populations","three populations inside one source cluster",within_study_context_only,none_cross_study,partial,descriptor_only,https://pmc.ncbi.nlm.nih.gov/articles/PMC9674602/,Population may be retained within study but no effect-level plant ledger licenses cross-study geographic modelling.
FDT2C10,10.1046/j.1365-294X.2003.01786.x,Ipomoea purpurea,colour_pigmentation,2,CHS_genotype_by_environment_factorial,greenhouse_chamber,"Founder county reported but outcomes produced in Duke phytotron",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,"temperature;light;humidity;maternal_paternal_exposure","plant-day pollination pair; line block","one chamber per temperature; one subchamber per light",manipulated_environment_confounded,none_cross_study,covariance_blocked,directional_exposure_calibration_only,https://people.duke.edu/~mrausher/Molecol.pdf,The 64-cell table provides directional heat calibration only because temperature is confounded with one chamber and source geography is not outcome exposure.
