source_class,source_name,query_or_identifier,checked_content,status,tree_or_alignment_result,retained_locus_result,confidence,next_action
publisher,ScienceDirect article,PII S1055790325000028 and DOI 10.1016/j.ympev.2025.108285,"article HTML, Data Availability, Supplementary Data 1 link and results describing 350 alignments",article_and_one_supplement_verified,"published figures S1/S2 and textual tree results; no machine-readable tree in article or recovered DOCX","paper reports 1064 mapped and 350 retained; no exact retained names in supplement",high,"retain article as topology/method source; do not derive branch lengths from figures"
publisher,Elsevier supplementary attachment enumeration,"mmc1-mmc20 across docx/xlsx/zip/txt/csv/tsv/pdf/nex/nexus/nwk/newick/tre/tree/tar.gz","bounded HTTP content-type/magic-byte enumeration",only_mmc1_docx_exists_under_tested_patterns,"no additional standard tree/archive attachment located","mmc1 contains sample table and summary figures/tables only",high,"continue only if a nonstandard attachment identifier becomes known"
sequence_archive,NCBI BioProject/SRA/BioSample,PRJNA957074,"project, runinfo, BioSample metadata and supplement-to-run reconciliation",raw_reads_and_sample_metadata_verified,"no final tree or gene-tree archive located in the project metadata audit","raw reads permit independent reconstruction but do not encode the published manual 350-locus decisions",high,"reuse reads; keep published-tree recovery separate"
author_repository,GitHub ldmoreyra/A-thorny-tale,"branches, tags, releases, commits and recursive tree","one main branch, one public commit, no tags/releases, three root files",summary_files_only_no_tree,"no Newick/Nexus/alignment/gene-tree file and no earlier public commit history","1061 named-locus summary matrices; no explicit final 350 list",high,"use summary matrices for reproducible automatic filter audit; request missing artifacts"
author_repository,GitHub ldmoreyra account repositories,"public repositories list and repository titles","A-thorny-tale plus unrelated/other-project repositories",no_second_cirsium_tree_repository_identified,"no other public repository clearly linked to the 2025 Cirsium final analysis","no alternative retained-locus repository identified",medium_high,"repeat periodically and inspect newly created releases/tags"
institutional_repository,FRIS research portal publication record,"article title and both DOIs","accepted author manuscript PDF, publisher link and dataset section",manuscript_and_ncbi_dataset_only,"no separate tree/alignment dataset listed","dataset entry resolves to NCBI PRJNA957074",high,"cite as evidence that the institutional record exposes only NCBI data"
institutional_repository,FRIS dataset record,"A thorny tale dataset entry","dataset description and external link",ncbi_only,"no tree or analysis-file link listed","no retained-locus list listed",high,"no further action unless record is updated"
preprint,SSRN,DOI 10.2139/ssrn.4983163,"preprint landing page and PDF availability",manuscript_only,"no public tree/data attachment identified on landing page","no retained-locus attachment identified",medium_high,"use preprint only for manuscript-version comparison if needed"
institutional_repository,NIBIO handle and employee publication page,"handle 11250/4631484 and article title","article metadata and DOI link",metadata_only,"no tree/alignment dataset located","no locus list located",medium,"monitor only if handle gains files"
institutional_repository,Universidad Autónoma de Madrid research portal,"article title and DOI","bibliographic/abstract record",metadata_only,"no tree/alignment attachment located","no locus list located",medium,"none"
institutional_repository,İnönü University repository,"article title and DOI","bibliographic/abstract record",metadata_only,"no independent tree/alignment attachment located","no locus list located",medium,"none"
data_repository,DataCite,"article title, final DOI and related identifier query","public DOI registry query",no_matching_dataset_record_at_audit_time,"no machine-readable tree candidate returned","no retained-locus dataset returned",medium,"rerun automated API audit monthly"
data_repository,Zenodo,"exact title and DOI-related query","public records API/search",no_matching_dataset_record_at_audit_time,"no tree-like file candidate returned","no retained-locus dataset returned",medium,"rerun automated API audit monthly"
data_repository,Dryad,"exact title and final DOI query","public dataset search",no_matching_dataset_record_at_audit_time,"no matching tree/alignment dataset returned","no retained-locus dataset returned",medium,"rerun automated API audit monthly"
data_repository,Figshare,"title and resource DOI query","public article search API/search",no_matching_dataset_record_at_audit_time,"no tree-like file candidate returned","no retained-locus dataset returned",medium,"rerun automated API audit monthly"
data_repository,TreeBASE,"title, DOI and author web searches","public index/search-engine discovery",no_matching_study_located_at_audit_time,"no study/tree identifier located","not applicable",medium_low,"direct author request is more efficient unless a TreeBASE study ID is supplied"
data_repository,Mendeley Data,"title, DOI, PII and authors web searches","public dataset discovery",no_matching_article_specific_dataset_located,"no final tree/alignment collection located","no final 350 list located",medium_low,"retain Herrando-Moraira Mendeley datasets separately; do not confuse them with Moreyra 2025"
data_repository,OSF and general repository search,"exact title, DOI, BioProject and distinctive sample/file terms","web and code-search discovery",no_matching_analysis_repository_located,"no final tree/gene-tree archive located","no final retained list located",medium_low,"repeat with new author-supplied filename or project identifier"
author_profile,ORCID and author publication pages,"Moreyra ORCID and coauthor publication profiles","article record and DOI links",article_metadata_only,"no linked tree repository identified","no locus list identified",medium,"use current institutional contact to request artifacts"
current_conclusion,bounded public search,"all sources above","time-stamped audit",final_tree_not_located_publicly,"machine-readable concatenated, ASTRAL and dated final trees remain unrecovered","exact final 350 identities remain unrecovered; public data reproduce only a 531-locus pre-manual candidate screen",high,"send the prepared corresponding-author request and archive any response/provenance"
