analysis,branch_scale,logLik_ER,q_ER,AIC_ER,logLik_ARD,q_C_to_W,q_W_to_C,AIC_ARD,delta_AIC_ARD_minus_ER
Nipponocirsium_only,0.25,-2.079487,10.0,6.158974,-1.910116,4.977024,10.0,7.820232,1.661258
Nipponocirsium_only,0.5,-2.079442,10.0,6.158884,-1.90955,4.977024,10.0,7.8191,1.660216
Nipponocirsium_only,1.0,-2.079442,10.0,6.158884,-1.90955,4.977024,10.0,7.8191,1.660216
Nipponocirsium_only,2.0,-2.079442,4.641589,6.158884,-1.90955,3.053856,6.135907,7.8191,1.660216
Sinocirsium_only,0.25,-3.465736,10.0,8.931472,-3.365247,6.579332,10.0,10.730494,1.799022
Sinocirsium_only,0.5,-3.465736,10.0,8.931472,-3.365163,6.579332,10.0,10.730326,1.798854
Sinocirsium_only,1.0,-3.465736,10.0,8.931472,-3.365163,6.579332,10.0,10.730326,1.798854
Sinocirsium_only,2.0,-3.465736,4.641589,8.931472,-3.365163,3.511192,5.336699,10.730326,1.798854
Arenicola_only,0.25,-1.38634,10.0,4.77268,-1.38634,10.0,10.0,6.77268,2.0
Arenicola_only,0.5,-1.386294,10.0,4.772588,-1.386294,10.0,10.0,6.772588,2.0
Arenicola_only,1.0,-1.386294,10.0,4.772588,-1.386294,10.0,10.0,6.772588,2.0
Arenicola_only,2.0,-1.386294,4.641589,4.772588,-1.386294,4.641589,4.641589,6.772588,2.0
Taiwan_two_clades_composite,0.25,-5.545223,10.0,13.090446,-5.293411,6.135907,10.0,14.586822,1.496376
Taiwan_two_clades_composite,0.5,-5.545177,10.0,13.090354,-5.292977,6.135907,10.0,14.585954,1.4956
Taiwan_two_clades_composite,1.0,-5.545177,10.0,13.090354,-5.292977,6.135907,10.0,14.585954,1.4956
Taiwan_two_clades_composite,2.0,-5.545177,4.641589,13.090354,-5.292977,5.336699,8.69749,14.585954,1.4956
all_three_focal_clades_composite,0.25,-6.931563,10.0,15.863126,-6.730913,6.579332,10.0,17.461826,1.5987
all_three_focal_clades_composite,0.5,-6.931472,10.0,15.862944,-6.730325,6.579332,10.0,17.46065,1.597706
all_three_focal_clades_composite,1.0,-6.931472,10.0,15.862944,-6.730325,6.579332,10.0,17.46065,1.597706
all_three_focal_clades_composite,2.0,-6.931472,4.641589,15.862944,-6.730325,3.511192,5.336699,17.46065,1.597706
