analysis_context,topology_variant,constraint,minimum_changes,delta_from_unconstrained,optimal_assignment_count,optimal_root_states,optimal_arenicola_mrca_states,optimal_transition_signatures,interpretation
Arenicola_pair_only,brevicaule_sister_irumtiense,unconstrained,1,0,2,C|W,C|W,AREN_MRCA:C>brevicaule:W || AREN_MRCA:W>irumtiense:C,The two extant sister species alone do not polarize the colour change: C and W are equally parsimonious at the Arenicola MRCA.
Arenicola_pair_only,brevicaule_sister_irumtiense,AREN_MRCA=C,1,0,1,C,C,AREN_MRCA:C>brevicaule:W,Coloured MRCA requires one C->W loss on the brevicaule lineage.
Arenicola_pair_only,brevicaule_sister_irumtiense,AREN_MRCA=W,1,0,1,W,W,AREN_MRCA:W>irumtiense:C,White MRCA requires one W->C regain on the irumtiense lineage.
Arenicola_plus_Nipponocirsium,published_pengii_basal,unconstrained,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CROWN:C>kawakamii:W,"With the published coloured-rich Nipponocirsium sister context, equal-cost parsimony selects Arenicola MRCA=C; this is topology-conditioned, not a molecular regain/loss demonstration."
Arenicola_plus_Nipponocirsium,published_pengii_basal,AREN_MRCA=C,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CROWN:C>kawakamii:W,Tests the white-loss history explicitly; delta is relative to the unconstrained sister-context optimum.
Arenicola_plus_Nipponocirsium,published_pengii_basal,AREN_MRCA=W,3,1,2,C|W,W,ROOT:C>AREN_MRCA:W;AREN_MRCA:W>irumtiense:C;NIPP_CROWN:C>kawakamii:W || ROOT:W>NIPP_MRCA:C;AREN_MRCA:W>irumtiense:C;NIPP_CROWN:C>kawakamii:W,"Tests the irumtiense-regain history explicitly. A positive delta means it needs extra topology-level changes under the current sister context, but it remains a live biological hypothesis."
Arenicola_plus_Nipponocirsium,published_pengii_basal,ROOT=C,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CROWN:C>kawakamii:W,Conditions the Arenicola+Nipponocirsium parent on a coloured state.
Arenicola_plus_Nipponocirsium,published_pengii_basal,ROOT=W,3,1,1,W,W,ROOT:W>NIPP_MRCA:C;AREN_MRCA:W>irumtiense:C;NIPP_CROWN:C>kawakamii:W,"White deep-root sensitivity. Under this external prior the preferred Arenicola MRCA can switch to W, demonstrating why independent root/branch-length evidence matters."
Arenicola_plus_Nipponocirsium,alternative_kawakamii_basal,unconstrained,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CORE:C>kawakamii:W,"With the published coloured-rich Nipponocirsium sister context, equal-cost parsimony selects Arenicola MRCA=C; this is topology-conditioned, not a molecular regain/loss demonstration."
Arenicola_plus_Nipponocirsium,alternative_kawakamii_basal,AREN_MRCA=C,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CORE:C>kawakamii:W,Tests the white-loss history explicitly; delta is relative to the unconstrained sister-context optimum.
Arenicola_plus_Nipponocirsium,alternative_kawakamii_basal,AREN_MRCA=W,3,1,3,C|W,W,AREN_MRCA:W>irumtiense:C;NIPP_MRCA:W>morii:C;NIPP_CORE:W>NIPP_CROWN:C || ROOT:C>AREN_MRCA:W;AREN_MRCA:W>irumtiense:C;NIPP_CORE:C>kawakamii:W || ROOT:W>NIPP_MRCA:C;AREN_MRCA:W>irumtiense:C;NIPP_CORE:C>kawakamii:W,"Tests the irumtiense-regain history explicitly. A positive delta means it needs extra topology-level changes under the current sister context, but it remains a live biological hypothesis."
Arenicola_plus_Nipponocirsium,alternative_kawakamii_basal,ROOT=C,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CORE:C>kawakamii:W,Conditions the Arenicola+Nipponocirsium parent on a coloured state.
Arenicola_plus_Nipponocirsium,alternative_kawakamii_basal,ROOT=W,3,1,2,W,W,AREN_MRCA:W>irumtiense:C;NIPP_MRCA:W>morii:C;NIPP_CORE:W>NIPP_CROWN:C || ROOT:W>NIPP_MRCA:C;AREN_MRCA:W>irumtiense:C;NIPP_CORE:C>kawakamii:W,"White deep-root sensitivity. Under this external prior the preferred Arenicola MRCA can switch to W, demonstrating why independent root/branch-length evidence matters."
Arenicola_plus_Nipponocirsium,alternative_tatakaense_basal,unconstrained,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CROWN:C>kawakamii:W,"With the published coloured-rich Nipponocirsium sister context, equal-cost parsimony selects Arenicola MRCA=C; this is topology-conditioned, not a molecular regain/loss demonstration."
Arenicola_plus_Nipponocirsium,alternative_tatakaense_basal,AREN_MRCA=C,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CROWN:C>kawakamii:W,Tests the white-loss history explicitly; delta is relative to the unconstrained sister-context optimum.
Arenicola_plus_Nipponocirsium,alternative_tatakaense_basal,AREN_MRCA=W,3,1,2,C|W,W,ROOT:C>AREN_MRCA:W;AREN_MRCA:W>irumtiense:C;NIPP_CROWN:C>kawakamii:W || ROOT:W>NIPP_MRCA:C;AREN_MRCA:W>irumtiense:C;NIPP_CROWN:C>kawakamii:W,"Tests the irumtiense-regain history explicitly. A positive delta means it needs extra topology-level changes under the current sister context, but it remains a live biological hypothesis."
Arenicola_plus_Nipponocirsium,alternative_tatakaense_basal,ROOT=C,2,0,1,C,C,AREN_MRCA:C>brevicaule:W;NIPP_CROWN:C>kawakamii:W,Conditions the Arenicola+Nipponocirsium parent on a coloured state.
Arenicola_plus_Nipponocirsium,alternative_tatakaense_basal,ROOT=W,3,1,1,W,W,ROOT:W>NIPP_MRCA:C;AREN_MRCA:W>irumtiense:C;NIPP_CROWN:C>kawakamii:W,"White deep-root sensitivity. Under this external prior the preferred Arenicola MRCA can switch to W, demonstrating why independent root/branch-length evidence matters."
