allocation_index,bp_vouchers,w_vouchers,mean_altitude_bp_m,mean_altitude_w_m,difference_bp_minus_w_m,at_least_observed_one_sided,at_least_observed_absolute
1,ccy3559|ccy3629|ccy3839,ccy3560|ccy3807|ccy3835,486.000000,1031.666667,-545.666667,no,no
2,ccy3559|ccy3629|ccy3835,ccy3560|ccy3807|ccy3839,792.000000,725.666667,66.333333,no,no
3,ccy3559|ccy3629|ccy3807,ccy3560|ccy3835|ccy3839,837.333333,680.333333,157.000000,no,no
4,ccy3559|ccy3560|ccy3629,ccy3807|ccy3835|ccy3839,787.333333,730.333333,57.000000,no,no
5,ccy3629|ccy3835|ccy3839,ccy3559|ccy3560|ccy3807,361.666667,1156.000000,-794.333333,no,no
6,ccy3629|ccy3807|ccy3839,ccy3559|ccy3560|ccy3835,407.000000,1110.666667,-703.666667,no,no
7,ccy3560|ccy3629|ccy3839,ccy3559|ccy3807|ccy3835,357.000000,1160.666667,-803.666667,no,yes
8,ccy3629|ccy3807|ccy3835,ccy3559|ccy3560|ccy3839,713.000000,804.666667,-91.666667,no,no
9,ccy3560|ccy3629|ccy3835,ccy3559|ccy3807|ccy3839,663.000000,854.666667,-191.666667,no,no
10,ccy3560|ccy3629|ccy3807,ccy3559|ccy3835|ccy3839,708.333333,809.333333,-101.000000,no,no
11,ccy3559|ccy3835|ccy3839,ccy3560|ccy3629|ccy3807,809.333333,708.333333,101.000000,no,no
12,ccy3559|ccy3807|ccy3839,ccy3560|ccy3629|ccy3835,854.666667,663.000000,191.666667,no,no
13,ccy3559|ccy3560|ccy3839,ccy3629|ccy3807|ccy3835,804.666667,713.000000,91.666667,no,no
14,ccy3559|ccy3807|ccy3835,ccy3560|ccy3629|ccy3839,1160.666667,357.000000,803.666667,yes,yes
15,ccy3559|ccy3560|ccy3835,ccy3629|ccy3807|ccy3839,1110.666667,407.000000,703.666667,no,no
16,ccy3559|ccy3560|ccy3807,ccy3629|ccy3835|ccy3839,1156.000000,361.666667,794.333333,no,no
17,ccy3807|ccy3835|ccy3839,ccy3559|ccy3560|ccy3629,730.333333,787.333333,-57.000000,no,no
18,ccy3560|ccy3835|ccy3839,ccy3559|ccy3629|ccy3807,680.333333,837.333333,-157.000000,no,no
19,ccy3560|ccy3807|ccy3839,ccy3559|ccy3629|ccy3835,725.666667,792.000000,-66.333333,no,no
20,ccy3560|ccy3807|ccy3835,ccy3559|ccy3629|ccy3839,1031.666667,486.000000,545.666667,no,no
