rank,candidate,proxy_eig_score,direction,transition_count,within_lineage,introgression,mechanism,nuclear_gap,cross_region,replicate,technical_penalty,action,notes
1,takaoense_white_vs_coloured_population_sampling,15.5,0.75,1,1,1,1,0,0,1,0,"sample paired white and bluish-purple populations/individuals","Population-aware coding changes minimum transition count; same-lineage contrast is best causal design and can distinguish mutation vs ancestral polymorphism/introgression."
2,C_pendulum_Japan_white_vs_purple,14.25,0.5,0.75,1,0.5,1,0.5,0.5,1,0,"paired Japanese white and purple populations","Independent within-species white polymorphism; exact Moreyra placement remains to verify, but mechanistic information is high."
3,C_sieboldii_Japan_white_vs_purple,14.25,0.5,0.75,1,0.5,1,0.5,0.5,1,0,"paired Japanese white and purple populations","Independent within-species replicate; value depends on relocating stable white populations and verifying nuclear placement."
4,C_pendulum_China_bridge,12.375,0.75,0.5,0.5,1,0.25,0.5,1,0.5,0,"sample Chinese/NE Asian coloured populations","Tests whether Japanese white populations are nested within a broader coloured background and whether geography changes the inferred white origin."
5,C_sieboldii_Zhejiang_bridge,12.375,0.75,0.5,0.5,1,0.25,0.5,1,0.5,0,"verify taxonomy/locality and sample Zhejiang populations","Can convert a Japan-only story into a transregional within-species history and test whether white is geographically derived."
6,C_kawakamii_vs_C_tatakaense_population_genomics,9.0,0.5,0.5,0,1,1,0,0,1,1,"matched polyploid population sampling plus pigment/RNA data","White-loss direction is already relatively strong; extra value is testing repeated mechanism and gene flow, but polyploid handling raises technical cost."
7,Arenicola_brevicaule_irumtiense_population_genomics,8.625,0.25,0.25,0,1,1,0,0.25,1,0,"sample multiple brevicaule and irumtiense populations for gene flow, colour haplotypes and mechanistic comparison","Published sister-clade context already favours a coloured ancestral context, so Arenicola is no longer a topology-gap target; remaining value is introgression, population history and replicated white-mechanism tests."
8,C_pengii_additional_population_sampling,5.375,0.5,0.25,0,0.5,0.25,0,0,0.5,0,"limited basal-coloured anchor sampling","Species-level position already orients the kawakamii loss; dense sampling adds less information than focal white/coloured contrasts."
9,C_shansiense_nuclear_placement,4.875,0.25,0.25,0,0,0,1,0.5,0.25,0,"first recover existing modern nuclear placement; RAD only if still absent","Useful backbone taxon but currently coloured and not known to sit next to a white transition, so information gain for the colour question is modest."
10,C_leducii_nuclear_placement,4.875,0.25,0.25,0,0,0,1,0.5,0.25,0,"first recover existing modern nuclear placement; RAD only if still absent","Backbone value but weak direct leverage on currently identified white/regain candidates."
